"plot";"variable";"value"
"an01";"bare.soil";"20"
"an02";"bare.soil";"0"
"an03";"bare.soil";"3"
"an04";"bare.soil";"7"
"an05";"bare.soil";"10"
"an06";"bare.soil";"1"
"an07";"bare.soil";"0"
"an08";"bare.soil";"13"
"an09";"bare.soil";"2"
"an10";"bare.soil";"2"
"an11";"bare.soil";"2"
"an12";"bare.soil";"3"
"an13";"bare.soil";"1"
"an14";"bare.soil";"2"
"an15";"bare.soil";"5"
"an16";"bare.soil";"2"
"an17";"bare.soil";"1"
"an18";"bare.soil";"1"
"an19";"bare.soil";"30"
"an20";"bare.soil";"1"
"an21";"bare.soil";"14"
"an22";"bare.soil";"7"
"an23";"bare.soil";"1"
"an24";"bare.soil";"5"
"an25";"bare.soil";"5"
"an26";"bare.soil";"3"
"an01";"comment";
"an02";"comment";
"an03";"comment";
"an04";"comment";
"an05";"comment";
"an06";"comment";
"an07";"comment";
"an08";"comment";
"an09";"comment";
"an10";"comment";
"an11";"comment";
"an12";"comment";
"an13";"comment";
"an14";"comment";
"an15";"comment";
"an16";"comment";
"an17";"comment";
"an18";"comment";
"an19";"comment";
"an20";"comment";
"an21";"comment";"Kuppe"
"an22";"comment";
"an23";"comment";
"an24";"comment";
"an25";"comment";
"an26";"comment";
"an01";"cov";"60"
"an02";"cov";"100"
"an03";"cov";"90"
"an04";"cov";"90"
"an05";"cov";"75"
"an06";"cov";"88"
"an07";"cov";"100"
"an08";"cov";"70"
"an09";"cov";"65"
"an10";"cov";"96"
"an11";"cov";"65"
"an12";"cov";"93"
"an13";"cov";"97"
"an14";"cov";"95"
"an15";"cov";"60"
"an16";"cov";"67"
"an17";"cov";"94"
"an18";"cov";"98"
"an19";"cov";"60"
"an20";"cov";"97"
"an21";"cov";"65"
"an22";"cov";"92"
"an23";"cov";"99"
"an24";"cov";"93"
"an25";"cov";"94"
"an26";"cov";"97"
"an01";"date";"31.07.2011"
"an02";"date";"31.07.2011"
"an03";"date";"31.07.2011"
"an04";"date";"31.07.2011"
"an05";"date";"31.07.2011"
"an06";"date";"31.07.2011"
"an07";"date";"31.07.2011"
"an08";"date";"31.07.2011"
"an09";"date";"31.07.2011"
"an10";"date";"31.07.2011"
"an11";"date";"31.07.2011"
"an12";"date";"31.07.2011"
"an13";"date";"31.07.2011"
"an14";"date";"31.07.2011"
"an15";"date";"31.07.2011"
"an16";"date";"31.07.2011"
"an17";"date";"31.07.2011"
"an18";"date";"31.07.2011"
"an19";"date";"31.07.2011"
"an20";"date";"31.07.2011"
"an21";"date";"01.08.2011"
"an22";"date";"01.08.2011"
"an23";"date";"01.08.2011"
"an24";"date";"01.08.2011"
"an25";"date";"01.08.2011"
"an26";"date";"01.08.2011"
"an01";"expo";"E"
"an02";"expo";"E"
"an03";"expo";"E"
"an04";"expo";"NE"
"an05";"expo";"N"
"an06";"expo";"N"
"an07";"expo";"N"
"an08";"expo";"N"
"an09";"expo";"NE"
"an10";"expo";"N"
"an11";"expo";"N"
"an12";"expo";"NW"
"an13";"expo";"E"
"an14";"expo";"NE"
"an15";"expo";"N"
"an16";"expo";"NE"
"an17";"expo";"NW"
"an18";"expo";"N"
"an19";"expo";"N"
"an20";"expo";"SE"
"an21";"expo";"F"
"an22";"expo";"F"
"an23";"expo";"SE"
"an24";"expo";"SE"
"an25";"expo";"NW"
"an26";"expo";"F"
"an01";"hcov";"50"
"an02";"hcov";"85"
"an03";"hcov";"60"
"an04";"hcov";"70"
"an05";"hcov";"74"
"an06";"hcov";"70"
"an07";"hcov";"55"
"an08";"hcov";"60"
"an09";"hcov";"50"
"an10";"hcov";"90"
"an11";"hcov";"50"
"an12";"hcov";"85"
"an13";"hcov";"90"
"an14";"hcov";"80"
"an15";"hcov";"45"
"an16";"hcov";"55"
"an17";"hcov";"85"
"an18";"hcov";"80"
"an19";"hcov";"50"
"an20";"hcov";"90"
"an21";"hcov";"50"
"an22";"hcov";"75"
"an23";"hcov";"95"
"an24";"hcov";"75"
"an25";"hcov";"75"
"an26";"hcov";"95"
"an01";"hhl1";"0.25"
"an02";"hhl1";"0.40"
"an03";"hhl1";"0.15"
"an04";"hhl1";"0.20"
"an05";"hhl1";"0.20"
"an06";"hhl1";"0.14"
"an07";"hhl1";"0.50"
"an08";"hhl1";"0.20"
"an09";"hhl1";"0.20"
"an10";"hhl1";"0.15"
"an11";"hhl1";"0.10"
"an12";"hhl1";"0.40"
"an13";"hhl1";"0.30"
"an14";"hhl1";"0.20"
"an15";"hhl1";"0.15"
"an16";"hhl1";"0.15"
"an17";"hhl1";"0.20"
"an18";"hhl1";"0.20"
"an19";"hhl1";"0.09"
"an20";"hhl1";"0.10"
"an21";"hhl1";"0.15"
"an22";"hhl1";"0.10"
"an23";"hhl1";"0.20"
"an24";"hhl1";"0.10"
"an25";"hhl1";"0.10"
"an26";"hhl1";"0.10"
"an01";"hhl2";"0.02"
"an02";"hhl2";"0.10"
"an03";"hhl2";"0.05"
"an04";"hhl2";"0.07"
"an05";"hhl2";"0.08"
"an06";"hhl2";"0.04"
"an07";"hhl2";"0.10"
"an08";"hhl2";"0.03"
"an09";"hhl2";"0.03"
"an10";"hhl2";"0.05"
"an11";"hhl2";"0.30"
"an12";"hhl2";"0.05"
"an13";"hhl2";"0.10"
"an14";"hhl2";"0.05"
"an15";"hhl2";"0.03"
"an16";"hhl2";"0.03"
"an17";"hhl2";"0.05"
"an18";"hhl2";"0.08"
"an19";"hhl2";"0.03"
"an20";"hhl2";"0.06"
"an21";"hhl2";"0.03"
"an22";"hhl2";"0.03"
"an23";"hhl2";"0.07"
"an24";"hhl2";"0.06"
"an25";"hhl2";"0.02"
"an26";"hhl2";"0.02"
"an01";"hsl";"0"
"an02";"hsl";"2.5"
"an03";"hsl";"0"
"an04";"hsl";"0"
"an05";"hsl";"0"
"an06";"hsl";"0"
"an07";"hsl";"1.1"
"an08";"hsl";"0"
"an09";"hsl";"0"
"an10";"hsl";"0"
"an11";"hsl";"0"
"an12";"hsl";"0"
"an13";"hsl";"0"
"an14";"hsl";"0"
"an15";"hsl";"0"
"an16";"hsl";"0"
"an17";"hsl";"0"
"an18";"hsl";"0"
"an19";"hsl";"0"
"an20";"hsl";"0"
"an21";"hsl";"0"
"an22";"hsl";"0"
"an23";"hsl";"0"
"an24";"hsl";"0"
"an25";"hsl";"0"
"an26";"hsl";"0"
"an01";"mcov";"15"
"an02";"mcov";"25"
"an03";"mcov";"40"
"an04";"mcov";"20"
"an05";"mcov";"1"
"an06";"mcov";"20"
"an07";"mcov";"40"
"an08";"mcov";"15"
"an09";"mcov";"30"
"an10";"mcov";"20"
"an11";"mcov";"35"
"an12";"mcov";"20"
"an13";"mcov";"25"
"an14";"mcov";"20"
"an15";"mcov";"30"
"an16";"mcov";"15"
"an17";"mcov";"35"
"an18";"mcov";"40"
"an19";"mcov";"15"
"an20";"mcov";"10"
"an21";"mcov";"35"
"an22";"mcov";"30"
"an23";"mcov";"20"
"an24";"mcov";"35"
"an25";"mcov";"40"
"an26";"mcov";"15"
"an01";"plsx";"4"
"an02";"plsx";"8"
"an03";"plsx";"4"
"an04";"plsx";"4"
"an05";"plsx";"4"
"an06";"plsx";"4"
"an07";"plsx";"8"
