"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"determined";"comment"
"an03";"clad sp 3";"ml";"+";"voucher";;;;
"an04";"clad sp 3";"ml";1;"voucher";;;;
"an06";"clad sp 3";"ml";1;;;;;
"an08";"clad sp 3";"ml";"+";;;;;
"an10";"clad sp 3";"ml";1;"voucher";;;;
"an13";"clad sp 3";"ml";"+";;;;;
"an14";"clad sp 3";"ml";"+";;;;;
"an15";"clad sp 3";"ml";1;;;;;
"an16";"clad sp 3";"ml";"+";;;;;
"an17";"clad sp 3";"ml";"+";;;;;
"an04";"clad sp 4";"ml";"2a";"voucher";;;;
"an06";"clad sp 4";"ml";1;;;;;
"an10";"clad sp 4";"ml";1;"voucher";;;;
"an12";"clad sp 4";"ml";1;;;;;
"an10";"clad sp 5";"ml";1;"voucher";;;;
"an14";"clad sp 5";"ml";"+";;;;;
"an21";"clad sp 5";"ml";"+";"voucher";;;;
"an22";"clad sp 5";"ml";"+";"voucher";;;;
"an23";"clad sp 5";"ml";"+";"voucher";;;;
"an24";"clad sp 5";"ml";"+";"voucher";;;;
"an25";"clad sp 5";"ml";1;;;;;
"an26";"clad sp 5";"ml";"+";"voucher";;;;
