plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;date;location;alliance;rope
aw01;40;0;0;1;40;1;0;0;1,5;0,2;0,1;8;8;S;50;46;2;1;47.297483N;13.209362E;20;2011-07-30;Alte Wacht (Steglehen);Seslerion caeruleae;rope betray (aw01-03'): 47.297680E, 13.209360E, rope range (aw01-03'' 100m): 47.29723E, 13.209340E
aw02;75;0;0;3;75;1;0;0;2;0,5;0,1;8;8;S;70;22;2;1;47.297465N;13.209480E;20;2011-07-30;Alte Wacht (Steglehen);Berberidion;rope betray (aw01-03'): 47.297680E, 13.209360E, rope range (aw01-03'' 100m): 47.29723E, 13.209340E
aw03;75;0;0;3;70;1;0;0;2;0,5;0,1;8;8;S;70;20;2;2;47.297303N;13.209332E;20;2011-07-30;Alte Wacht (Steglehen);Seslerion caeruleae;rope betray (aw01-03'): 47.297680E, 13.209360E, rope range (aw01-03'' 100m): 47.29723E, 13.209340E
aw04;;;;;;;;;;;;;;;;;;;47.299312N;13.206448E;10;2014-07-28;Alte Wacht (Steglehen);Seslerion caeruleae;
aw05;;;;;;;;;;;;;;;;;;;47.299947N;13.212302E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw06;;;;;;;;;;;;;;;;;;;47.298555N;13.210946E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw07;;;;;;;;;;;;;;;;;;;47.298597N;13.211250E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw08;;;;;;;;;;;;;;;;;;;47.298366N;13.211442E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;rope betray (aw07-08'): 47.298752N, 13.211150E, rope range (aw07-08'' 100m): 47.298233N, 13.211574E
aw09;;;;;;;;;;;;;;;;;;;47.298860N;13.211344E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;rope betray (aw07-08'): 47.298752N, 13.211150E, rope range (aw07-08'' 100m): 47.298233N, 13.211574E
aw10;;;;;;;;;;;;;;;;;;;47.299228N;13.211878E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw11;;;;;;;;;;;;;;;;;;;47.298161N;13.211153E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw12;;;;;;;;;;;;;;;;;;;47.301136N;13.210219E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
aw13;;;;;;;;;;;;;;;;;;;47.300198N;13.206730E;10;2014-07-28;Alte Wacht (Steglehen);Calamagrostio variae-Abietenion;
