"plot";"abbr";"layer";"cov";"comment";"history"
"as01";"scho nigr";"hl";5;;
"as01";"moli caer";"hl";"2a";;
"as01";"frax exce";"hl";"+";;
"as01";"pice abie";"hl";"+";;
"as01";"pice abie";"sl";"+";;
"as01";"camp stel";"ml";1;;
"as01";"bryu pseu pseu";"ml";1;;
"as01";"dros angl";"hl";"+";;
"as01";"palu comm slat";"ml";"2b";"cf.";
"as01";"crat fili";"ml";"+";"cf.";
"as01";"epip palu";"hl";"+";;
"as01";"utri mino";"hl";"+";;
"as01";"betu pend";"hl";"+";;
"as01";"prim fari";"hl";1;;
"as01";"unde bryo";"ml";"+";"cf.";
"as01";"eupa cann";"hl";1;;
"as01";"tofi caly";"hl";"+";;
"as01";"parn palu";"hl";"+";;
"as01";"pote erec";"hl";"+";;
"as01";"phra aust";"hl";"+";;
"as01";"ping vulg";"hl";"+";;
"as01";"equi palu";"hl";"+";;
"as01";"poly spec ies";"ml";"+";;
"as01";"care dava";"hl";1;;
"as01";"phil calc";"ml";"+";"cf.";
"as01";"gent ascl";"hl";"+";;
"as01";"alnu glut";"hl";"r";;
"as01";"dros rotu";"hl";"+";;
"as01";"care flav flav";"hl";"+";;
"as01";"spha mage";"ml";1;"cf.";
"as01";"gymn cono cono";"hl";"r";;
"as01";"fran alnu";"hl";"+";;
"as01";"succ prat";"hl";"+";;
