plot;abbr;layer;cov;comment;voucher;site;key;history
H1-01;acer pseu;hl;1;;;H1;3;
H1-01;alch spec ies;hl;3;;;H1;58; | Changed alch vulg To alch spec ies 2012-11-27 18:46:55
H1-01;briz medi;hl;4;;;H1;161;
H1-01;care cary;hl;3;;;H1;211;
H1-01;care flac;hl;4;;;H1;222;
H1-01;care host;hl;7;;;H1;228;
H1-01;care pani;hl;3;;;H1;239;
H1-01;cent jace jace;hl;8;;;H1;257;
H1-01;dant decu decu;hl;3;;;H1;344; | Changed dant decu To dant decu decu 2012-11-27 18:46:55
H1-01;fest prat prat;hl;3;;;H1;441;
H1-01;leon hisp hyos;hl;5;;;H1;631;
H1-01;leuc ircu;hl;3;voucher;33;H1;285;
H1-01;lotu corn corn;hl;3;;;H1;658;
H1-01;pimp majo slat;hl;2;;;H1;773; | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56
H1-01;plan lanc;hl;3;;;H1;783;
H1-01;plan medi;hl;2;;;H1;785;
H1-01;poly amar ella;hl;2;;;H1;804; | Changed poly amar To poly amar ella 2012-11-27 18:46:56
H1-01;pote erec;hl;3;;;H1;837;
H1-01;prim fari;hl;1;;;H1;844;
H1-01;prun vulg;hl;3;;;H1;850;
H1-01;ranu acri acri;hl;3;;;H1;868;
H1-01;ranu nemo;hl;3;;;H1;877;
H1-01;trif mont mont;hl;2;;;H1;1065; | Changed trif mont To trif mont mont 2012-11-27 18:46:56
H1-01;trif repe repe;hl;3;;;H1;1067;
H1-02;achi mill;hl;3;;;H1;6;
H1-02;alch spec ies;hl;3;;;H1;58; | Changed alch vulg To alch spec ies 2012-11-27 18:46:55
H1-02;briz medi;hl;4;;;H1;161;
H1-02;care cary;hl;3;;;H1;211;
H1-02;care flac;hl;4;;;H1;222;
H1-02;care host;hl;5;;;H1;228;
H1-02;care orni orni;hl;2;;;H1;235;
H1-02;care pani;hl;5;;;H1;239;
H1-02;cent jace jace;hl;4;;;H1;257;
H1-02;dact glom glom;hl;3;;;H1;337; | Changed dact glom To dact glom glom 2012-11-27 18:46:56
H1-02;fest prat prat;hl;4;;;H1;441;
H1-02;fest rubr rubr;hl;3;;;H1;445;
H1-02;leon hisp hyos;hl;1;;;H1;631;
H1-02;leuc ircu;hl;3;;;H1;285;
H1-02;lotu corn corn;hl;4;;;H1;658;
H1-02;parn palu;hl;3;;;H1;748;
H1-02;pers vivi;hl;4;;;H1;816; | Changed poly vivi To pers vivi 2012-11-27 18:46:56
H1-02;pimp majo slat;hl;3;;;H1;773; | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56
H1-02;plan lanc;hl;3;;;H1;783;
H1-02;plan medi;hl;3;;;H1;785;
H1-02;poa prat;hl;3;;;H1;799;
H1-02;poly amar ella;hl;3;;;H1;804; | Changed poly amar To poly amar ella 2012-11-27 18:46:56
H1-02;pote erec;hl;4;;;H1;837;
H1-02;prim fari;hl;3;;;H1;844;
H1-02;prun vulg;hl;3;;;H1;850;
H1-02;ranu acri acri;hl;3;;;H1;868;
H1-02;ranu nemo;hl;4;;;H1;877;
H1-02;trif prat prat;hl;4;;;H1;1066; | Changed trif prat To trif prat prat 2012-11-27 18:46:57
H1-02;trif repe repe;hl;3;;;H1;1067;
H1-03;acer pseu;hl;1;;;H1;3;
H1-03;agro capi;hl;2;;;H1;24;
H1-03;anth odor;hl;2;;;H1;93;
H1-03;briz medi;hl;3;;;H1;161;
H1-03;care alba;hl;2;;;H1;203;
