"plot";"variable";"value"
"bh01";"bare";"2"
"bh01";"cov";"90"
"bh01";"date";"07.05.2009"
"bh01";"debris";"0"
"bh01";"expo";"W"
"bh01";"hcov";"85"
"bh01";"hhl1";"0,3"
"bh01";"hhl2";"0,6"
"bh01";"hsl";"3"
"bh01";"htl1";"30"
"bh01";"htl2";"12"
"bh01";"latitude";"48.167652N"
"bh01";"location";"Duttendorf"
"bh01";"longitude";"12.849443E"
"bh01";"mcov";"15"
"bh01";"plsx";"20"
"bh01";"plsy";"15"
"bh01";"rock";"2"
"bh01";"rock.type";"Flysch"
"bh01";"scov";"8"
"bh01";"slope";"35"
"bh01";"soil";"Braunerde"
"bh01";"t1cov";"75"
"bh01";"t2cov";"15"
"bh02";"cov";"80"
"bh02";"date";"07.05.2009"
"bh02";"expo";"W"
"bh02";"hcov";"70"
"bh02";"hhl1";"0,2"
"bh02";"hhl2";"0,5"
"bh02";"latitude";"48.167604N"
"bh02";"location";"Duttendorf"
"bh02";"longitude";"12.849125E"
"bh02";"mcov";"20"
"bh02";"plsx";"0,5"
"bh02";"plsy";"3"
"bh02";"rock.type";"Flysch"
"bh02";"slope";"35"
"bh02";"soil";"missing"
"bh03";"cov";"50"
"bh03";"date";"07.05.2009"
"bh03";"expo";"S"
"bh03";"hcov";"25"
"bh03";"hhl1";"0,2"
"bh03";"hhl2";"0,3"
"bh03";"latitude";"48.160431N"
"bh03";"location";"Duttendorf"
"bh03";"longitude";"12.836996E"
"bh03";"mcov";"25"
"bh03";"plsx";"1,5"
"bh03";"plsy";"3"
"bh03";"rock.type";"Flysch"
"bh03";"slope";"45"
"bh03";"soil";"missing"
"bh04";"bare";0
"bh04";"cov";"75"
"bh04";"date";"07.05.2009"
"bh04";"debris";0
"bh04";"expo";"SW"
"bh04";"hcov";"75"
"bh04";"hhl1";"0,1"
"bh04";"hhl2";"0,3"
"bh04";"latitude";"48.160114N"
"bh04";"location";"Duttendorf"
"bh04";"longitude";"12.836998E"
"bh04";"mcov";"20"
"bh04";"plsx";"1,5"
"bh04";"plsy";"5"
"bh04";"rock";0
"bh04";"rock.type";"Flysch"
"bh04";"scov";"2"
"bh04";"slope";"65"
"bh04";"soil";"Ranker"
"bh04";"t1cov";"0"
"bh04";"t2cov";"0"
