scab coll	scab colu
cent eryt	cent eryt eryt
dact glom	dact glom glom
fest stric trac	fest stri trac
sang mino poly	sang mino bale
euph rost	euph offi rost
trif prat	trif prat prat
agro tenu	agro capi
thym pule	thym pule pule
lath prat	lath prat prat
lyco euro	lyco euro euro
betu pube	betu pend
gali palu	gali palu palu
cali cusp	call cusp
lych flos	lych flos cucu
bryu pseu	bryu pseu pseu
care cane	care cane cane
dact inca	dact inca inca
dact maja	dact maja maja
rume acel	rume acet ella
rubu frut	rubu sect rubu
ranu acri	ranu acri acri
epil aden	epil cili cili
fest rubr ruhr	fest rubr slat
spha squa	spha spec ies
poly spec	poly spec ies
hier pilo	hier pilo ella
