abbr;layer;comment;ch59;ch60;ch61;ch62;ch63;ch64;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch68;ch69;ch70;ch71;ch72;ch73;ch74;ch75;ch76;ch77;ch78;ch79;ch80;ch81;ch82;ch83
bryu subr;kl;Bryum subrotundifolium;1,50;1,50;;;;;7.5;2.5;66.5;98,50;30,50;44,00;;18,00;;;;;;27,00;5,00;57,00;61,00;43,50;49,50;2,50;0,50;;5,00;30,00;3,50;3,50;13,00;24,50;19,00;17,00;9,00;10,00;4,50;2,00;11,00;1,50;1,00;3,00;4,50;5,00;6,50;3,00
xant maws;kl;Xanthoria mawsonii;4,50;1,00;;22,00;19,50;19,50;;;;;;;;;;;;;;;;;;;2,50;1,00;12,50;1,50;2,00;;8,00;1,00;;1,50;1,00;;;;;;;;;;;;;
cand murr;kl;Candelaria murrayi;;;;;2,00;1,00;;;;;;;;;;;;;;;;;;;;;0,50;;;;;;;;;;;;;;;;;;;;;
aman pete;kl;Amandinea petermannii;;;;;1,50;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;3,50;;;;;;1,00;1,00;1,50;;;;;;;
calo citr;kl;Caloplaca citrina;0,50;;;1,50;0,50;;;;;;2,00;21,00;;;;;;;;0,50;;;;;;0,50;0,50;1,00;19,00;1,00;12,00;3,50;;;;;;;;;;;;;;;;
leca expe;kl;Lecanora expectans;;;;;;;;;;;3,00;12,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;;0,50
grey crus;kl;grey indeterminate crust;;;;;;;;;;;;;;;;;;;;;;;;;;;2,50;;;;5,50;;;;;;;;;;;;;;;;;
pras cris;kl;Prasiola crispa;5,00;9,50;49,00;2,50;1,00;1,50;28.0;15.0;;;;;;;;;1,50;;0,50;;0,50;;;10,00;5,00;23,00;5,00;24,50;7,00;4,00;3,00;5,50;;;;;;;;;;;;;;;;
gree alga;kl;green algae;5,00;;;;;;;;;;;;;;;;;;;;13,50;;;;;;;;;;;;;;;;;;7,00;3,00;0,50;1,00;0,50;2,50;1,50;2,00;1,00;0,50
alga moss;kl;algae on moss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,50;;;19,00;13,50;35,50;23,50;13,00;11,50;4,50;11,00;10,50;15,00;5,50;3,50;3,50;16,50;12,00;16,00
cyan bact;kl;cyanobacteria;3,50;0,50;;;;;;;1.0;;21,50;7,50;50,50;18,00;31,00;40,00;58,50;19,50;12,00;23,50;18,50;1,00;30,00;;;;;;;;0,50;0,50;;;;;;;;;;;;;;;;
calo saxi;kl;Caloplaca saxicola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00;1,00;;1,00;;;;;2,00;;;;;;;
phys caes;kl;Physcia caesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,50;0,50;;;;;;;;;;1,00;0,50;;;
buel frig;kl;Buellia frigida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,50;;;;;;2,00;;;;;;;
