"plot";"cov";"tcov1";"tcov2";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"ropez";"expo";"slope";"rock";"bare";"stones";"soil";"date";"comment";"location";"longitude";"latitude";"altitude";"precision.horizontal";"precision.vertical"
"ds01";48;0;0;0;40;10;0;0;0;0,15;0,03;4;4;;"N";5;40;2;10;"Rendzina";"2011-08-31";;"Dachstein, Gjaidsteingrube";"13.658399E";"47.495422N";2086;3;6
"ds02";90;0;0;0;80;15;0;0;0;0,2;0,03;4;4;;"NE";5;3;3;4;"Rendzina";"2011-08-31";;"Dachstein, Gjaidsteingrube";"13.657310E";"47.496372N";2083;6;8
"ds03";90;0;0;0;88;3;0;0;0;0,1;0,03;4;4;;"N";10;5;2;3;"Rendzina";"2011-08-31";;"Dachstein, Gjaidsteingrube";"13.657411E";"47.497101N";2087;7;10
"ds04";79;0;0;0;77;3;0;0;0;0,2;0,05;4;4;;"N";3;15;2;4;"Rendzina";"2011-08-31";;"Dachstein, Gjaidsteingrube";"13.657188E";"47.497196N";2077;6;8
"ds05";92;0;0;0;80;15;0;0;0;0,15;0,03;4;4;;"NE";5;4;3;1;"Rendzina";"2011-08-31";;"Dachstein, Gjaidsteingrube";"13.656323E";"47.498145N";2064;8;17
"ds06";80;0;35;50;40;3;0;5;2,5;1;0,25;8;8;0;"E";10;0;0;45;"Syrosem, Rendzina";"2012-07-31";;"Dachstein, Hinterer Gosausee";"13.547307E";"47.500314N";9999;8;20
"ds07";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.637658E";"47.483434N";9999;8;20
"ds08";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.642202E";"47.485026N";9999;8;20
"ds09";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.646646E";"47.486446N";9999;8;20
"ds10";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.647705E";"47.487107N";9999;8;20
"ds11";;0;0;0;;;0;0;0;;;4;4;;;;;;;"Augensteine";2011-08-01;;"Dachstein, Gjaidstein";"13.649827E";"47.487573N";9999;8;20
"ds12";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;"keine Augensteine, keine Flechten";"Dachstein, Gjaidstein";"13.649798E";"47.487322N";9999;8;20
"ds13";;0;0;0;;;0;0;0;;;4;4;;;;;;;"Augensteine";2011-08-01;"Deflationsanrisse";"Dachstein, Gjaidstein";"13.650236E";"47.487436N";9999;8;20
"ds14";;0;0;0;;;0;0;0;;;4;4;;;;;;;"Augensteine";2011-08-01;"keine Flechten";"Dachstein, Gjaidstein";"13.650715E";"47.487179N";9999;8;20
"ds15";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.650716E";"47.487444N";9999;8;20
"ds16";;0;0;0;;;0;0;0;;;4;4;;;;;;;"Augensteine";2011-08-01;;"Dachstein, Gjaidstein";"13.649503E";"47.487610N";9999;8;20
"ds17";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Gjaidstein";"13.641164E";"47.492985N";9999;8;20
"ds18";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Taubenkogel";"13.644679E";"47.493703N";9999;8;20
"ds19";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;;"Dachstein, Taubenkogel";"13.646908E";"47.500653N";9999;8;20
"ds20";;0;0;0;;;0;0;0;;;4;4;;;;;;;;2011-08-01;"Windgasse in Latschengebüsch";"Dachstein, Wasserboden";"13.683628E";"47.493623N";9999;8;20
