"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"comment";"history"
"ds01";"pedi rost tata";"hl";0;;;;
"ds01";"care firm";"hl";"2b";;;;
"ds01";"prim clus";"hl";"2b";;;;
"ds01";"sela sela";"hl";0;;;;
"ds01";"kobr simp";"hl";"2m";;;;
"ds01";"ranu alpe";"hl";0;;;;
"ds01";"sesl caer";"hl";0;;;;
"ds01";"drya octo";"hl";3;;;;
"ds01";"cham alpi";"hl";"r";;;;
"ds01";"heli alpe";"hl";0;;;;
"ds01";"gali nori";"hl";1;;;;
"ds01";"agro rupe rupe";"hl";1;;;;
"ds01";"minu sedo";"hl";0;;;;
"ds01";"pote clus";"hl";0;;;;
"ds01";"euph sali";"hl";0;;;;
"ds01";"gent vern vern";"hl";1;;;;
"ds01";"prim mini";"hl";0;;;;
"ds01";"fest pumi";"hl";0;;;;
"ds01";"minu gera";"hl";0;;;;
"ds01";"agro alpi";"hl";0;;;;
"ds01";"flav cucu";"ml";0;;;;
"ds01";"alec ochr";"ml";0;;;;
"ds01";"racu lanu";"ml";"2a";;;;
"ds01";"calo tiro";"ml";0;;;;
"ds01";"vulp tubu";"ml";0;;;;
"ds01";"cetr isla isla";"ml";0;;;;
"ds01";"tort tort";"ml";1;;;;
"ds01";"cetr eric";"ml";0;;;;
"ds02";"drya octo";"hl";3;;;;
"ds02";"care firm";"hl";"2b";;;;
"ds02";"sesl caer";"hl";"2b";;;;
"ds02";"fest pumi";"hl";1;;;;
"ds02";"agro alpi";"hl";1;;;;
"ds02";"drab saut";"hl";1;;;;
"ds02";"andr cham";"hl";1;;;;
"ds02";"pach mute";"hl";0;;;;
"ds02";"pedi rost tata";"hl";0;;;;
"ds02";"euph sali";"hl";0;;;;
"ds02";"gent vern vern";"hl";1;;;;
"ds02";"gali nori";"hl";1;;;;
"ds02";"gent clus clus";"hl";0;;;;
"ds02";"agro rupe rupe";"hl";1;;;;
"ds02";"sile acau long";"hl";0;;;;
"ds02";"kobr simp";"hl";"2a";;;;
"ds02";"pote clus";"hl";0;;;;
"ds02";"sela sela";"hl";0;;;;
"ds02";"oxyt mont";"hl";"r";;;;
"ds02";"minu gera";"hl";0;;;;
