"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"determined";"comment"
"el01";"sali purp";"hl";"2a";;;;;
"el01";"barb vulg slat";"hl";"2a";;;;;
"el01";"rume obtu slat";"hl";"+";;;;"cf.";
"el01";"ranu repe";"hl";"+";;;;;
"el01";"desc cesp";"hl";"+";;;;;
"el01";"phal arun";"hl";"2a";;;;;
"el01";"plan lanc";"hl";"+";;;;;
"el01";"alli peti";"hl";"+";;;;;
"el01";"fest arun arun";"hl";1;;;;;
"el01";"clem vita";"hl";"+";;;;;
"el01";"corn sang slat";"hl";"+";;;;;
"el01";"lami macu";"hl";"+";;;;;
"el01";"elym cani";"hl";"+";;;;;
"el01";"poa annu";"hl";1;;;;;
"el01";"tara spec ies";"hl";"+";;;;;
"el01";"urti dioi dioi";"hl";"+";;;;;
"el01";"ment aqua";"hl";"r";;;;;
"el01";"plan majo majo";"hl";"+";;;;;
"el01";"stel medi";"hl";"+";;;;;
"el01";"pers spec ies";"hl";"+";;;;;
"el01";"dact glom glom";"hl";"+";;;;;
"el01";"agro stol";"hl";1;;;;;
"el01";"scro umbr slat";"hl";"+";;;;;
"el01";"impa glan";"hl";"+";;;;;
"el01";"card flex";"hl";1;;;;;
"el01";"sali tria tria";"hl";"+";;;;;
"el01";"tuss farf";"hl";"+";;;;;
"el02";"tili cord";"hl";"+";;;;;
"el02";"tili cord";"sl";"2a";;;;;
"el02";"tili cord";"tl2";"2a";;;;;
"el02";"tili cord";"tl1";4;;;;;
"el02";"samb nigr";"sl";"+";;;;;
"el02";"loni xylo";"hl";"2a";;;;;
"el02";"loni xylo";"sl";"2b";;;;;
"el02";"berb vulg";"hl";"+";;;;;
"el02";"berb vulg";"sl";1;;;;;
"el02";"cory avel";"hl";"+";;;;;
"el02";"cory avel";"sl";"2b";;;;;
"el02";"frax exce";"hl";"+";;;;;
"el02";"frax exce";"sl";"+";;;;;
"el02";"frax exce";"tl2";"+";;;;;
"el02";"frax exce";"tl1";"2b";;;;;
"el02";"acer pseu";"hl";"+";;;;;
"el02";"acer pseu";"sl";"+";;;;;
"el02";"acer pseu";"tl1";1;;;;;
"el02";"acer camp";"hl";"+";;;;;
"el02";"acer camp";"sl";1;;;;;
"el02";"ligu vulg";"hl";1;;;;;
"el02";"ligu vulg";"sl";"+";;;;;
"el02";"crat mono";"hl";"+";;;;;
"el02";"corn sang slat";"hl";"+";;;;;
"el02";"corn sang slat";"sl";1;;;;;
"el02";"corn sang slat";"tl2";1;;;;;
"el02";"brac sylv";"hl";"2a";;;;;
"el02";"aego poda";"hl";"+";;;;;
"el02";"care alba";"hl";4;;;;;
"el02";"asar euro euro";"hl";1;;;;;
"el02";"merc pere";"hl";"2a";;;;;
"el02";"pulm offi";"hl";1;;;;;
"el02";"camp trac";"hl";"+";;;;;
"el02";"apos foet";"hl";"+";;;;;
"el02";"salv glut";"hl";1;;;;;
"el02";"rubu frut aggr";"hl";"+";;;;;
"el02";"ange sylv sylv";"hl";"+";;;;;
"el02";"gale mont";"hl";1;;;;;
"el02";"fili ulma ulma";"hl";"+";;;;;
"el02";"care sylv";"hl";"+";;;;;
"el02";"clem vita";"hl";"+";;;;;
"el02";"clem vita";"sl";"+";;;;;
"el02";"dryo fili";"hl";"+";;;;;
"el02";"care digi";"hl";1;;;;;
"el02";"prun padu padu";"hl";"+";;;;;
"el02";"moeh trin";"hl";"+";;;;;
"el02";"hede heli";"hl";"+";;;;;
"el02";"soli virg virg";"hl";"+";;;;;
"el02";"quer robu";"hl";"+";;;;;
"el02";"vibu lant";"hl";"+";;;;;
"el02";"vibu lant";"sl";"+";;;;;
"el02";"conv maja maja";"hl";"+";;;;;
"el02";"carp betu";"sl";"+";;;;;
"el02";"viol mira";"hl";"+";;;;;
"el02";"ulmu glab";"hl";1;;;;;
"el02";"ulmu glab";"sl";"+";;;;;
"el02";"ulmu glab";"tl2";1;;;;;
"el02";"cycl purp";"hl";"+";;;;;
"el02";"brom bene";"hl";"+";;;;;
"el02";"euon euro";"hl";"+";;;;;
"el03";"popu nigr";"tl1";"2b";;;;;
"el03";"frax exce";"tl1";3;;;;;
"el03";"frax exce";"tl2";"2b";;;;;
"el03";"frax exce";"sl";1;;;;;
"el03";"frax exce";"hl";"+";;;;;
"el03";"corn sang slat";"sl";3;;;;;
"el03";"corn sang slat";"hl";1;;;;;
"el03";"loni xylo";"sl";"2a";;;;;
"el03";"loni xylo";"hl";"+";;;;;
"el03";"acer camp";"tl2";1;;;;;
"el03";"acer camp";"sl";"2b";;;;;
"el03";"acer camp";"hl";"+";;;;;
"el03";"crat mono";"sl";"+";;;;;
"el03";"crat mono";"hl";"+";;;;;
"el03";"vibu lant";"sl";1;;;;;
"el03";"acer pseu";"sl";1;;;;;
"el03";"acer pseu";"hl";"+";;;;;
"el03";"ligu vulg";"sl";1;;;;;
"el03";"ligu vulg";"hl";1;;;;;
"el03";"quer robu";"hl";"+";;;;;
"el03";"euon euro";"sl";"+";;;;;
"el03";"sali elea elea";"sl";1;;;;;
"el03";"carp betu";"hl";"+";;;;;
"el03";"samb nigr";"sl";"+";;;;;
"el03";"humu lupu";"hl";"+";;;;;
"el03";"humu lupu";"sl";"+";;;;;
"el03";"asar euro euro";"hl";1;;;;;
"el03";"desc cesp";"hl";"+";;;;;
"el03";"fest arun arun";"hl";"+";;;;;
"el03";"pulm offi";"hl";"+";;;;;
"el03";"gale mont";"hl";"2a";;;;;
"el03";"gera phae slat";"hl";"+";;;;;
"el03";"erig annu annu";"hl";"+";;;;;
"el03";"clem vita";"hl";"2a";;;;;
"el03";"clem vita";"sl";3;;;;;
"el03";"clem vita";"tl2";1;;;;;
"el03";"ange sylv sylv";"hl";"+";;;;;
"el03";"rubu frut aggr";"hl";"+";;;;;
"el03";"lami macu";"hl";1;;;;;
"el03";"brac sylv";"hl";3;;;;;
"el03";"glec hede";"hl";"+";;;;;
"el03";"viol mira";"hl";"+";;;;;
"el03";"fili ulma ulma";"hl";"+";;;;;
"el03";"rubu caes";"hl";3;;;;;
"el03";"care sylv";"hl";"+";;;;;
"el03";"care muri aggr";"hl";"+";;;;;
"el03";"dact glom glom";"hl";"+";;;;;
"el03";"merc pere";"hl";"+";;;;;
"el03";"salv glut";"hl";"+";;;;;
"el03";"poa nemo";"hl";"+";;;;;
"el03";"urti dioi dioi";"hl";"+";;;;;
"el03";"phal arun";"hl";1;;;;;
"el03";"gali albu";"hl";"+";;;;;
"el03";"geum urba";"hl";"+";;;;;
"el03";"tili cord";"hl";1;;;;;
"el03";"poa angu";"hl";"+";;;;"cf.";
"el04";"frax exce";"tl1";5;;;;;
"el04";"frax exce";"tl2";"2a";;;;;
"el04";"frax exce";"sl";"+";;;;;
"el04";"ligu vulg";"sl";"2b";;;;;
"el04";"ligu vulg";"hl";"+";;;;;
"el04";"vibu lant";"sl";"2a";;;;;
"el04";"corn sang slat";"tl2";1;;;;;
"el04";"corn sang slat";"sl";"2b";;;;;
"el04";"corn sang slat";"hl";"+";;;;;
"el04";"crat mono";"sl";"2a";;;;;
"el04";"crat mono";"hl";"+";;;;;
"el04";"euon euro";"tl2";1;;;;;
"el04";"euon euro";"sl";"2a";;;;;
"el04";"loni xylo";"sl";"2a";;;;;
"el04";"loni xylo";"hl";1;;;;;
"el04";"rosa arve";"hl";"+";;;;;
"el04";"quer robu";"sl";"+";;;;;
"el04";"quer robu";"hl";"+";;;;;
"el04";"acer pseu";"sl";1;;;;;
"el04";"acer pseu";"hl";"+";;;;;
"el04";"tili cord";"tl2";1;;;;;
"el04";"quer robu";"tl2";1;;;;;
"el04";"phal arun";"hl";1;;;;;
"el04";"clem vita";"tl2";"2a";;;;;
"el04";"clem vita";"sl";"2b";;;;;
"el04";"clem vita";"hl";1;;;;;
"el04";"glec hede";"hl";"+";;;;;
"el04";"soli virg virg";"hl";"+";;;;;
"el04";"aego poda";"hl";"+";;;;;
"el04";"card pers pers";"hl";"+";;;;;
"el04";"brac sylv";"hl";4;;;;;
"el04";"pulm offi";"hl";"+";;;;;
"el04";"lami macu";"hl";1;;;;;
"el04";"geum urba";"hl";"+";;;;;
"el04";"viol mira";"hl";"+";;;;;
"el04";"dact glom glom";"hl";1;;;;;
"el04";"fili ulma ulma";"hl";"+";;;;;
"el04";"alli peti";"hl";"+";;;;;
"el04";"phyt spic";"hl";"+";;;;;
"el04";"camp trac";"hl";"+";;;;;
"el04";"care sylv";"hl";"+";;;;;
"el04";"rubu caes";"hl";"2a";;;;;
"el04";"ange sylv sylv";"hl";"+";;;;;
"el04";"urti dioi dioi";"hl";"+";;;;;
"el04";"gera phae slat";"hl";"+";;;;;
"el04";"humu lupu";"hl";"+";;;;;
"el04";"humu lupu";"sl";"+";;;;;
"el04";"stac sylv";"hl";"+";;;;;
"el04";"hede heli";"hl";"+";;;;;
"el04";"stel medi";"hl";"+";;;;;
"el04";"rubu idae";"hl";"+";;;;;
"el04";"sapo offi";"hl";"+";;;;;
"el04";"euph amyg amyg";"hl";"+";;;;;
"el04";"lysi numm";"hl";"+";;;;;
"el05";"frax exce";"tl1";3;;;;;
"el05";"frax exce";"sl";1;;;;;
"el05";"frax exce";"hl";"+";;;;;
"el05";"berb vulg";"sl";"2b";;;;;
"el05";"berb vulg";"hl";"+";;;;;
"el05";"crat mono";"sl";1;;;;;
"el05";"crat mono";"hl";"+";;;;;
"el05";"loni xylo";"sl";"2b";;;;;
"el05";"loni xylo";"hl";"+";;;;;
"el05";"ligu vulg";"sl";"2a";;;;;
"el05";"tili cord";"tl1";3;;;;;
"el05";"tili cord";"sl";1;;;;;
"el05";"tili cord";"hl";"+";;;;;
"el05";"vibu lant";"sl";1;;;;;
"el05";"sali elea elea";"tl1";1;;;;;
"el05";"cory avel";"sl";1;;;;;
"el05";"daph meze";"hl";"+";;;;;
"el05";"clem vita";"tl1";"+";;;;;
"el05";"clem vita";"sl";"2a";;;;;
"el05";"clem vita";"hl";"+";;;;;
"el05";"samb nigr";"sl";"+";;;;;
"el05";"ulmu glab";"hl";"+";;;;;
"el05";"care alba";"hl";"2b";;;;;
"el05";"lami macu";"hl";"2a";;;;;
"el05";"hepa nobi";"hl";1;;;;;
"el05";"asar euro euro";"hl";"2a";;;;;
"el05";"ange sylv sylv";"hl";1;;;;;
"el05";"care sylv";"hl";1;;;;;
"el05";"salv glut";"hl";"2b";;;;;
"el05";"fest giga";"hl";"+";;;;;
"el05";"hede heli";"sl";1;;;;;
"el05";"hede heli";"hl";1;;;;;
"el05";"pulm offi";"hl";1;;;;;
"el05";"euph cypa";"hl";"+";;;;;
"el05";"gera robe";"hl";"+";;;;;
"el05";"urti dioi dioi";"hl";"+";;;;;
"el05";"vale offi samb";"hl";"+";;;;;
"el05";"viol hirt";"hl";"+";;;;;
"el05";"corn sang slat";"sl";"2a";;;;;
"el05";"corn sang slat";"hl";"+";;;;;
"el05";"card pers pers";"hl";"r";;;;;
"el05";"hera spho spho";"hl";"+";;;;;
"el05";"geum urba";"hl";"+";;;;;
"el05";"glec hede";"hl";"+";;;;;
"el05";"lili mart";"hl";"+";;;;;
"el05";"conv maja maja";"hl";1;;;;;
"el05";"moeh trin";"hl";"+";;;;;
"el05";"care muri aggr";"hl";"+";;;;;
"el05";"rham cath";"hl";"+";;;;;
"el05";"aego poda";"hl";"+";;;;;
"el05";"camp trac";"hl";"+";;;;;
"el06";"frax exce";"tl1";3;;;;;
"el06";"frax exce";"tl2";1;;;;;
"el06";"frax exce";"sl";1;;;;;
"el06";"frax exce";"hl";3;;;;;
"el06";"prun padu padu";"sl";"2b";;;;;
"el06";"prun padu padu";"hl";"+";;;;;
"el06";"alnu inca";"tl2";"2b";;;;;
"el06";"samb nigr";"sl";"+";;;;;
"el06";"samb nigr";"hl";"+";;;;;
"el06";"popu nigr";"tl1";"2b";;;;;
"el06";"acer pseu";"sl";1;;;;;
"el06";"acer pseu";"hl";"+";;;;;
"el06";"vibu lant";"sl";"+";;;;;
"el06";"humu lupu";"tl2";"+";;;;;
"el06";"humu lupu";"sl";"+";;;;;
"el06";"humu lupu";"hl";"+";;;;;
"el06";"corn sang slat";"sl";1;;;;;
"el06";"gera phae slat";"hl";"2a";;;;;
"el06";"merc pere";"hl";"+";;;;;
"el06";"cirs oler";"hl";1;;;;;
"el06";"glec hede";"hl";"2a";;;;;
"el06";"rubu caes";"hl";"2a";;;;;
"el06";"urti dioi dioi";"hl";1;;;;;
"el06";"gale mont";"hl";"+";;;;;
"el06";"gali apar";"hl";"+";;;;;
"el06";"stac sylv";"hl";1;;;;;
"el06";"alli scor";"hl";"+";;;;;
"el06";"phal arun";"hl";3;;;;;
"el06";"pulm offi";"hl";1;;;;;
"el06";"brac sylv";"hl";3;;;;;
"el06";"lami macu";"hl";1;;;;;
"el06";"dact glom glom";"hl";1;;;;;
"el06";"fest giga";"hl";"2a";;;;;
"el06";"arct spec ies";"hl";"+";;;;;
"el06";"fili ulma ulma";"hl";"+";;;;;
"el06";"soli virg virg";"hl";1;;;;;
"el06";"aego poda";"hl";1;;;;;
"el06";"geum urba";"hl";"+";;;;;
"el06";"card pers pers";"hl";"+";;;;;
"el06";"rubu frut aggr";"hl";"+";;;;;
"el06";"dryo fili";"hl";"+";;;;;
"el06";"circ lute lute";"hl";"+";;;;;
"el06";"card impa";"hl";"+";;;;;
"el07";"popu nigr";"tl1";"2a";;;;;
"el07";"frax exce";"tl1";"2b";;;;;
"el07";"sali elea elea";"tl1";3;;;;;
"el07";"crat mono";"tl2";1;;;;;
"el07";"crat mono";"sl";1;;;;;
"el07";"crat mono";"hl";"+";;;;;
"el07";"loni xylo";"sl";"2a";;;;;
"el07";"carp betu";"tl2";1;;;;;
"el07";"carp betu";"sl";"+";;;;;
"el07";"tili cord";"tl2";1;;;;;
"el07";"tili cord";"sl";"+";;;;;
"el07";"vibu lant";"sl";"+";;;;;
"el07";"vibu lant";"hl";"+";;;;;
"el07";"cory avel";"sl";1;;;;;
"el07";"ligu vulg";"sl";1;;;;;
"el07";"euon euro";"hl";"+";;;;;
"el07";"robi pseu";"tl1";1;;;;;
"el07";"robi pseu";"tl2";"+";;;;;
"el07";"corn sang slat";"tl2";1;;;;;
"el07";"corn sang slat";"sl";"2b";;;;;
"el07";"pulm offi";"hl";"+";;;;;
"el07";"moeh trin";"hl";"+";;;;;
"el07";"brac sylv";"hl";3;;;;;
"el07";"lami macu";"hl";1;;;;;
"el07";"rubu frut aggr";"hl";"+";;;;;
"el07";"gera phae slat";"hl";"+";;;;;
"el07";"care pilo";"hl";"+";;;;;
"el07";"urti dioi dioi";"hl";"+";;;;;
"el07";"stac sylv";"hl";1;;;;;
"el07";"geum urba";"hl";1;;;;;
"el07";"alli peti";"hl";"+";;;;;
"el07";"asar euro euro";"hl";1;;;;;
"el07";"aego poda";"hl";1;;;;;
"el07";"vale offi samb";"hl";"+";;;;;
"el07";"fest giga";"hl";"+";;;;;
"el07";"gera robe";"hl";"+";;;;;
"el07";"viol hirt";"hl";"+";;;;;
"el07";"stel nemo";"hl";"+";;;;;
"el07";"soli virg virg";"hl";"+";;;;;
"el07";"card pers pers";"hl";"+";;;;;
"el07";"merc pere";"hl";"+";;;;;
"el07";"poa angu";"hl";"+";;;;"cf.";
"el07";"brom bene";"hl";"+";;;;;
"el07";"fili ulma ulma";"hl";"+";;;;;
"el07";"prim elat";"hl";"+";;;;;
"el07";"ranu lanu";"hl";"+";;;;;
"el07";"hepa nobi";"hl";"+";;;;;
"el07";"conv maja maja";"hl";"+";;;;;
"el07";"care alba";"hl";1;;;;;
"el07";"viol mira";"hl";"+";;;;;
"el07";"clem vita";"hl";"+";;;;;
"el07";"cycl purp";"hl";"+";;;;;
"el07";"circ lute lute";"hl";"+";;;;;
"el07";"rham cath";"hl";"+";;;;;
