"plot";"abbr";"layer";"cov";"voucher";"determined";"history"
"fb01";"pice abie";"tl1";"5";;;
"fb01";"vacc myrt";"hl";"+";;;
"fb01";"dryo cart";"hl";"+";;;
"fb01";"abie alba";"sl";"+";;;
"fb01";"hylo sple";"ml";"5";;;
"fb01";"bazz tril";"ml";"1";;;
"fb01";"dicr denu";"ml";"+";;;
"fb01";"pleu schr";"ml";"1";;;
"fb01";"dicr scop";"ml";"+";;;
"fb01";"poly form";"ml";"+";;"cf.";
"fb01";"hypn cupr";"ml";"+";;;
"fb02";"pice abie";"tl1";"5";;;
"fb02";"abie alba";"hl";"+";;;
"fb02";"fran alnu";"hl";"r";;;
"fb02";"care pilu pilu";"hl";"r";;;
"fb02";"vacc myrt";"hl";"+";;;
"fb02";"aven flex flex";"hl";"+";;;
"fb02";"hylo sple";"ml";"4";;;
"fb02";"bazz tril";"ml";"1";;;
"fb02";"brac ruta";"ml";"2b";;"cf.";
"fb02";"dicr denu";"ml";"+";;;
"fb02";"poly form";"ml";"+";;;
"fb02";"leuc glau";"ml";"+";;;
"fb02";"dicr scop";"ml";"+";;;
"fb02";"scle puru";"ml";"+";;;
"fb03";"pice abie";"tl1";"5";;;
"fb03";"abie alba";"sl";"+";;;
"fb03";"abie alba";"hl";"2a";;;
"fb03";"fran alnu";"sl";"+";;;
"fb03";"sorb aucu aucu";"sl";"r";;;
"fb03";"vacc myrt";"hl";"2b";;;
"fb03";"dryo cart";"hl";"1";;;
"fb03";"quer robu";"hl";"r";;;
"fb03";"care pilu pilu";"hl";"r";;;
"fb03";"rubu sect rubu";"hl";"r";;;
"fb03";"hylo sple";"ml";"2b";;;
"fb03";"aven flex flex";"hl";"1";;;
"fb03";"poly form";"ml";"2a";;;
"fb03";"dicr scop";"ml";"2b";;;
"fb03";"pleu schr";"ml";"3";;;
"fb03";"dicr spec ies";"ml";"1";;;
"fb03";"leuc glau";"ml";"+";;;
"fb03";"unde bryo";"ml";"2b";;;
"fb04";"abie alba";"tl1";"3";;;
"fb04";"abie alba";"tl2";"2a";;;
"fb04";"abie alba";"sl";"1";;;
"fb04";"abie alba";"hl";"+";;;
"fb04";"pice abie";"tl1";"4";;;
"fb04";"pice abie";"sl";"1";;;
"fb04";"fran alnu";"sl";"1";;;
"fb04";"fran alnu";"hl";"+";;;
"fb04";"betu pend";"hl";"+";;;
"fb04";"vacc myrt";"hl";"3";;;
"fb04";"dryo cart";"hl";"1";;;
"fb04";"sorb aucu aucu";"hl";"+";;;
"fb04";"quer robu";"hl";"r";;;
"fb04";"hylo sple";"ml";"3";;;
"fb04";"spha girg";"ml";"1";;;
"fb04";"bazz tril";"ml";"2b";;;
"fb04";"pleu schr";"ml";"1";;;
"fb04";"poly form";"ml";"2b";;;
"fb04";"plag laet secu";"ml";"1";;;
"fb04";"dicr denu";"ml";"1";;;
"fb04";"leuc glau";"ml";"1";;;
"fb04";"dicr scop";"ml";"1";;;
"fb05";"pice abie";"tl1";"3";;;
"fb05";"pice abie";"tl2";"1";;;
"fb05";"pice abie";"sl";"1";;;
"fb05";"pice abie";"hl";"2a";;;
"fb05";"abie alba";"tl1";"4";;;
"fb05";"abie alba";"tl2";"2a";;;
"fb05";"abie alba";"sl";"1";;;
"fb05";"abie alba";"hl";"2a";;;
"fb05";"fran alnu";"sl";"2a";;;
"fb05";"fran alnu";"hl";"+";;;
"fb05";"sorb aucu aucu";"hl";"+";;;
"fb05";"quer robu";"hl";"r";;;
"fb05";"vacc myrt";"hl";"4";;;
"fb05";"dryo cart";"hl";"1";;;
"fb05";"aven flex flex";"hl";"+";;;
"fb05";"pleu schr";"ml";"3";;;
"fb05";"spha girg";"ml";"2b";;;
"fb05";"poly form";"ml";"1";;;
"fb05";"hypn cupr";"ml";"+";;;
"fb05";"bazz tril";"ml";"2b";;;
"fb05";"hylo sple";"ml";"2a";;;
"fb05";"leuc glau";"ml";"+";;;
"fb05";"dicr scop";"ml";"+";;;
"fb05";"dicr denu";"ml";"1";;;
"fb05";"plag laet secu";"ml";"1";;;
"fb06";"abie alba";"tl1";"2a";;;
"fb06";"abie alba";"sl";"2a";;;
"fb06";"abie alba";"hl";"3";;;
"fb06";"pice abie";"tl1";"4";;;
"fb06";"pice abie";"sl";"1";;;
"fb06";"pice abie";"hl";"+";;;
"fb06";"fran alnu";"sl";"+";;;
"fb06";"fran alnu";"hl";"+";;;
"fb06";"sorb aucu aucu";"hl";"+";;;
"fb06";"vacc myrt";"hl";"3";;;
"fb06";"dryo cart";"hl";"1";;;
"fb06";"aven flex flex";"hl";"1";;;
"fb06";"hylo sple";"ml";"3";;;
"fb06";"poly form";"ml";"2a";;;
"fb06";"dicr scop";"ml";"1";;;
"fb06";"pleu schr";"ml";"2a";;;
"fb06";"bazz tril";"ml";"1";;;
"fb06";"plag laet secu";"ml";"2b";;;
"fb06";"dicr denu";"ml";"+";;;
"fb07";"pice abie";"tl1";"4";;;
"fb07";"pice abie";"sl";"2a";;;
"fb07";"pice abie";"hl";"1";;;
"fb07";"abie alba";"tl1";"3";;;
"fb07";"abie alba";"tl2";"2b";;;
"fb07";"abie alba";"sl";"1";;;
"fb07";"abie alba";"hl";"+";;;
"fb07";"pinu sylv";"tl1";"1";;;
"fb07";"sorb aucu aucu";"hl";"r";;;
"fb07";"vacc myrt";"hl";"4";;;
"fb07";"spha fimb";"ml";"3";;;
"fb07";"bazz tril";"ml";"3";;;
"fb07";"pleu schr";"ml";"1";;;
"fb07";"poly form";"ml";"1";;;
"fb07";"dicr scop";"ml";"+";;;
"fb07";"dicr denu";"ml";"+";;;
"fb07";"hypn cupr";"ml";"1";;;
"fb07";"hylo sple";"ml";"1";;;
