ago rup	agro rupe rupe
des ces	desc cesp
hup sel	hupe sela
jun tri	junc trif
luz gla	luzu glab
poa alp	poa alpi alpi
sax ste	saxi stel slat
sol pus	sold pusi
ant alp	anth vuln alpi
leo hel	scor helv
ore dis	oreo dist
jun jac	junc jacq
leu alp	leuc alpi
phy glo	phyt glob
pri glu	prim glut
pri min	prim mini
rho fer	rhod ferr
sal her	sali herb
sal reu	sali retu
ave fle	aven flex flex
ave ver	aven vers
cam sch	camp sche
pul alb	puls alpi alba
cax par	care parv
cer uni	cera unif
cir spi	cirs spin
dia gla	dian glac
gna sup	gnap supi
sax mos	saxi mosc
sil exs	sile acau exsc
veo alp	vero alpi
