"plot";"abbr";"layer";"cov";"history"
"vsb0227";"agro rupe rupe";"hl";"2a";" | Changed ago rup To agro rupe rupe 2012-11-26 23:48:51"
"vsb0227";"desc cesp";"hl";"+";" | Changed des ces To desc cesp 2012-11-26 23:48:51"
"vsb0227";"hupe sela";"hl";"+";" | Changed hup sel To hupe sela 2012-11-26 23:48:51"
"vsb0227";"junc trif";"hl";"2b";" | Changed jun tri To junc trif 2012-11-26 23:48:51"
"vsb0227";"luzu glab";"hl";"+";" | Changed luz gla To luzu glab 2012-11-26 23:48:51"
"vsb0227";"poa alpi";"hl";"+";" | Changed poa alp To poa alpi 2012-11-26 23:48:51"
"vsb0227";"saxi stel slat";"hl";"+";" | Changed sax ste To saxi stel slat 2012-11-26 23:48:51"
"vsb0227";"sold pusi alpi";"hl";"+";" | Changed sol pus To sold pusi alpi 2012-11-26 23:48:51"
"vsb0228";"agro rupe rupe";"hl";"+";" | Changed ago rup To agro rupe rupe 2012-11-26 23:48:51"
"vsb0228";"anth vuln alpi";"hl";"+";" | Changed ant alp To anth vuln alpi 2012-11-26 23:48:51"
"vsb0228";"desc cesp";"hl";"2a";" | Changed des ces To desc cesp 2012-11-26 23:48:51"
"vsb0228";"junc trif";"hl";"2b";" | Changed jun tri To junc trif 2012-11-26 23:48:51"
"vsb0228";"scor helv";"hl";"+";" | Changed leo hel To scor helv 2012-11-26 23:48:51"
"vsb0228";"luzu glab";"hl";"1";" | Changed luz gla To luzu glab 2012-11-26 23:48:51"
"vsb0228";"oreo dist";"hl";"+";" | Changed ore dis To oreo dist 2012-11-26 23:48:51"
"vsb0228";"sold pusi alpi";"hl";"1";" | Changed sol pus To sold pusi alpi 2012-11-26 23:48:51"
"vsb0229";"agro rupe rupe";"hl";"1";" | Changed ago rup To agro rupe rupe 2012-11-26 23:48:51"
"vsb0229";"desc cesp";"hl";"1";" | Changed des ces To desc cesp 2012-11-26 23:48:51"
"vsb0229";"junc jacq";"hl";"+";" | Changed jun jac To junc jacq 2012-11-26 23:48:51"
"vsb0229";"junc trif";"hl";"2a";" | Changed jun tri To junc trif 2012-11-26 23:48:51"
"vsb0229";"scor helv";"hl";"+";" | Changed leo hel To scor helv 2012-11-26 23:48:51"
"vsb0229";"leuc alpi";"hl";"+";" | Changed leu alp To leuc alpi 2012-11-26 23:48:51"
"vsb0229";"luzu glab";"hl";"1";" | Changed luz gla To luzu glab 2012-11-26 23:48:51"
"vsb0229";"oreo dist";"hl";"+";" | Changed ore dis To oreo dist 2012-11-26 23:48:51"
"vsb0229";"phyt glob";"hl";"+";" | Changed phy glo To phyt glob 2012-11-26 23:48:51"
"vsb0229";"poa alpi";"hl";"1";" | Changed poa alp To poa alpi 2012-11-26 23:48:51"
"vsb0229";"prim glut";"hl";"1";" | Changed pri glu To prim glut 2012-11-26 23:48:51"
"vsb0229";"prim mini";"hl";"+";" | Changed pri min To prim mini 2012-11-26 23:48:51"
"vsb0229";"rhod ferr";"hl";"+";" | Changed rho fer To rhod ferr 2012-11-26 23:48:51"
"vsb0229";"sali herb";"hl";"1";" | Changed sal her To sali herb 2012-11-26 23:48:51"
"vsb0229";"sali retu";"hl";"+";" | Changed sal reu To sali retu 2012-11-26 23:48:51"
"vsb0230";"agro rupe rupe";"hl";"2a";" | Changed ago rup To agro rupe rupe 2012-11-26 23:48:51"
"vsb0230";"aven flex flex";"hl";"2a";" | Changed ave fle To aven flex flex 2012-11-26 23:48:51"
"vsb0230";"aven vers";"hl";"3";" | Changed ave ver To aven vers 2012-11-26 23:48:51"
"vsb0230";"camp sche";"hl";"+";" | Changed cam sch To camp sche 2012-11-26 23:48:51"
"vsb0230";"junc trif";"hl";"1";" | Changed jun tri To junc trif 2012-11-26 23:48:51"
"vsb0230";"scor helv";"hl";"+";" | Changed leo hel To scor helv 2012-11-26 23:48:51"
"vsb0230";"luzu glab";"hl";"1";" | Changed luz gla To luzu glab 2012-11-26 23:48:51"
"vsb0230";"oreo dist";"hl";"+";" | Changed ore dis To oreo dist 2012-11-26 23:48:51"
"vsb0230";"prim glut";"hl";"1";" | Changed pri glu To prim glut 2012-11-26 23:48:51"
"vsb0230";"prim mini";"hl";"2m";" | Changed pri min To prim mini 2012-11-26 23:48:51"
