plot;variable;value
Exner2004:01;altitude;1200
Exner2004:02;altitude;1300
Exner2004:03;altitude;1300
Exner2004:04;altitude;1250
Exner2004:05;altitude;1000
Exner2004:06;altitude;1250
Exner2004:07;altitude;1100
Exner2004:08;altitude;1100
Exner2004:09;altitude;1500
Exner2004:10;altitude;1560
Exner2004:11;altitude;1480
Exner2004:12;altitude;1300
Exner2004:13;altitude;1380
Exner2004:14;altitude;1500
Exner2004:15;altitude;1410
Exner2004:16;altitude;1400
Exner2004:17;altitude;1380
Exner2004:18;altitude;1360
Exner2004:19;altitude;1490
Exner2004:20;altitude;1410
Exner2004:01;comment;
Exner2004:02;comment;
Exner2004:03;comment;
Exner2004:04;comment;
Exner2004:05;comment;
Exner2004:06;comment;
Exner2004:07;comment;
Exner2004:08;comment;
Exner2004:09;comment;
Exner2004:10;comment;
Exner2004:11;comment;
Exner2004:12;comment;
Exner2004:13;comment;
Exner2004:14;comment;
Exner2004:15;comment;
Exner2004:16;comment;
Exner2004:17;comment;
Exner2004:18;comment;
Exner2004:19;comment;
Exner2004:20;comment;
Exner2004:01;expo;S
Exner2004:02;expo;S
Exner2004:03;expo;S
Exner2004:04;expo;S
Exner2004:05;expo;SE
Exner2004:06;expo;S
Exner2004:07;expo;S
Exner2004:08;expo;S
Exner2004:09;expo;S
Exner2004:10;expo;W
Exner2004:11;expo;S
Exner2004:12;expo;S
Exner2004:13;expo;S
Exner2004:14;expo;SE
Exner2004:15;expo;S
Exner2004:16;expo;S
Exner2004:17;expo;S
Exner2004:18;expo;S
Exner2004:19;expo;S
Exner2004:20;expo;S
Exner2004:01;latitude;47,102207
Exner2004:02;latitude;47,099044
Exner2004:03;latitude;47,112043
Exner2004:04;latitude;47,112385
Exner2004:05;latitude;47,08969
Exner2004:06;latitude;47,10385
Exner2004:07;latitude;47,089129
Exner2004:08;latitude;47,09507
Exner2004:09;latitude;47,100724
Exner2004:10;latitude;47,020272
Exner2004:11;latitude;47,021712
Exner2004:12;latitude;47,004186
Exner2004:13;latitude;47,010411
Exner2004:14;latitude;47,008334
Exner2004:15;latitude;47,006865
Exner2004:16;latitude;47,005353
Exner2004:17;latitude;47,010914
Exner2004:18;latitude;47,016658
Exner2004:19;latitude;47,024059
Exner2004:20;latitude;47,018145
Exner2004:01;location;Lungau, Muhr, Fuß einer Felswand oberhalb Muhr
Exner2004:02;location;Lungau, Muhr, Felsunterkante oberh. Muhr Richtung Mayerhof
Exner2004:03;location;Lungau, W of Jedl, Trockener Felsrasen westl. Jedl
Exner2004:04;location;Lungau, W of Jedl, Felswand ca 200 m westl. Trockener Felsrasen westl. Jedl
Exner2004:05;location;Lungau, E of Muhr, Trockenfelsen bei Hemerach
Exner2004:06;location;Lungau, Muhr/Jedl, Felsen zwischen Muhr und Jedl kurz vor dem Trawenig-Graben
Exner2004:07;location;Lungau, E of Hemerach, Felsen bei der alten Brücke östl. Hemerach
Exner2004:08;location;Lungau, Maierhof, Felsen oberhalb Maierhof
Exner2004:09;location;Lungau, E of Muhr, Trockenfelsen beim Zeppergraben ca 2 km östl. Muhr
Exner2004:10;location;Ost-Tirol, Virgental, Hinterbichl
Exner2004:11;location;Ost-Tirol, Virgental, near Bichl W of Prägraten
Exner2004:12;location;Ost-Tirol, Virgental, road Obermauer-Bojobach
Exner2004:13;location;Ost-Tirol, Virgental, Obermauern, Steinige steile, verbuschte Heide oberhalb Obermauern
Exner2004:14;location;Ost-Tirol, Virgental, Budam, Felsiger Steilhang unterhalb Budam
Exner2004:15;location;Ost-Tirol, Virgental, Obermauern-Bojobach, Felsiger Steilhang am Weg Obermauern-Bobojach, östlich des Wegkreuzes
Exner2004:16;location;"Ost-Tirol, Virgental, Obermauern; Flachgründiger Trockenhang bei der Burg Obermauern"
Exner2004:17;location;Ost-Tirol, Virgental, Obermauern, Treppiger Felsen an der Nilbachbrücke oberhalb Obermauern
Exner2004:18;location;Ost-Tirol, Virgental, Wallhorn, Steiler Felshang unterhalb Wallhorn
Exner2004:19;location;Ost-Tirol, Virgental, Hinterbichl, Felsige Partie oberhalb felsiger Trockenrasen beim Wiesenkreuz oberhalb Hinterbichl
Exner2004:20;location;Ost-Tirol, Virgental, Wallhorn, Verbuschte Weide bei Wallhorn
Exner2004:01;longitude;13,498475
Exner2004:02;longitude;13,515123
Exner2004:03;longitude;13,467066
Exner2004:04;longitude;13,466055
Exner2004:05;longitude;13,547685
Exner2004:06;longitude;13,49588
Exner2004:07;longitude;13,553206
Exner2004:08;longitude;13,532499
Exner2004:09;longitude;13,524581
Exner2004:10;longitude;12,340434
Exner2004:11;longitude;12,356865
Exner2004:12;longitude;12,424437
Exner2004:13;longitude;12,439241
Exner2004:14;longitude;12,428507
Exner2004:15;longitude;12,423923
Exner2004:16;longitude;12,434089
Exner2004:17;longitude;12,437346
Exner2004:18;longitude;12,404584
Exner2004:19;longitude;12,335408
Exner2004:20;longitude;12,404777
Exner2004:01;plsx;8
Exner2004:02;plsx;9
Exner2004:03;plsx;10
Exner2004:04;plsx;9
Exner2004:05;plsx;7
Exner2004:06;plsx;9
Exner2004:07;plsx;10
Exner2004:08;plsx;5
Exner2004:09;plsx;0
Exner2004:10;plsx;0
Exner2004:11;plsx;0
Exner2004:12;plsx;0
Exner2004:13;plsx;0
Exner2004:14;plsx;0
Exner2004:15;plsx;0
Exner2004:16;plsx;0
Exner2004:17;plsx;0
Exner2004:18;plsx;0
Exner2004:19;plsx;0
Exner2004:20;plsx;0
Exner2004:01;plsy;10
Exner2004:02;plsy;10
Exner2004:03;plsy;10
Exner2004:04;plsy;10
Exner2004:05;plsy;10
Exner2004:06;plsy;10
Exner2004:07;plsy;10
