clin vulg	clin vulg vulg
aden glab	aden alpi
rubu frut	rubu sect rubu
sorb aucu	sorb aucu aucu
vinc hier	vinc hiru
vero cham	vero cham cham
card defl	card defl viri
sesl albi	sesl caer
myce mura	lact mura
acon vari	acon vari nasu
care flav	care flav flav
sene ovat	sene ovat ovat
lath prat	lath prat prat
poly amal	poly amar ella
carl acau	carl acau acau
pimp majo	pimp majo majo
acin alpi	clin alpi alpi
euph amyg	euph amyg amyg
knau arve	knau arve arve
cent mont	cyan mont
dent enne	card enne
epip hell	epip hell slat
dryo affi borr	dryo borr
aspl tric	aspl tric slat
conv maja	conv maja maja
symp tube	symp tube slat
thym prae	thym prae slat
coro emer	hipp emer emer
dact glom	dact glom glom
fest prat	fest prat prat
agro tenu	agro capi
tara offi	tara sect rude
urti dioi	urti dioi dioi
erig annu	erig annu slat
epil cili	epil cili cili
sonc aspe	sonc aspe aspe
trif prat	trif prat prat
