"plot";"abbr";"layer";"cov";"comment";"history"
"gb01";"buph sali";"hl";"2a";;
"gb01";"cala vari";"hl";"2b";;
"gb01";"vinc hiru";"hl";3;;
"gb01";"euph cypa";"hl";"2b";;
"gb01";"clin alpi alpi";"hl";"2a";;
"gb01";"orig vulg";"hl";1;;
"gb01";"teuc cham";"hl";"2a";;
"gb01";"card defl viri";"hl";"2a";;
"gb01";"sesl caer";"hl";"2b";;
"gb01";"care alba";"hl";"2a";;
"gb01";"clin vulg vulg";"hl";1;;
"gb01";"glob cord";"hl";0;;
"gb01";"viol hirt";"hl";0;;
"gb01";"frax exce";"hl";1;;
"gb01";"hier bifi";"hl";0;;
"gb01";"teuc mont";"hl";"2a";;
"gb01";"anth ramo";"hl";0;;
"gb01";"aspl ruta";"hl";0;;
"gb01";"alli lusi";"hl";"2m";;
"gb01";"rham cath";"hl";0;;
"gb01";"tort tort";"ml";"2a";;
"gb01";"rosa cani";"hl";1;;
"gb01";"gali anis";"hl";"2m";;
"gb01";"frag vesc";"hl";0;;
"gb01";"meli nuta";"hl";0;;
"gb01";"poly cham";"hl";"r";;
"gb01";"sedu albu";"hl";1;;
"gb01";"sang mino slat";"hl";0;;
"gb01";"sile nuta nuta";"hl";0;;
"gb01";"bryu arge";"ml";0;;
"gb01";"gali albu";"hl";0;;
"gb01";"hepa nobi";"hl";"r";;
"gb01";"kern saxa";"hl";"r";;
"gb01";"linu cath";"hl";0;;
"gb01";"care mont";"hl";0;;
"gb01";"care digi";"hl";"r";;
"gb01";"brac pinn";"hl";0;;
"gb02";"sorb aria aggr";"hl";0;;
"gb02";"sorb aria aggr";"sl";1;;
"gb02";"sorb aria aggr";"tl2";"2b";;
"gb02";"pice abie";"hl";1;;
"gb02";"pice abie";"sl";"2b";;
"gb02";"pice abie";"tl2";"2a";;
"gb02";"frax exce";"hl";0;;
"gb02";"frax exce";"tl2";"2a";;
"gb02";"cory avel";"hl";"2a";;
"gb02";"cory avel";"sl";0;;
"gb02";"rham cath";"hl";"2a";;
"gb02";"rham cath";"sl";0;;
"gb02";"quer robu";"tl2";"2a";;
"gb02";"cala vari";"hl";3;;
"gb02";"buph sali";"hl";"2a";;
"gb02";"vinc hiru";"hl";"2b";;
"gb02";"card defl viri";"hl";"2b";;
"gb02";"euph cypa";"hl";"2a";;
"gb02";"teuc cham";"hl";"2a";;
"gb02";"poly cham";"hl";1;;
"gb02";"gali anis";"hl";1;;
"gb02";"viol hirt";"hl";0;;
"gb02";"euph dulc";"hl";0;;
"gb02";"care alba";"hl";"2a";;
"gb02";"care digi";"hl";"2a";;
"gb02";"tort tort";"ml";0;;
"gb02";"care flac";"hl";1;;
"gb02";"sesl caer";"hl";"2b";;
"gb02";"frag vesc";"hl";0;;
"gb02";"clem vita";"hl";0;;
"gb02";"clem vita";"sl";0;;
"gb02";"care mont";"hl";0;;
"gb02";"clin alpi alpi";"hl";1;;
"gb02";"linu cath";"hl";1;;
"gb02";"meli nuta";"hl";1;;
"gb02";"poly cham";"hl";"2a";;
"gb02";"merc pere";"hl";0;;
"gb02";"anth ramo";"hl";0;;
