plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;soil;location;date;altitude;precision.vertical;precision.horizontal;longitude;latitude;comment;description
gk01;96;0;0;0;90;10;0;0;0;0,15;0,04;4;4;S;15;0;0;4;;Gernkogel;2012-09-11;2019;11;5;12.194433E;47.264312N;;
gk02;99;0;0;0;95;10;0;0;0;0,15;0,03;4;4;NE;15;0;0;1;;Gernkogel;2012-09-11;2075;10;7;12.192193E;47.264321N;;Kalk-Gämsheidespalier an Windgasse, Hangrutschung
gk03;65;0;0;0;60;7;0;0;0;0,1;0,03;4;4;SE;5;0;20;15;;Gernkogel;2012-09-11;2132;11;9;12.192611E;47.265704N;;
gk04;82;0;0;0;78;7;0;0;0;0,3;0,04;4;4;S;30;2;2;4;;Gernkogel;2012-09-11;2197;9;7;12.188195E;47.265478N;;
gk05;95;0;0;0;85;25;0;0;0;0,1;0,02;4;4;W;25;0;2;3;;Gernkogel;2012-09-11;2243;17;8;12.185126E;47.265671N;;
gk06;65;0;0;0;45;25;0;0;0;0,1;0,03;4;4;SW;30;0;30;5;Braunerde, Polsterrendzina;Gernkogel;2012-09-11;2205;18;8;12.183772E;47.265011N;mcov – 20% Caloplaca;
gk07;97;0;0;0;92;5;0;0;0;0,15;0,02;4;4;SW;30;0;0;3;Pechrendzina;Gernkogel;2012-09-11;2183;12;8;12.183139E;47.264909N;;Kalk-Gämsheidespalier
gk08;97;0;0;0;93;5;0;0;0;0,12;0,01;4;4;W;25;0;0;3;Pechrendzina;Gernkogel;2012-09-11;2170;11;7;12.182752E;47.264827N;;
gk09;44;0;0;0;37;7;0;0;0;0,1;0,03;4;4;SW;0;0;55;1;Polsterrendzina;Gernkogel;2012-09-11;2166;12;10;12.182617E;47.264622N;;windexponierter, Frostschutt-dominierter Polsterseggenrasen
gk10;98;0;0;0;90;10;0;0;0;0,17;0,04;4;4;W;25;0;0;2;Braunerde, Pechrendzina;Gernkogel;2012-09-11;2155;18;7;12.182114E;47.265290N;;
gk11;95;0;0;0;90;10;0;0;0;0,2;0,05;4;4;S;30;1;2;2;;Gernkogel, Reitlasten;2012-06-16;1590;30;10;12.184187E;47.254081N;;
