"plot";"abbr";"layer";"cov";"comment";"history"
"gk01";"lois proc";"hl";"2a";"cf.";
"gk01";"nard stri";"hl";"2b";;
"gk01";"cala vill";"hl";"+";;
"gk01";"soli virg minu";"hl";"+";;
"gk01";"call vulg";"hl";"2b";;
"gk01";"clad rang";"ml";1;;
"gk01";"clad arbu slat";"ml";1;;
"gk01";"cetra isla isla";"ml";1;;
"gk01";"poly juni";"ml";"+";;
"gk01";"vacc viti";"hl";1;;
"gk01";"care semp semp";"hl";"+";;
"gk01";"vacc myrt";"hl";1;;
"gk01";"puls alpi alba";"hl";"+";;
"gk01";"arni mont";"hl";"+";;
"gk01";"pote erec";"hl";"+";;
"gk01";"mute adon";"hl";"+";;
"gk01";"aven flex flex";"hl";"+";;
"gk01";"vacc gaul";"hl";"+";;
"gk01";"luzu alpi na";"hl";"+";;
"gk01";"gent acau";"hl";"r";;
"gk01";"pleu schr";"ml";1;;
"gk01";"clad macr eras";"ml";"+";;
"gk02";"lois proc";"hl";4;;
"gk02";"drya octo";"hl";"+";;
"gk02";"sesl caer";"hl";1;;
"gk02";"vacc viti";"hl";"+";;
"gk02";"vacc gaul";"hl";1;;
"gk02";"aven vers";"hl";1;;
"gk02";"care semp semp";"hl";"2a";;
"gk02";"scor helv";"hl";"+";;
"gk02";"anth vuln alpi";"hl";1;;
"gk02";"puls alpi alba";"hl";"+";;
"gk02";"prim mini";"hl";"+";;
"gk02";"flav niva";"ml";"+";;
"gk02";"clad arbu slat";"ml";1;;
"gk02";"camp sche";"hl";"+";;
"gk02";"pleu schr";"ml";1;;
"gk02";"hier alpi";"hl";"+";"cf.";
"gk02";"cetr isla isla";"ml";"+";;
"gk02";"flav cucu";"ml";"+";;
"gk02";"clad rang";"ml";1;;
"gk02";"pedi rost tata";"hl";"+";;
"gk02";"bart alpi";"hl";"+";;
"gk02";"oreo dist";"hl";"+";;
"gk02";"fest pumi";"hl";1;;
"gk02";"agro rupe rupe";"hl";1;;
"gk02";"trif prat niva";"hl";"+";;
"gk02";"hylo sple";"ml";"+";;
"gk02";"cetr eric";"ml";"+";;
"gk02";"aven flex flex";"hl";"+";;
"gk02";"sali retu";"hl";"+";;
"gk02";"bisc laev laev";"hl";"+";;
"gk02";"pers vivi";"hl";"+";;
"gk02";"rhod hirs";"hl";"+";;
"gk02";"euph offi pict";"hl";"+";;
"gk02";"luzu alpi na";"hl";"+";;
"gk02";"agro alpi";"hl";"+";;
