myce mura	lact mura
hier sylv	hier muro
luzu luzuo	luzu luzu ides
soli virg	soli virg virg
vero cham	vero cham cham
sene fuch	sene ovat ovat
sorb aucu	sorb aucu aucu
alli ursi	alli ursi ursi
circ lute	circ lute lute
knau dips	knau maxi
prun padu	prun padu
urti dioi	urti dioi dioi
rubu frut	rubu sect rubu
dent bulb	card bulb
dryo affi borr	dryo borr
care remo	care remo remo
mili effu	mili effu effu
euph amyg	euph amyg amyg
ange sylv	ange sylv sylv
clin vulg	clin vulg vulg
corn sang	corn sang slat
crat laev	crat laev laev
lath prat	lath prat prat
trif medi	trif medi medi
alch vulg	alch sect alch
aven pube	homa pube pube
beto offi	beto offi offi
cent jace	cent jace jace
dact glom	dact glom glom
fest nigr	fest nigr cens
fest prat	fest prat prat
hera spho	hera spho spho
knau arve	knau arve arve
leon hisp	leon hisp slat
lych flos	lych flos cucu
pimp majo	pimp majo majo
ranu acri	ranu acri acri
rhin alec	rhin alec alec
tara offi	tara sect rude
trif prat	trif prat prat
tris flav	tris flav flav
crep moll	crep moll slat
rume acet	rume acte osa
caly stip	will stip stip
vero serp	vero serp serp
rume obtu	rume obtu obtu
agro tenu	agro capi
prun aviu	prun aviu aviu
gale pube	gale pube pube
epip hell	epip hell slat
luzu sylv	luzu sylv sylv
care pilu	care pilu pilu
agro repe	elyt repe
prun cera cera	prun cera ifera
brom hord	brom hord hord
gali palu	gali palu palu
vale dioi	vale dioi dioi
myos scor	myos scor scor
gera phae	gera phae phae
poly bist	pers bist
ranu fica	fica vern vern
prun padu	prun padu padu

