plot,municipality,locality,gridcell
077,Admont,zw. Kalbling u. Sparafeld,8453/3
196,Admont,zw. Kalbling u. Riffel,8453/1
236,Admont,Kalbling,8453/3
234,Admont,Kalbling,8453/3
195,Admont,Kalbling,8453/1
378,Admont,Sparafeld,8453/1
379,Admont,Sparafeld,8453/1
380,Admont,Sparafeld,8453/1
381,Admont,Sparafeld,8453/1
412,Johnsbach,Zinödl,8454/1
443,Admont,Kalbling,8453/1
396,Johnsbach,Roßschweif,8453/2
398,Johnsbach,Roßschweif,8453/2
009,Admont,Kreuzkogel,8453/1
197,Admont,Kalbling,8453/1
194,Admont,Kalbling,8453/1
090,Johnsbach,Zinödl,8454/1
104,Admont,zw. Kalbling u. Sparafeld,8453/3
267,Johnsbach,Zinödl,8454/1
177,Admont,Kreuzkogel,8453/1
308,Johnsbach,Zinödl,8453/2
448,Johnsbach,Zinödl,8454/1
455,Johnsbach,Rotofen,8453/2
106,Johnsbach,Peternschartenkopf,8453/2
347,Johnsbach,Haindlkar,8453/2
353,Admont,Kalbling,8453/3
488,Admont,Reichenstein N Widscharte,8453/1
099,Admont,obere Goferschütt,8453/1
