taxon;matched.taxon
Gentiana clusii;Gentiana clusii ssp. clusii
Poa alpina;Poa alpina
Cerastium uniflorum ;Cerastium uniflorum
Arabis pumila;Arabis bellidifolia s.str.
Pedicularis aspleniifolia;Pedicularis aspleniifolia
Saxifraga androsacea;Saxifraga androsacea
Gentiana bavarica ssp. subacaulis;Gentiana bavarica s.str.
Hutchinsia alpina ssp. brevicaulis;Hornungia alpina ssp. brevicaulis
Pedicularis aspleniifolia;Pedicularis aspleniifolia
Carex fuliginosa;Carex fuliginosa
Cerastium uniflorum;Cerastium uniflorum
Arabis pumila;Arabis bellidifolia s.str.
Kobresia simpliciuscula;Kobresia simpliciuscula
Saxifraga burseriana;Saxifraga burseriana
Chamorchis alpina;Chamorchis alpina
Campanula scheuchzeri;Campanula scheuchzeri
Carex mucronata;Carex mucronata
Festuca pseudodura;Festuca pseudodura
Kobresia simpliciuscula;Kobresia simpliciuscula
Saxifraga burseriana;Saxifraga burseriana
Cerastium uniflorum;Cerastium uniflorum
Gentiana clusii;Gentiana clusii ssp. clusii
Botrychium lunaria;Botrychium lunaria
Artemisia genipi;Artemisia genipi
Voitia niva­lis;Voitia nivalis
Entodon concinnus;Entodon concinnus
Mycobilimbia lobulata;Bilimbia accedens
Catapyrenium cinereum;Catapyrenium cinereum
Lecanora epibryon var. epibryon;Lecanora epibryon var. epibryon
Cetraria ericetorum;Cetraria ericetorum
Cetraria cucullata;Flavocetraria cucullata
Cladonia pocillum;Cladonia pleurota
Solorina bispora;Solorina bispora s.lat.
Peltigera rufescens;Peltigera rufescens
Collema tenax;Collema tenax var. tenax
Primula farinosa;Primula farinosa
Chamorchis alpina;Chamorchis alpina
Saxifraga rudolphiana;Saxifraga rudolphiana
Cetraria nivalis;Flavocetraria nivalis
Lecanora epibryon var. epibryon;Lecanora epibryon var. epibryon
Cetraria cucullata;Flavocetraria cucullata
Cladonia pocillum;Cladonia pleurota
Solorina bispora;Solorina bispora s.lat.
Trisetum distichophyllum;Trisetum distichophyllum s.str.
Artemisia genipi;Artemisia genipi
Poa alpina;Poa alpina
Myurella apiculata;Myurella tenerrima
Entodon concinnus;Entodon concinnus
Orthothecium strictum;Orthothecium strictum
Gymnostomium aeroginosum;Gymnostomum aeruginosum
Caloplaca cerina var. muscorum;Caloplaca cerina var. muscorum
Botrychium lunaria;Botrychium lunaria
Campanula scheuchzeri;Campanula scheuchzeri
Cetraria nivalis;Flavocetraria nivalis
Hypnum cupressiforme;Hypnum cupressiforme
Tanacetum alpinum;Leucanthemopsis alpina
Artemisia genipi;Artemisia genipi
Saxifraga rudolphiana;Saxifraga rudolphiana
Doronicum glaciale;Doronicum glaciale ssp. glaciale
Ce­traria nivalis;Flavocetraria nivalis
Campanula scheuchzeri;Campanula scheuchzeri
Erigeron uniflorus;Erigeron uniflorus
Botrychium lunaria;Botrychium lunaria
Artemisia genipi;Artemisia genipi
Doronicum glaciale;Doronicum glaciale ssp. glaciale
Erigeron uniflorus;Erigeron uniflorus
Myurella apiculata;Myurella tenerrima
Cetraria nivalis;Flavocetraria nivalis
Schistidium apocarpum;Schistidium apocarpum
Hypnum cupressiforme;Hypnum cupressiforme
Botrychium lunaria;Botrychium lunaria
Myurella apiculata;Myurella tenerrima
Coelocaulon muricatum;Cetraria muricata
Campanula scheuchzeri;Campanula scheuchzeri
Biscutella laevigata;Biscutella laevigata ssp. laevigata
Phyteuma orbiculare;Phyteuma orbiculare s.str.
Cetraria nivalis;Flavocetraria nivalis
Carex ericetorum;Carex ericetorum
Biscutella laevigata;Biscutella laevigata ssp. laevigata
Carex curvula ssp. rosae;Carex curvula ssp. rosea
Poa alpina;Poa alpina
Myurella apiculata;Myurella tenerrima
Pertusaria geminipara;Pertusaria geminipara
