"plot";"cov";"tcov1";"tcov1";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"rock";"bare";"stones";"date";"soil";"comment";"latitude";"longitude";"horizontal precision";"altitude";"syntaxon"
"hg01";98;0;0;0;96;2;0;0;0;0,15;0,04;4;4;"W";15;1;1;0;2013-08-21;"Pechrendzina";;"47.507001N";"13.113866E";8;;
"hg02";98;0;0;0;93;5;0;0;0;0,15;0,03;4;4;"W";20;1;1;0;2013-08-21;"Pechrendzina";;"47.502437N";"13.093143E";8;;
"hg03";88;0;0;0;83;7;0;0;0;0,15;0,02;4;4;"N";7;2;3;7;2013-08-22;"Pechrendzina";;"47.502637N";"13.092859E";20;;
"hg04";98;0;0;0;85;20;0;0;0;0,1;0,02;4;4;"F";0;0;1;1;2013-08-22;"Braunlehm";;"47.500614N";"13.091306E";20;;
"hg05";97;0;0;0;95;5;0;0;0;0,15;0,03;4;4;"N";10;3;0;0;2013-08-22;"Pechrendzina";"direkt naben Dolinie";"47.500369N";"13.090932E";20;;
"hg06";97;0;0;0;90;10;0;0;0;0,15;0,03;4;4;"N";30;2;1;0;2013-08-22;"Pechrendzina";;"47.499902N";"13.091310E";20;;
"hg07";60;0;0;0;57;3;0;0;0;0,1;0,02;4;4;"N";3;0;1;39;2013-08-22;"Pechrendzina";;"47.500535N";"13.087511E";20;;
"hg08";94;0;0;0;84;10;0;0;0;0,1;0,01;4;4;"F";0;1;3;0;2013-08-22;"Braunlehm";;"47.499503N";"13.086223E";20;;
"hg09";99;0;0;0;98;2;0;0;0;0,2;0,01;4;4;"W";3;0;1;0;2013-08-22;"Pechrendzina";;"47.498954N";"13.085763E";20;;
"hg10";97;0;0;0;93;5;0;0;0;0,1;0,03;4;4;"NW";20;1;2;0;2013-08-22;"Pechrendzina";;"47.499129N";"13.085666E";20;;
