plot;abbr;layer;cover;comment;history
hö01;bart alpi;hl;+;;
hö01;bell mich;hl;+;;
hö01;cala vari;hl;+;;
hö01;care dava;hl;2b;;
hö01;care ferr;hl;+;;
hö01;care flav flav;hl;1;;
hö01;care pani;hl;2b;;
hö01;dact macu slat;hl;+;;
hö01;eleo quin;hl;+;;
hö01;equi palu;hl;+;;
hö01;euph offi pict;hl;+;;
hö01;gymn cono cono;hl;r;;
hö01;junc alpi alpi;hl;+;;
hö01;leon hisp slat;hl;1;;
hö01;lysi nemo;hl;+;;
hö01;parn palu;hl;+;;
hö01;pers vivi;hl;+;;
hö01;pice abie;hl;+;;
hö01;ping vulg;hl;+;;
hö01;pote erec;hl;+;;
hö01;ranu mont;hl;+;;
hö01;saxi aizo;hl;+;;
hö01;sela sela;hl;+;;
hö01;sesl caer;hl;+;;
hö01;tofi caly;hl;2a;;
hö01;tuss farf;hl;+;;
hö01;vale dioi dioi;hl;+;;
hö01;will stip stip;hl;+;;
hö01;camp stel;ml;1;;
hö01;fiss adia;ml;+;;
hö01;palu comm falc;ml;2a;;
hö01;phil calc;ml;+;;
hö01;scor revo;ml;3;;
hö02;agro stol;hl;+;;
hö02;alch spec ies;hl;+;;
hö02;bart alpi;hl;+;;
hö02;care dava;hl;1;;
hö02;care pani;hl;1;;
hö02;chae hirs;hl;+;;
hö02;desc cesp;hl;+;;
hö02;eleo quin;hl;+;;
hö02;epil alsi;hl;+;;
hö02;equi palu;hl;+;;
hö02;peta albu;hl;+;;
hö02;pice abie;hl;r;;
hö02;ping vulg;hl;+;;
hö02;saxi aizo;hl;+;;
hö02;saxi stel robu;hl;1;;
hö02;tofi caly;hl;+;;
hö02;vera albu albu;hl;r;;
hö02;viol bifl;hl;+;;
hö02;will stip stip;hl;1;;
hö02;bryu pseu slat;ml;+;;
hö02;palu comm falc;ml;2b;;
hö02;phil calc;ml;4;;
hö03;abie alba;hl;+;;
hö03;aden alli;hl;+;;
hö03;athy dist;hl;4;;
hö03;aven flex flex;hl;2a;;
hö03;blec spic;hl;+;;
hö03;cala vill;hl;1;;
hö03;chae hirs;hl;+;;
hö03;clad spec ies;hl;+;;
hö03;desc cesp;hl;+;;
hö03;dryo cart;hl;+;;
hö03;dryo dila;hl;+;;
hö03;gnap norv;hl;r;;
hö03;gymn dryo;hl;+;;
hö03;hier muro;hl;+;;
hö03;homo alpi;hl;+;;
hö03;luzu luzu ina;hl;+;;
hö03;luzu pilo;hl;+;;
hö03;lyco anno;hl;+;;
hö03;oxal acet;hl;+;;
hö03;peta albu;hl;1;;
hö03;pheg conn;hl;+;;
hö03;pice abie;hl;+;;
hö03;pyro mino;hl;r;;
hö03;rubu idae;hl;+;;
hö03;sene caca;hl;1;;
hö03;sorb aucu aucu;hl;+;;
hö03;thel limb;hl;1;;
hö03;vacc myrt;hl;2a;;
hö03;vero cham cham;hl;+;;
hö03;viol bifl;hl;+;;
hö03;dicr hete;ml;+;;
hö03;dicr scop;ml;3;;
hö03;hylo sple;ml;+;;
hö03;pelt rufe;ml;+;;
hö03;plag undu;ml;1;;
hö03;pleu schr;ml;1;;
hö03;poly comm;ml;+;;
hö03;rhiz punc;ml;+;;
hö03;rhyt lore;ml;2a;;
hö03;rhyt triq;ml;1;;
hö03;spha girg;ml;+;;
hö03;unde bryo;ml;1;Hepaticae;
hö03;pice abie;sl;1;;
hö03;sorb aucu aucu;sl;+;;
hö03;pice abie;tl1;3;;
hö03;pice abie;tl2;2a;;
hö04;athy dist;hl;+;;
hö04;aven flex flex;hl;1;;
hö04;blec spic;hl;1;;
hö04;cala vill;hl;+;;
hö04;clad spec ies;hl;r;;
hö04;dryo dila;hl;+;;
hö04;gali albu;hl;r;;
hö04;hier muro;hl;+;;
hö04;homo alpi;hl;+;;
hö04;luzu luzu ina;hl;+;;
hö04;luzu pilo;hl;+;;
hö04;lyco anno;hl;+;;
hö04;mela prat;hl;+;;
