plot;variable;value
Karrer1985:I:7;cov;5
Karrer1985:I:7;tcov;0
Karrer1985:I:7;scov;0
Karrer1985:I:7;hcov;5
Karrer1985:I:7;mcov;0
Karrer1985:I:7;htl;0
Karrer1985:I:7;hsl;0
Karrer1985:I:7;hhl1;0,5
Karrer1985:I:7;hhl2;0
Karrer1985:I:7;expo;S
Karrer1985:I:7;slope;70
Karrer1985:I:7;plsx;1
Karrer1985:I:7;plsy;5
Karrer1985:I:7;date;16.05.84
Karrer1985:I:7;ibex;no
Karrer1985:I:7;rupi;no
Karrer1985:I:7;soil;shallow
Karrer1985:I:7;rock.type;precipice
Karrer1985:I:7;rock.soil.verbose;unbekannt
Karrer1985:I:7;location.verbose;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 7
Karrer1985:I:7;longitude;16.268420E
Karrer1985:I:7;latitude;48.082930N
Karrer1985:I:8;cov;3
Karrer1985:I:8;tcov;0
Karrer1985:I:8;scov;0
Karrer1985:I:8;hcov;3
Karrer1985:I:8;mcov;0
Karrer1985:I:8;htl;0
Karrer1985:I:8;hsl;0
Karrer1985:I:8;hhl1;0,5
Karrer1985:I:8;hhl2;0
Karrer1985:I:8;expo;S
Karrer1985:I:8;slope;50
Karrer1985:I:8;plsx;1
Karrer1985:I:8;plsy;6
Karrer1985:I:8;date;16.05.84
Karrer1985:I:8;ibex;no
Karrer1985:I:8;rupi;no
Karrer1985:I:8;soil;shallow
Karrer1985:I:8;rock.type;precipice
Karrer1985:I:8;rock.soil.verbose;unbekannt
Karrer1985:I:8;location.verbose;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 8
Karrer1985:I:8;longitude;16.268420E
Karrer1985:I:8;latitude;48.082930N
Karrer1985:I:9;cov;60
Karrer1985:I:9;tcov;0
Karrer1985:I:9;scov;0
Karrer1985:I:9;hcov;60
Karrer1985:I:9;mcov;0
Karrer1985:I:9;htl;0
Karrer1985:I:9;hsl;0
Karrer1985:I:9;hhl1;0,5
Karrer1985:I:9;hhl2;0
Karrer1985:I:9;expo;NE
Karrer1985:I:9;slope;30
Karrer1985:I:9;plsx;1
Karrer1985:I:9;plsy;5
Karrer1985:I:9;date;16.05.84
Karrer1985:I:9;ibex;no
Karrer1985:I:9;rupi;no
Karrer1985:I:9;soil;shallow
Karrer1985:I:9;rock.type;precipice
Karrer1985:I:9;rock.soil.verbose;unbekannt
Karrer1985:I:9;location.verbose;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 9
Karrer1985:I:9;longitude;16.268420E
Karrer1985:I:9;latitude;48.082930N
Karrer1985:I:10;cov;3
Karrer1985:I:10;tcov;0
Karrer1985:I:10;scov;0
Karrer1985:I:10;hcov;3
Karrer1985:I:10;mcov;0
Karrer1985:I:10;htl;0
Karrer1985:I:10;hsl;0
Karrer1985:I:10;hhl1;0,5
Karrer1985:I:10;hhl2;0
Karrer1985:I:10;expo;NE
Karrer1985:I:10;slope;90
Karrer1985:I:10;plsx;1
Karrer1985:I:10;plsy;10
Karrer1985:I:10;date;16.05.84
Karrer1985:I:10;ibex;no
Karrer1985:I:10;rupi;no
Karrer1985:I:10;soil;shallow
Karrer1985:I:10;rock.type;precipice
Karrer1985:I:10;rock.soil.verbose;unbekannt
Karrer1985:I:10;location.verbose;Niederösterreich, Kalenderberg, Tabelle 1, Karrer 1985, Aufnahme 10
Karrer1985:I:10;longitude;16.268420E
Karrer1985:I:10;latitude;48.082930N
