plot;abbr;layer;cov;comment;determined;history
Karrer1985:I:7;aspl ruta;hl;+;;;
Karrer1985:I:7;gali luci;hl;+;;;
Karrer1985:I:7;teuc mont;hl;1;;;
Karrer1985:I:7;aspl tric quad;hl;+;;;
Karrer1985:I:7;sesl caer;hl;r;;;
Karrer1985:I:7;sese aust;hl;+;;;
Karrer1985:I:7;erys sylv;hl;+;;;
Karrer1985:I:7;hier bupl;hl;+;;;
Karrer1985:I:7;heli canu;hl;+;;;
Karrer1985:I:7;euph cypa;hl;+;;;
Karrer1985:I:8;sesl caer;hl;+;;;
Karrer1985:I:8;gali luci;hl;1;;;
Karrer1985:I:8;teuc mont;hl;+;;;
Karrer1985:I:8;sese aust;hl;+;;;
Karrer1985:I:8;glob cord;hl;+;;;
Karrer1985:I:8;bupl falc falc;hl;+;;;
Karrer1985:I:8;meli cili;hl;r;;;
Karrer1985:I:8;jovi glob hirt;hl;+;;;
Karrer1985:I:8;dory germ;hl;+;;;
Karrer1985:I:8;rham saxa saxa;hl;+;;;
Karrer1985:I:8;pote inca;hl;+;;;
Karrer1985:I:9;sesl caer;hl;3;;;
Karrer1985:I:9;gali luci;hl;+;;;
Karrer1985:I:9;teuc mont;hl;+;;;
Karrer1985:I:9;sese aust;hl;1;;;
Karrer1985:I:9;glob cord;hl;+;;;
Karrer1985:I:9;achi clav;hl;+;;;
Karrer1985:I:9;heli canu;hl;+;;;
Karrer1985:I:9;bupl falc falc;hl;+;;;
Karrer1985:I:9;meli cili;hl;+;;;
Karrer1985:I:9;camp rotu aggr;hl;+;;agg.;
Karrer1985:I:9;drab aizo aizo;hl;1;;;
Karrer1985:I:9;euph sali;hl;r;;;
Karrer1985:I:9;clin alpi alpi;hl;r;;;
Karrer1985:I:9;poa bade;hl;r;;;
Karrer1985:I:10;sesl caer;hl;1;;;
Karrer1985:I:10;gali luci;hl;1;;;
Karrer1985:I:10;teuc mont;hl;1;;;
Karrer1985:I:10;sese aust;hl;r;;;
Karrer1985:I:10;erys sylv;hl;+;;;
Karrer1985:I:10;hier bupl;hl;+;;;
Karrer1985:I:10;bupl falc falc;hl;+;;;
Karrer1985:I:10;euph sali;hl;r;;;
Karrer1985:I:10;alli lusi;hl;+;;;
Karrer1985:I:10;saxi pani;hl;+;;;
