plot;abbr;layer;cov
kn01;Calluna vulgaris;KS;+
kn01;Carex echinata;KS;+
kn01;Carex nigra;KS;1
kn01;Carex pauciflora;KS;3
kn01;Carex pilulifera;KS;+
kn01;Drosera rotundifolia;KS;2m
kn01;Eriophorum angustifolium;KS;+
kn01;Eriophorum vaginatum;KS;2a
kn01;Gymnocolea inflata;MS;1
kn01;Homogyne alpina;KS;+
kn01;Juncus filiformis;KS;+
kn01;Lycopodiella inundata;KS;2m
kn01;Molinia caerulea;KS;+
kn01;Nardus stricta;KS;+
kn01;Picea abies;KS;+
kn01;Polytrichum strictum;MS;1
kn01;Potentilla erecta;KS;+
kn01;Sphagnum cuspidatum;MS;5
kn01;Sphagnum magellanicum;MS;2a
kn01;Sphagnum tenellum;MS;2a
kn01;Vaccinium myrtillus;KS;+
kn01;Vaccinium uliginosum;KS;+
kn01;Vaccinium vitis-idaea;KS;1
kn01;Warnstorfia fluitans;MS;1
kn02;Carex echinata;KS;+
kn02;Carex nigra;KS;2a
kn02;Carex pauciflora;KS;2a
kn02;Eriophorum angustifolium;KS;+
kn02;Juncus filiformis;KS;+
kn02;Melampyrum pratense;KS;+
kn02;Nardus stricta;KS;3
kn02;Picea abies;KS;+
kn02;Polytrichum commune;MS;2a
kn02;Potentilla erecta;KS;2a
kn02;Sphagnum angustifolium;MS;4
kn02;Sphagnum magellanicum;MS;1
kn02;Sphagnum russowii;MS;2a
kn02;Vaccinium myrtillus;KS;+
kn02;Vaccinium uliginosum;KS;+
kn02;Vaccinium vitis-idaea;KS;+
kn02;Viola palustris;KS;+
kn03;Avenella flexuosa;KS;2m
kn03;Blechnum spicant;KS;+
kn03;Homogyne alpina;KS;+
kn03;Melampyrum pratense;KS;+
kn03;Plagiothecium undulatum;MS;1
kn03;Rhododendron ferrugineum;KS;4
kn03;Rhytidiadelphus loreus;MS;1
kn03;Sphagnum girgensohnii;MS;4
kn03;Sphagnum quinquefarium;MS;2a
kn03;Vaccinium gaultheroides;KS;2b
kn03;Vaccinium vitis idaea;KS;3
