plot;variable;value
Morton1947:1158a;cov;10
Morton1947:1158a;tcov1;0
Morton1947:1158a;scov;5
Morton1947:1158a;hcov;10
Morton1947:1158a;mcov;1
Morton1947:1158a;htl1;0
Morton1947:1158a;htl2;0
Morton1947:1158a;hsl;1
Morton1947:1158a;hhl1;0
Morton1947:1158a;hhl2;0
Morton1947:1158a;plsx;20
Morton1947:1158a;plsy;20
Morton1947:1158a;expo;S
Morton1947:1158a;slope;35
Morton1947:1158a;rock;0
Morton1947:1158a;stones;0
Morton1947:1158a;bare;0
Morton1947:1158a;soil;
Morton1947:1158a;date;15.07.1947
Morton1947:1158a;altitude;730
Morton1947:1158a;precision.vertical;50
Morton1947:1158a;precision.horizontal;200
Morton1947:1158a;longitude;13,90885
Morton1947:1158a;latitude;47,643642
Morton1947:1158a;comment;Nr. 1158a
Morton1947:1158a;location;Gößler Wand (Gösslwand), Wand oberhalb Blockhalde
Morton1947:1159;cov;10
Morton1947:1159;tcov1;0
Morton1947:1159;scov;0
Morton1947:1159;hcov;10
Morton1947:1159;mcov;1
Morton1947:1159;htl1;0
Morton1947:1159;htl2;0
Morton1947:1159;hsl;0
Morton1947:1159;hhl1;0
Morton1947:1159;hhl2;0
Morton1947:1159;plsx;20
Morton1947:1159;plsy;20
Morton1947:1159;expo;S
Morton1947:1159;slope;20
Morton1947:1159;rock;0
Morton1947:1159;stones;0
Morton1947:1159;bare;0
Morton1947:1159;soil;
Morton1947:1159;date;15.07.1947
Morton1947:1159;altitude;720
Morton1947:1159;precision.vertical;50
Morton1947:1159;precision.horizontal;200
Morton1947:1159;longitude;13,908981
Morton1947:1159;latitude;47,64339
Morton1947:1159;comment;Nr. 1159
Morton1947:1159;location;Schutthalde am Fuße der Gößler Wand (Gösslwand)
Morton1947:1170a;cov;10
Morton1947:1170a;tcov1;0
Morton1947:1170a;scov;0
Morton1947:1170a;hcov;10
Morton1947:1170a;mcov;1
Morton1947:1170a;htl1;0
Morton1947:1170a;htl2;0
Morton1947:1170a;hsl;0
Morton1947:1170a;hhl1;0
Morton1947:1170a;hhl2;0
Morton1947:1170a;plsx;20
Morton1947:1170a;plsy;20
Morton1947:1170a;expo;S
Morton1947:1170a;slope;85
Morton1947:1170a;rock;0
Morton1947:1170a;stones;0
Morton1947:1170a;bare;0
Morton1947:1170a;soil;
Morton1947:1170a;date;09.08.1947
Morton1947:1170a;altitude;1150
Morton1947:1170a;precision.vertical;50
Morton1947:1170a;precision.horizontal;200
Morton1947:1170a;longitude;13,625504
Morton1947:1170a;latitude;47,659161
Morton1947:1170a;comment;Nr. 1170a
Morton1947:1170a;location;Ewige Wand bei Anzenau
Morton1947:453;cov;10
Morton1947:453;tcov1;5
Morton1947:453;scov;5
Morton1947:453;hcov;10
Morton1947:453;mcov;1
Morton1947:453;htl1;8
Morton1947:453;htl2;0
Morton1947:453;hsl;1,5
Morton1947:453;hhl1;0
Morton1947:453;hhl2;0
Morton1947:453;plsx;20
Morton1947:453;plsy;20
Morton1947:453;expo;S
Morton1947:453;slope;35
Morton1947:453;rock;0
Morton1947:453;stones;0
Morton1947:453;bare;0
Morton1947:453;soil;
Morton1947:453;date;18.08.1939
Morton1947:453;altitude;720
Morton1947:453;precision.vertical;50
Morton1947:453;precision.horizontal;200
Morton1947:453;longitude;14,0637
Morton1947:453;latitude;47,5287
Morton1947:453;comment;Nr. 453
Morton1947:453;location;Schutthang mit Felsbänken zwischen Bahnhaltestelle Pürgg und dem Orte (Burgstall)
Morton1947:453a;cov;10
Morton1947:453a;tcov1;0
Morton1947:453a;scov;0
Morton1947:453a;hcov;10
Morton1947:453a;mcov;1
Morton1947:453a;htl1;0
Morton1947:453a;htl2;0
Morton1947:453a;hsl;0
Morton1947:453a;hhl1;0
Morton1947:453a;hhl2;0
Morton1947:453a;plsx;20
Morton1947:453a;plsy;20
Morton1947:453a;expo;S
Morton1947:453a;slope;75
Morton1947:453a;rock;0
Morton1947:453a;stones;0
Morton1947:453a;bare;0
Morton1947:453a;soil;
Morton1947:453a;date;18.08.1939
Morton1947:453a;altitude;720
Morton1947:453a;precision.vertical;50
Morton1947:453a;precision.horizontal;200
Morton1947:453a;longitude;14,0644
Morton1947:453a;latitude;47,5289
Morton1947:453a;comment;Nr. 453a
Morton1947:453a;location;stark geneigte Platten zwischen Bahnhaltestelle Pürgg und dem Orte (Burgstall)
Morton1947:456;cov;10
Morton1947:456;tcov1;0
Morton1947:456;scov;5
Morton1947:456;hcov;10
Morton1947:456;mcov;1
Morton1947:456;htl1;0
Morton1947:456;htl2;0
Morton1947:456;hsl;2,5
Morton1947:456;hhl1;0
Morton1947:456;hhl2;0
Morton1947:456;plsx;20
Morton1947:456;plsy;20
Morton1947:456;expo;S
Morton1947:456;slope;15
Morton1947:456;rock;0
Morton1947:456;stones;0
Morton1947:456;bare;0
Morton1947:456;soil;
Morton1947:456;date;18.08.1939
Morton1947:456;altitude;710
Morton1947:456;precision.vertical;50
Morton1947:456;precision.horizontal;200
Morton1947:456;longitude;14,052
Morton1947:456;latitude;47,5286
Morton1947:456;comment;Nr. 456
Morton1947:456;location;Schutthalde bei Untergrimming
Morton1950:10/49;cov;10
Morton1950:10/49;tcov1;0
Morton1950:10/49;scov;0
Morton1950:10/49;hcov;10
Morton1950:10/49;mcov;0
Morton1950:10/49;htl1;0
Morton1950:10/49;htl2;0
Morton1950:10/49;hsl;0
Morton1950:10/49;hhl1;0
Morton1950:10/49;hhl2;0
Morton1950:10/49;plsx;20
Morton1950:10/49;plsy;20
Morton1950:10/49;expo;S
Morton1950:10/49;slope;85
Morton1950:10/49;rock;0
Morton1950:10/49;stones;0
Morton1950:10/49;bare;0
Morton1950:10/49;soil;
Morton1950:10/49;date;12.10.1949
Morton1950:10/49;altitude;1260
Morton1950:10/49;precision.vertical;50
Morton1950:10/49;precision.horizontal;200
Morton1950:10/49;longitude;13,66815
Morton1950:10/49;latitude;47,66454
Morton1950:10/49;comment;J. Pilz
Morton1950:10/49;location;Zwerchwand
Morton1950:1322;cov;10
Morton1950:1322;tcov1;0
Morton1950:1322;scov;0
Morton1950:1322;hcov;10
Morton1950:1322;mcov;0
Morton1950:1322;htl1;10
Morton1950:1322;htl2;0
Morton1950:1322;hsl;0
Morton1950:1322;hhl1;0
Morton1950:1322;hhl2;0
Morton1950:1322;plsx;20
Morton1950:1322;plsy;20
Morton1950:1322;expo;S
Morton1950:1322;slope;30
Morton1950:1322;rock;0
Morton1950:1322;stones;0
Morton1950:1322;bare;0
Morton1950:1322;soil;
Morton1950:1322;date;08.08.1949
Morton1950:1322;altitude;1100
Morton1950:1322;precision.vertical;50
Morton1950:1322;precision.horizontal;200
Morton1950:1322;longitude;13,952251
Morton1950:1322;latitude;47,494291
Morton1950:1322;comment;Nr. 1322
Morton1950:1322;location;südexponierte Felsen östlich der Salza Talsperre
Morton1950:1323;cov;10
Morton1950:1323;tcov1;0
Morton1950:1323;scov;0
Morton1950:1323;hcov;10
Morton1950:1323;mcov;1
Morton1950:1323;htl1;0
Morton1950:1323;htl2;0
Morton1950:1323;hsl;0
Morton1950:1323;hhl1;0
Morton1950:1323;hhl2;0
Morton1950:1323;plsx;20
Morton1950:1323;plsy;20
Morton1950:1323;expo;S
Morton1950:1323;slope;15
Morton1950:1323;rock;0
Morton1950:1323;stones;0
Morton1950:1323;bare;0
