plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;location;mangement;altitude;precision.vertical;precision.horizontal;longitude;latitude
E4486N2676-1;94;;;;94;5;;;;0,25;0,1;5;5;N;5;3;1;0;2012-06-19;Söllnalm (Krimmler Achental);pasture;1590;10;50;12.186099E;47.175996N
E4492N2676-1;94;;;;90;15;;;;0,2;0,1;5;5;W;25;5;1;0;2012-06-19;Poschalm (Obersulzbachtal);pasture;1573;10;50;12.263135E;47.175903N
E4503N2682-1;93;;;;75;50;;;;0,3;0,05;5;5;NW;5;7;0;0;2012-06-19;Siernerbräualm (Hollersbachtal);pasture;1101;10;50;12.414368E;47.228589N
E4519N2679-1;99;;;;97;5;;;;0,25;0,05;5;5;SW;30;0;1;0;2012-06-19;Schneiderau (Stubachtal);pasture;1223;10;50;12.617699E;47.193402N
E4519N2702-1;90;;;;95;5;;;;0,2;0,03;5;5;S;10;2;2;0;2012-06-26;Spielbergalm (Saalbach);pasture;1330;10;50;12.631714E;47.407760N
E4519N2702-2;97;;;;97;3;;;;0,3;0,05;5;5;S;15;0;3;0;2012-06-26;Spielbergalm (Saalbach);pasture;1307;10;50;12.630182E;47.407394N
E4520N2730-1;97;;;;95;25;;;;0,11;0,05;5;5;W;5;0;3;0;2012-06-26;Heutal (Heutal);meadow;1026;10;50;12.657484E;47.658154N
E4549N2774-1;99;;;;98;2;;;;0,25;0,1;5;5;W;35;0;1;0;2012-09-04;Gumperding (Oichtental);meadow;486;10;50;13.066522E;48.044667N
E4557N2674-1;99;;;;75;30;;;;0,25;0,15;5;5;NE;35;0;1;0;2012-09-03;Haberreith (Bad Hofgastein);pasture;1216;10;50;13.110771E;47.136842N
E4557N2674-2;98;;;;95;2;;;;0,15;0,1;5;5;NE;30;0;2;0;2012-09-03;Haberreith (Bad Hofgastein);pasture;1201;10;50;13.109942E;47.137130N
E4560N2784-1;90;;;;85;15;;;;0,25;0,02;16;5;E;25;0;13;0;2012-08-09;Leiterseck (Moosbachtal);meadow;516;10;50;13.210685E;48.130600N
E4566N2783-1;98;;;;98;1;;;;0,4;0,1;5;5;S;25;0;2;0;2012-06-27;Peretseck (Kobernaußerwald);meadow;636;10;50;13.295259E;48.112686N
E4567N2756-1;100;;;;100;13;;;;0,3;0,1;5;5;NE;20;0;0;0;2012-06-29;Tiefgraben (Irrsee);meadow;650;10;50;13.297566E;47.870507N
