"plot";"abbr";"layer";"cov";"comment";"history"
"E4625N2725-1";"nard stri";"hl";"4";"";""
"E4625N2725-1";"pice abie";"hl";"1";"";""
"E4625N2725-1";"pote erec";"hl";"0";"";""
"E4625N2725-1";"vero offi";"hl";"0";"";""
"E4625N2725-1";"cent jace jace";"hl";"0";"";""
"E4625N2725-1";"achi mill aggr";"hl";"0";"";""
"E4625N2725-1";"prun vulg";"hl";"1";"";""
"E4625N2725-1";"poa prat";"hl";"0";"";""
"E4625N2725-1";"anth odor";"hl";"1";"";""
"E4625N2725-1";"carl acau acau";"hl";"0";"";""
"E4625N2725-1";"care pall";"hl";"0";"";""
"E4625N2725-1";"trif prat prat";"hl";"0";"";""
"E4625N2725-1";"care cary";"hl";"0";"";""
"E4625N2725-1";"leuc vulg aggr";"hl";"0";"";""
"E4625N2725-1";"plan lanc";"hl";"1";"";""
"E4625N2725-1";"trif medi medi";"hl";"1";"";""
"E4625N2725-1";"briz medi";"hl";"1";"";""
"E4625N2725-1";"alch spec ies";"hl";"2a";"";""
"E4625N2725-1";"lotu corn slat";"hl";"0";"";""
"E4625N2725-1";"agro capi";"hl";"1";"";""
"E4625N2725-1";"pimp majo majo";"hl";"0";"";""
"E4625N2725-1";"heli numm glab";"hl";"1";"";""
"E4625N2725-1";"fest prat prat";"hl";"0";"";""
"E4625N2725-1";"pote aure";"hl";"0";"";""
"E4625N2725-1";"thym pule pule";"hl";"2a";"";""
"E4625N2725-1";"dant decu decu";"hl";"1";"";""
"E4625N2725-1";"leon hisp slat";"hl";"2a";"";""
"E4625N2725-1";"care pilu pilu";"hl";"0";"";""
"E4625N2725-1";"plan medi";"hl";"1";"";""
"E4625N2725-1";"care flac";"hl";"1";"";""
"E4625N2725-1";"care pani";"hl";"0";"";""
"E4625N2725-1";"gali pumi";"hl";"0";"cf.";""
"E4625N2725-1";"ranu nemo";"hl";"0";"";""
"E4625N2725-1";"cyno cris";"hl";"0";"";""
"E4625N2725-1";"poly vulg vulg";"hl";"0";"";""
"E4625N2725-1";"knau arve arve";"hl";"0";"";""
"E4625N2725-1";"euph offi rost";"hl";"0";"";""
"E4625N2725-1";"cirs palu";"hl";"r";"";""
"E4625N2725-1";"care sylv";"hl";"0";"";""
"E4625N2725-1";"homa pube pube";"hl";"0";"";""
"E4625N2725-1";"dact glom glom";"hl";"0";"";""
"E4625N2725-1";"pers bist";"hl";"0";"";""
"E4625N2725-1";"vacc myrt";"hl";"0";"";""
"E4625N2725-1";"pimp saxi saxi";"hl";"0";"";""
"E4625N2725-1";"soli virg virg";"hl";"0";"";""
"E4625N2725-1";"camp sche";"hl";"0";"";""
"E4625N2725-1";"hier pilo ella";"hl";"0";"";""
"E4625N2725-1";"phyt orbi";"hl";"0";"";""
"E4625N2725-1";"fest rubr slat";"hl";"0";"";""
