plot;variable;value
Niklfeld1964;cov;70
Niklfeld1964;tcov;0
Niklfeld1964;scov;0
Niklfeld1964;hcov;70
Niklfeld1964;mcov;0
Niklfeld1964;htl;0
Niklfeld1964;hsl;0
Niklfeld1964;hhl1;0,4
Niklfeld1964;hhl2;0,7
Niklfeld1964;expo;SE
Niklfeld1964;slope;45
Niklfeld1964;plsx;1
Niklfeld1964;plsy;50
Niklfeld1964;date;23.09.62
Niklfeld1964;ibex;no
Niklfeld1964;rupi;no
Niklfeld1964;soil;shallow
Niklfeld1964;rock.type;precipice
Niklfeld1964;rock.soil.verbose;unbekannt
Niklfeld1964;location.verbose;Hohe Wand, Große Kanzel, am Wagnersteig, Arten in Klammer exkludiert (Felspflanzen?), Niklfeld 1964
Niklfeld1964;longitude;16.01297E
Niklfeld1964;latitude;47.81091N
