plot;abbr;layer;cov;comment;determined;history
Niklfeld1964;glob cord;hl;2;;;
Niklfeld1964;teuc mont;hl;2;;;
Niklfeld1964;sese aust;hl;1;;;
Niklfeld1964;lase sile sile;hl;2;;;
Niklfeld1964;card cras glau;hl;+;;;
Niklfeld1964;jovi glob hirt;hl;1;;;
Niklfeld1964;euph sali;hl;+;;;
Niklfeld1964;care humi;hl;1;;;
Niklfeld1964;meli cili;hl;1;;;
Niklfeld1964;gali luci;hl;2;;;
Niklfeld1964;heli numm obsc;hl;2;;;
Niklfeld1964;thym prae poly;hl;2;;cf.;
Niklfeld1964;vinc hiru;hl;2;;;
Niklfeld1964;dory germ;hl;1;;;
Niklfeld1964;sedu albu;hl;1;;;
Niklfeld1964;puls gran;hl;1;;;
Niklfeld1964;stac rect rect;hl;1;;;
Niklfeld1964;alli lusi;hl;1;;;
Niklfeld1964;poly odor;hl;1;;;
Niklfeld1964;sang mino mino;hl;1;;;
Niklfeld1964;gera sang;hl;1;;;
Niklfeld1964;lina geni;hl;1;;;
Niklfeld1964;teuc cham;hl;1;;;
Niklfeld1964;orig vulg;hl;1;;;
Niklfeld1964;scab ochr;hl;1;;;
Niklfeld1964;bupl falc falc;hl;1;;;
Niklfeld1964;verb chai aust;hl;1;;cf.;
Niklfeld1964;aspe cyna;hl;1;;;
Niklfeld1964;coro coro;hl;+;;;
Niklfeld1964;anth ramo;hl;+;;;
Niklfeld1964;euph cypa;hl;+;;;
Niklfeld1964;thal minu slat;hl;+;;;
Niklfeld1964;gent ascl;hl;+;;;
Niklfeld1964;aspl ruta;hl;+;;;
Niklfeld1964;brac pinn;hl;+;;;
Niklfeld1964;geni pilo;hl;+;;;
Niklfeld1964;hype perf;hl;r;;cf.;
Niklfeld1964;tort tort;ml;2;;;
Niklfeld1964;synt rura;ml;1;;;
Niklfeld1964;dian cart cart;hl;+;;cf.;
