plot,abbr,layer,cover,voucher,comment,history
pg01,ajug rept,hl,+,,,
pg01,alch sect alch,hl,+,,,
pg01,alop prat,hl,2a,,,
pg01,anem nemo,hl,+,,,
pg01,anth odor,hl,2b,,,
pg01,arrh elat,hl,+,,,
pg01,bell pere,hl,+,,,
pg01,beto offi offi,hl,+,,,
pg01,care briz,hl,+,,,
pg01,care pall,hl,1,,,
pg01,cera holo,hl,+,,,
pg01,cirs rivu,hl,r,,,
pg01,crep bien,hl,+,,,
pg01,cyno cris,hl,3,,,
pg01,dact glom glom,hl,1,,,
pg01,fest prat prat,hl,1,,,
pg01,fest rubr aggr,hl,+,,,
pg01,fica vern vern,hl,+,,,
pg01,gali albu,hl,+,,,
pg01,geum riva,hl,r,,,
pg01,geum urba,hl,r,,,
pg01,glec hede,hl,+,,,
pg01,holc lana,hl,2a,,,
pg01,knau maxi,hl,r,,,
pg01,lath prat prat,hl,+,,,
pg01,lotu corn,hl,+,,,
pg01,lych flos cucu,hl,r,,,
pg01,lysi numm,hl,+,,,
pg01,plan lanc,hl,2a,,,
pg01,pote erec,hl,+,,,
pg01,prim elat,hl,r,,,
pg01,prun vulg,hl,+,,,
pg01,ranu acri acri,hl,+,,,
pg01,rhin mino,hl,+,,,
pg01,rubu sect rubu,hl,r,,,
pg01,rume acet osa,hl,+,,,
pg01,sang offi,hl,+,,,
pg01,tara sect rude,hl,+,,,
pg01,trif prat prat,hl,+,,,
pg01,vero cham cham,hl,+,,,
pg01,vero serp serp,hl,+,,,
pg01,vici sepi,hl,+,,,
pg02,ajug rept,hl,+,,,
pg02,alch sect alch,hl,+,,,
pg02,alop prat,hl,1,,,
pg02,anth odor,hl,2b,,,
pg02,beto offi offi,hl,+,,,
pg02,care pani,hl,+,,,
pg02,cent jace jace,hl,2b,,,
pg02,cera holo,hl,+,,,
pg02,cirs oler,hl,+,,,
pg02,cyno cris,hl,2a,,,
pg02,dauc caro caro,hl,+,,,
pg02,fest rubr aggr,hl,+,,,
pg02,holc lana,hl,2b,,,
pg02,homa pube pube,hl,+,,,
pg02,lotu corn,hl,1,,,
pg02,luzu mult,hl,+,,,
pg02,lych flos cucu,hl,+,,,
pg02,myos nemo,hl,+,,,
pg02,plan lanc,hl,1,,,
pg02,pote erec,hl,+,,,
pg02,prun vulg,hl,+,,,
pg02,ranu acri acri,hl,2b,,,
pg02,rhin mino,hl,+,,,
pg02,rume acet osa,hl,+,,,
pg02,trif prat prat,hl,+,,,
pg02,trif repe repe,hl,1,,,
pg02,vici crac,hl,+,,,
pg03,achi mill aggr,hl,+,,,
pg03,ajug rept,hl,+,,,
pg03,alch sect alch,hl,+,,,
pg03,alop prat,hl,+,,,
pg03,anth odor,hl,2a,,,
pg03,arrh elat,hl,+,,,
pg03,beto offi offi,hl,+,,,
pg03,care briz,hl,+,,,
pg03,care pall,hl,+,,,
pg03,care pani,hl,+,,,
pg03,cent jace jace,hl,2a,,,
pg03,cera holo,hl,+,,,
pg03,cirs oler,hl,+,,,
pg03,cirs rivu,hl,+,,,
pg03,cyno cris,hl,1,,,
pg03,dact maja maja,hl,+,,,
pg03,fest prat prat,hl,1,,,
pg03,fest rubr aggr,hl,1,,,
pg03,holc lana,hl,1,,,
pg03,junc effu,hl,r,,,
pg03,lath prat prat,hl,+,,,
pg03,lotu corn,hl,1,,,
pg03,lych flos cucu,hl,+,,,
pg03,lysi numm,hl,r,,,
pg03,myos nemo,hl,+,,,
pg03,plan lanc,hl,1,,,
pg03,pote erec,hl,+,,,
pg03,prun vulg,hl,+,,,
pg03,ranu acri acri,hl,2b,,,
pg03,ranu repe,hl,+,,,
pg03,rhin mino,hl,+,,,
pg03,sang offi,hl,+,,,
pg03,trif prat prat,hl,2a,,,
pg03,trif repe repe,hl,+,,,
pg03,vici crac,hl,+,,,
pg04,achi mill aggr,hl,+,,,
pg04,agro stol,hl,+,,,
pg04,ajug rept,hl,+,,,
pg04,alch sect alch,hl,+,,,
pg04,alop prat,hl,+,,,
pg04,anem nemo,hl,+,,,
pg04,anth odor,hl,2a,,,
pg04,arrh elat,hl,+,,,
pg04,beto offi offi,hl,2b,,,
pg04,camp patu,hl,+,,,
pg04,care briz,hl,+,,,
pg04,care cary,hl,+,,,
pg04,care pall,hl,+,,,
pg04,cera holo,hl,+,,,
pg04,crep bien,hl,+,,,
pg04,cyno cris,hl,2a,,,
pg04,dact glom glom,hl,+,,,
pg04,fest prat prat,hl,1,,,
pg04,fest rubr aggr,hl,1,,,
pg04,gali albu,hl,+,,,
pg04,holc lana,hl,2a,,,
pg04,homa pube pube,hl,1,,,
pg04,lotu corn,hl,1,,,
pg04,luzu mult,hl,+,,,
pg04,plan lanc,hl,1,,,
pg04,poa prat,hl,+,,,
pg04,pote erec,hl,+,,,
pg04,prun vulg,hl,+,,,
pg04,ranu acri acri,hl,2a,,,
pg04,rhin mino,hl,+,,,
