plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;soil;location;date;altitude;precision.vertical;precision.horizontal;longitude;latitude;comment;syntaxon;description
rx01;96;0;0;0;94;2;0;0;0;0,15;0,03;4;4;S;10;2;1;1;;Rax;2012-08-20;1887;23;6;15.714920E;47.704796N;Trinksteinsattel;Caricion firmae;bodensaurer Polsterseggenrasen
rx02;99;0;0;0;97;3;0;0;0;0,15;0,04;4;4;N;7;0;0;1;;Rax;2012-08-20;1875;9;7;15.713448E;47.704881N;;Caricion firmae;bodensaurer Polsterseggenrasen (Kalk-Gämsheidespalier)
rx03;97;0;0;0;96;1;0;0;0;0,12;0,02;4;4;S;2;2;0;1;;Rax;2012-08-20;1932;9;7;15.714812E;47.707302N;;Caricion firmae;bodensaurer Polsterseggenrasen
rx04;60;0;0;0;59;1;0;0;0;0,15;0,02;4;4;F;0;0;35;5; Pech-Rendzina;Rax;2012-08-20;1930;8;6;15.716889E;47.709076N;;Caricion firmae;windexponierter Polsterseggenrasen über Pech-Rendzina mit vielen Deflationsanrissen
rx05;95;0;0;0;94;1;0;0;0;0,15;0,03;4;4;NW;10;0;0;5;;Rax;2012-08-20;1917;8;7;15.717241E;47.709936N;;Caricion firmae;bodensaurer Polsterseggenrasen
rx06;91;0;0;0;90;2;0;0;0;0,15;0,03;4;4;F;0;0;3;6;;Rax;2012-08-20;1904;5;4;15.718346E;47.710577N;;Caricion firmae;bodensaurer Polsterseggenrasen
rx07;91;0;0;0;89;2;0;0;0;0,12;0,03;4;4;NE;10;0;8;1;;Rax;2012-08-20;1938;9;7;15.715850E;47.709412N;;Caricion firmae;bodensaurer Polsterseggenrasen (Kalk-Gämsheidespalier)
rx08;99;0;0;0;99;1;0;0;0;0,15;0,04;4;4;NW;2;0;0;1;;Rax;2012-08-20;1924;8;6;15.716535E;47.709589N;;Caricion firmae;bodensaurer Polsterseggenrasen
rx09;98;0;0;0;97;1;0;0;0;0,15;0,03;4;4;N;10;0;0;2;;Rax;2012-08-20;1981;7;6;15.692577E;47.688689N;;Caricion firmae;bodensaurer Polsterseggenrasen
rx10;96;0;0;0;94;2;0;0;0;0,13;0,03;4;4;N;25;1;0;3;;Rax;2012-08-20;2001;10;8;15.689046E;47.689746N;;Caricion firmae;bodensaurer Polsterseggenrasen (Kalk-Gämsheidespalier)
