dact glom	dact glom glom
pimp majo	pimp majo majo
elym repe	elyt repe
urti dioi	urti dioi dioi
care acut	care acut rmis
lath prat	lath prat prat
alli ursi	alli ursi ursi
evon euro	euon euro
ranu fica	fica vern vern
symp tube	symp tube slat
card pers	card pers pers
fili ulma denu	fili ulma slat
agro tenu	agro capi
care grac	care acut a
gale spec	gale spec iosa
hesp matr	hesp matr matr
rume acet	rume acet osa
circ lute	circ lute lute
prun aviu	prun aviu slat
laps comm	laps comm slat
vero spec	vero spec ies
care remo	care remo remo
crat laev	crat laev laev
palu comm	palu comm falc
dryo affi borr	dryo borr
phyl scol	aspl scol scol
card amar	card amar aust
bryu pseu	bryu pseu pseu
brom hord	brom hord hord
plat orie	plat hisp
eupa cana	eupa cann
barb vulg	barb vulg slat
frag anas	frag anan
popu spec	popu spec ies
