"plot";"pls";"cov";"tcov";"scov";"hcov";"mcov";"htl";"hsl";"hhl";"expo";"slope";"longitude";"latitude";"elevation";"date";"association";"alliance";"location"
1;500;85;75;5;40;0;15;2;40;"NW";30;"13.076944";"47.810833";470;"2007-05-14";"Helleboro nigri-Fagetum Zukrigl 1973 s.str.";"Cephalanthero-Fagenion Tx. & Oberd. 1958";"Buchenwald & GLT 00114 Kühberg"
2;500;70;70;2;50;0;15;2;50;"S";35;"13.081667";"47.809722";660;"2007-06-06";"Helleboro nigri-Fagetum Zukrigl 1973 s.str.";"Cephalanthero-Fagenion Tx. & Oberd. 1958";"Buchenwald & GLT 00114 Kühberg"
3;500;75;65;0;35;10;20;0;40;"NW";30;"13.125556";"47.749722";1020;"2007-06-09";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Fi-Ta Wald/Mühlsteinwald"
4;400;90;90;0;1;1;18;0;10;"W";5;"13.126111";"47.753333";1030;"2007-07-10";"Cardamino trifoliae-Fagetum Oberd. 1987 -typicum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Fi-Ta Wald/Mühlsteinwald"
5;400;70;60;0;10;0;25;0;30;"O";30;"13.126944";"47.756667";850;"2007-07-10";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Fi-Ta Wald/Mühlsteinwald"
6;900;90;80;1;1;0;30;3;30;"O";40;"13.125278";"47.760556";850;"2007-07-11";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Fi-Ta Wald/Mühlsteinwald"
7;625;70;60;8;20;0;15;5;40;"O";20;"13.129722";"47.757778";715;"2007-07-11";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Fi-Ta Wald/Mühlsteinwald"
8;625;80;65;0;40;15;15;0;80;"W";30;"13.117778";"47.744722";900;"2007-07-12";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Eiben Wald N Steingut"
9;625;80;75;1;30;0;15;3;30;"W";25;"13.112222";"47.747778";810;"2007-07-12";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Bu-Eiben Wald N Steingut"
10;500;80;70;0;35;0;20;0;50;"W";10;"13.108889";"47.749722";815;"2007-07-13";"Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Eiben Wald N Steingut"
11;750;90;90;0;2;0;20;0;10;"W";15;"13.104444";"47.751667";750;"2007-07-13";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Bu-Eiben Wald N Steingut"
12;500;85;80;0;20;0;25;0;40;"O";35;"13.133333";"47.748611";900;"2007-07-15";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Rotbuchenmischwald W Mühlsteinwand"
13;500;85;85;0;1;0;25;0;20;"SO";35;"13.127500";"47.734444";800;"2007-07-16";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Rotbuchenmischwald W Mühlsteinwand"
14;500;80;80;0;20;0;25;0;30;"S";30;"13.127778";"47.737500";830;"2007-07-16";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Rotbuchenmischwald W Mühlsteinwand"
15;500;70;60;0;35;0;20;0;80;"SO";30;"13.131389";"47.743611";840;"2007-07-16";"Cardamino trifoliae-Fagetum Oberd. 1987 -circaeetosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Rotbuchenmischwald W Mühlsteinwand"
16;500;75;65;1;30;0;25;2;50;"NW";35;"13.154167";"47.692778";630;"2007-07-18";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Eibenreicher Bu Wald SW Hinterstadl"
17;500;75;70;2;5;0;20;3;50;"S";20;"13.152778";"47.694722";700;"2007-07-19";"Mercuriali-Fagetum Scamoni 1935 -tilietosum";"Eu-Fagenion Oberd. 1957";"Eibenreicher Wald am Guggenkopf"
18;500;90;85;0;10;0;25;1;30;"W";30;"13.160833";"47.707222";670;"2007-07-19";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Eibenreicher Bu Wald SO Unterschneid"
19;450;80;80;0;10;0;25;3;50;"SO";35;"13.158889";"47.700556";700;"2007-07-20";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Eibenreicher Bu Wald W Gehöft Grub"
20;500;80;75;0;15;0;20;1;50;"SO";25;"13.156944";"47.697500";630;"2007-07-20";"Mercuriali-Fagetum Scamoni 1935 -caricetosum albae";"Eu-Fagenion Oberd. 1957";"Eibenreicher Bu Wald SO Großwolfgrub"
21;500;70;65;0;5;0;20;0;30;"W";10;"13.147500";"47.692500";660;"2007-07-21";"Helleboro nigri-Fagetum Zukrigl 1973 s.str.";"Cephalanthero-Fagenion Tx. & Oberd. 1958";"Eibenreicher Wald am Guggenkopf"
22;500;85;70;0;20;0;20;0;30;"SW";30;"13.160833";"47.706111";850;"2007-07-21";"Helleboro nigri-Fagetum Zukrigl 1973 s.str.";"Cephalanthero-Fagenion Tx. & Oberd. 1958";"Eibenreicher Bu Wald Schnaitberg"
23;500;80;80;0;5;0;25;0;30;"SO";15;"13.163889";"47.707222";860;"2007-07-22";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Eibenreicher Bu Wald Schnaitberg"
24;500;80;80;0;5;0;25;0;40;"SW";5;"13.158889";"47.710278";840;"2007-07-22";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Eibenreicher Bu Wald Schnaitberg"
25;500;85;85;0;5;2;25;8;50;"N";30;"13.165833";"47.685278";660;"2007-07-23";"Cardamino trifoliae-Fagetum Oberd. 1987 – asaretosum";"Lonicero alpigenae-Fagenion Borhidi ex Soó 1964";"Eibenreicher Bu Wald S Allreitbach"
