"plot";"cov";"t1cov";"t2cov";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"rock";"date";"latitude";"longitude";"horizontal precision";"soil";"type";"syntaxon";"timber";"stand.age";"comment";"deadwood"
"sp01";95;60;70;25;90;0;25;13;4;0,4;0,25;16;16;"F";0;0;"2013-04-24 & 2013-05-09 & 2013-05-15 & 2013-07-12 & 2013-08-28";"48.079123N";"13.832324E";10;"unkown";"EHW";"Stellario-Carpinetum";"SH, BH";"het";"artenreiche Baumschicht, mit Gebüschinsel";0
"sp02";90;80;5;10;85;0;23;12;1,5;0,3;0,15;16;16;"F";0;0;"2013-04-24 & 2013-05-09 & 2013-08-28";"48.079998N";"13.834100E";10;"unkown";"TBW";"Helleboro nigri-Fagetum";"BH";"het";"randliche Kronenlücke";1
"sp03";97;45;0;30;95;0;21;0;2,5;0,3;0,1;16;16;"F";0;0;"2013-04-24 & 2013-05-09";"48.080120N";"13.835070E";10;"unkown";"TBW";"Helleboro nigri-Fagetum";"Di";"hom";"Lücke bei Windwurf an Bestandesrand ";0
"sp04";97;95;7;0;35;1;24;18;4,5;0,2;0,1;16;16;"F";0;0;"2013-04-24 & 2013-05-09";"48.079993N";"13.836818E";5;"unkown";"TBW";"Helleboro nigri-Fagetum";"Di, SH, (BH)";"hom-het";"schmale Parzelle zwischen Nadelholz";0
"sp05";97;95;0;3;80;0;25;0;3;0,3;0,1;16;16;"F";0;0;"2013-04-24 & 2013-05-14";"48.083500N";"13.836267E";10;"unkown";"TBW";"Helleboro nigri-Fagetum";"BH";"het";"am Begin einer seichten Geländedelle";3
"sp06";95;85;25;15;75;0;22;16;6;0,3;0,1;16;16;"F";0;0;"2013-04-24 & 2013-05-09";"48.083639N";"13.839290E";10;"unkown";"TBW";"Helleboro nigri-Fagetum";"Sh, BH";"hom";"mit Gebüschinsel";0
"sp07";97;10;85;5;90;1;23;16;4;0;0,15;16;16;"F";0;0;"2013-05-09 & 2013-05-15 & 2013-07-12";"48.079120N";"13.832815E";9,2;"unkown";"EHW";"Stellario-Carpinetum";"SH, BH";"hom-het";"Niederwald mit Eschenüberhältern";0
"sp08";95;0;0;2;95;0;0;0;4;0,4;0,2;16;16;"F";0;0;"2013-05-09";"48.077510N";"13.832760E";4;"unkown";"SF";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"J1";"hom";"randlich mit Überhältern";0
"sp09";99;80;50;40;7;0;28;12;6;0,2;0,1;16;16;"F";0;0;"2013-05-09";"48.077278N";"13.834006E";5;"unkown";"TBW";"Helleboro nigri-Fagetum";"Di, SH, BH, StH";"het";"geplenterter Altbestand mit viel Aufwuchs";2
"sp10";97;75;30;15;35;1;25;15;6;0,25;0,1;16;16;"F";0;0;"2013-05-09";"48.078188N";"13.834155E";4,5;"unkown";"TBW";"Helleboro nigri-Fagetum";"SH, BH";"het";"mit Fichte im Nebenbestand";2
"sp11";97;95;10;5;75;1;25;18;5;0,3;0,1;16;16;"F";0;0;"2013-05-09";"48.078432N";"13.833943E";3,6;"unkown";"TBW";"Helleboro nigri-Fagetum";"SH, BH, (StH)";"het";"mit Fichte im Nebenbestand";2
