Aufnahmenummer;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
Datum;;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-09-17;2011-07-07;2011-07-07;2011-07-07;2011-07-07;2011-07-07;12.07.11;12.07.11;2011-07-20;2011-07-20;2011-07-20;2011-07-20;2011-07-20;2011-07-20;2011-07-20;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;2011-09-21;;;;;;;;2011-09-25;2011-09-25;2011-09-25;2011-09-25;2011-09-25;2011-09-25;2011-09-25;2011-09-25;2011-09-24
Ort;;Forstweg Traunstein;Forstweg Traunstein;Forstweg Traunstein;Forstweg Traunstein;Forstweg Traunstein;Forstweg Traunstein;Forstweg Traunstein;Miesweg;Naturfreundesteig Traunstein;Naturfreundesteig Traunstein;Naturfreundesteig Traunstein;Naturfreundesteig Traunstein;Naturfreundesteig Traunstein;Miesweg;Ostuferweg Traunsee;Ostuferweg Traunsee;Ostuferweg Traunsee;Ostuferweg Traunsee;Ostuferweg Traunsee;Ostuferweg Traunsee;Miesweg;Miesweg;Miesweg;Miesweg;Miesweg;Miesweg;Miesweg;Miesweg;;;;;;;;;;;;;;;;;;Ostufer nach Karbach;Ostufer nach Karbach;Ostufer nach Karbach;Ostufer nach Karbach;Miesweg;Miesweg;Miesweg;Miesweg;Forststraße Traunstein 
Breitengrad;;47°52.043´;47°52.066´;47°52.53´;47°52.044´;47°52.029´;47°52.014´;47°52.004´;47°51.626´;47°51.532´;47°51.534´;47°51.537´;47°51.540´;47°51.545´;;47°52.021´;47°52.007`;47°51.979´;47°51.969´;47°51.927´;47°51.912;47°51.571´;47°51.572´;47°51.543´;47°51.593´;47°51.602´;47°51.758´;47°51.735´;47°51.681´;47°51.938´;47°51.928´;47°51.928´;47°51.894´;47°51.897´;47°51.994´;47°51.976´;47°52.016´;47°52.063´;47°52.173´;47°51.569´;47°51.569´;47°51.515´;47°51.579´;47°51.584´;47°51.619´;47°51.655´;;;;;;;;;
Längengrad;;13°48.942´;13°48.975´;13°48.974´;13°48.983´;13°48.964´;13°48.967´;13°48.961´;13°48.878´;13°48.935´;13°48.938´;13°48.940´;13°48.944´;13°48.950´;;13°48.878´;13°48.896´;13°48.897´;13°48.903´;13°48.945´;13°48.949;13°48.890´;13°48.892´;13°48.882´;13°48.882´;13°8.882´;13°48.917´;13°48.892´;13°48.864´;13°48.903´;13°48.940´;13°48.934´;13°48.957´;13°48.966´;13°48.965´;13°48.955´;13°49.015´;13°49.043´;13°48.975´;13°48.902´;13°48.900´;13°48.872´;13°48.885´;13°48.881´;13°48.878´;13°48.862´;;;;;;;;;
Meereshöhe [m];;465 m;473 m;485 m;492 m;501 m;486 m;464 m;435 m;477 m;485 m;496 m;505 m;513 m;;438 m;442 m;428 m;421 m;426 m;440 m;401 m;410 m;418 m;423 m;426 m;431 m;437 m;428 m;430 m;437 m;446 m;430 m;396 m;442 m;532 m;540 m;523 m;457 m;431 m;407 m;411 m;414 m;419 m;430 m;435 m;;;;;30 m über Traunsee;15 m über See;10 m über See;50 m über See;
Exposition;;SW;W;W;SW;W;SW;SW;W;SW;SW;SW;SW;SW;W;W;W;W;SW;SW;W;W;W-NW;W-NW;W;NW-W;W;NW-W;W;W-SW;W;W;W-SW;W;SW;SW;SW;SW;W;SW - W;SW;W;SW;W-SW;W;W-SW;W;W;W;W;W;W;W;W;
Inklination [°];;15°;20°;30°;35°;10°;25°;25°;45 °;60 °;85°;70 °;40 °;70 °;45°;15°;15 °;40 °;30°;10°;25°;20°;45°;45°;35°;80 °;20°;40 °;40°;35°;40°;15°;35°;30°;30°;15°;40°;20°;30°;55°;20°;50°;80°;80°;40°;40°;30°;40°;60°;30°;30 - 45°;50°;45°;30 °;
Geländemorphologie;;Hang;Hang;Hang;Hang;;;;Steilhang;Fels;Fels;Fels;Fels;Fels;Steilhang;;;Steilhang;Hang;;Hang;Hang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boden;;;;;;;;;;Fels;Fels;Fels;Fels;Fels;;;;;;;;Fels;Fels;Fels;;Fels;;;Fels;;;;;;;;;;;;;;;;;;;;;;;;;;
Photonr.;;;"202; 203";204;205;;;;;;;;;;;191 - 194;195 - 198;199;200 - 201;;154;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bewirtschaftung;;ja;ja;ja;ja;selten;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;selten;vermutlich;nein;keine;keine;;keine;;;keine;;;;;;selten;selten;nein;nein;nein;keine;keine;keine;keine;keine;;;keine;keine;keine;keine;keine;keine;;;
Größe [m²];;64;64;64;64;64;64;64;64;1;1;1;1;1;64;32;32;32;32;32;32;3;3;3;32;6;32;12;2a;32;32;32;32;32;64;64;32;32;64;6;6;6;6;6;32;32;256;256;256;256;8;8;8;64;64
Deckung [%];;98;70;100;75;70;65;60;70;85;20;20;50;50;95;80;85;95;75;90;80;;35;40;80;40;80;50;20;85;70;85;100;70;90;95;25;60;90;45;75;35;50;40;80;80;70;90;90;90;90;95;95;70;40
BS1 Höhe [m];;25;20;20;25;30;15;20;0;0;0;0;0;0;20;25;15;20;20;20;15;;;;20;;15;;;25;15m;25;25;10;25;20;20;20;20;;;;;;20;8;10;10;10/15m;15/20;;;;;8
BS1 Deckung [%];;80;60;5;40;60;30;20;0;0;0;0;0;0;20;15;10;15;15;20;0,4;;;;15;;20;;;60;50;15;80;15;15;20;5;10;60;;;;;;25;10;70;10;55/25;80;50;15;20;60;15
SS1 Höhe [m];;6;6;6;6;6;3;4;3;2;0;2;0;0;6;6;6;6;6;6;2,5;;1,5;1,5;6;;6;1,5;;6;6;6;6;6;4m;6;6;6;6;1;1;;;;6;6;6;6;6;6;;;;;6
SS1 Deckung [%];;30;10;10;10;20;10;10;30;5;0;5;0;0;60;25;35;10;10;10;0,1;;5;5;35;;50;10;;25;20;10;40;25;15;20;5;20;25;5;5;;;;25;50;40;80;30;30;20;15;30;60;10
