"Laufende Nummer";1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213
"Aufnahmenummer";76;114;113;12;10;65;17;247;59;9;48;34;20;32;78;50;15;16;281;327;86;95;110;324;166;67;245;80;94;97;98;101;113;102;134;13;139;128;157;249;135;126;82;87;99;100;298;285;160;159;232;282;278;261;106;131;104;103;266;152;70;141;42;239;24;40;25;28;6;49;19;45;30;93;156;43;44;47;38;29;26;22;46;39;11;152;161;162;172;148;149;260;325;326;291;169;313;97;5;21;41;55;30;26;311;372;244;314;216;288;304;270;309;293;2;1;14;3;7;23;8;33;36;62;187;158;153;161;63;154;190;187;196;297;310;309;83;85;89;124;194;294;290;294;903;140;143;273;284;197;123;150;147;146;188;93;90;91;145;142;138;292;275;280;283;274;271;272;322;289;268;175;252;164;144;96;166;173;165;137;182;183;296;195;68;155;306;333;125;120;136;295;243;323;318;303;305;168;308;315;334;316;242;329;328;264;163;180;265;171;191;321;179
"Meereshöhe";970;640;490;420;500;550;490;505;360;900;510;510;510;550;470;540;490;500;440;360;330;490;580;360;570;610;640;480;490;610;610;650;550;600;650;450;580;520;430;710;440;440;320;325;700;690;520;340;405;400;720;100;500;680;610;740;700;720;350;410;320;560;640;520;550;620;500;895;550;540;580;690;790;490;405;600;630;440;580;820;860;750;480;720;475;295;405;360;370;320;320;420;410;410;580;650;510;650;550;520;570;580;550;380;610;605;640;560;590;540;550;400;350;400;460;370;450;470;480;780;300;550;700;350;400;500;400;320;350;440;380;360;340;500;300;300;320;320;360;300;340;420;420;400;400;400;580;570;500;380;310;315;320;300;380;330;360;320;360;330;480;380;500;480;350;510;340;340;320;380;640;390;435;440;300;460;340;400;430;470;330;410;300;336;700;400;400;540;360;320;400;320;575;580;570;560;500;380;390;540;680;540;580;305;305;305;330;320;305;330;315;320;330
"Exposition";"SW";"SW";"S";"F";"F";"SW";"SW";"SW";"SW";"F";"SW";"S";"SW";"SW";"SE";"SW";"S";"NE";"SE";"SW";"SW";"F";"S";"SW";"SE";"SE";"S";"S";"F";"E";"W";"SE";"F";"N";"F";"SW";"SW";"W";"SW";"W";"SW";"E";"SW";"W";"SW";"W";"SE";"NW";"W";"N";"SE";"E";"N";"SW";"SE";"SE";"E";"SE";"N";"N";"NE";"NE";"NE";"SSE";"F";"NE";"NW";"F";"NW";"NE";"SW";"S";"SW";"W";"S";"N";"N";"NW";"N";"S";"E";"NE";"F";"SE";"F";"E";"NE";"W";"SW";"NE";"E";"E";"F";"NW";"NW";"W";"F";"W";"SW";"SE";"E";"SW";"F";"N";"N";"NE";"SW";"N";"N";"E";"NW";"N";"N";"NW";"F";"NE";"F";"F";"SE";"SW";"MW";"F";"F";"W";"SW";"NW";"S";"SW";"W";"SE";"NW";"WSW";"NW";"S";"SE";"S";"W";"SW";"W";"S";"W";"SE";"SE";"W";"NW";"E";"N";"SE";"NE";"E";"E";"E";"NE";"E";"NW";"S";"NW";"W";"F";"E";"E";"NE";"SE";"SE";"NE";"SE";"F";"E";"SW";"SE";"N";"SE";"F";"F";"F";"E";"NW";"SE";"S";"SE";"F";"S";"F";"F";"E";"N";"F";"F";"W";"E";"S";"NW";"F";"F";"F";"SE";"F";"S";"F";"F";"F";"F";"SW";"F";"F";"F";"F";"E";"F";"F";"SW";"F";"F"
"Hangneigung";1;5;1;0;0;2;5;1;45;0;2;3;2;3;3;2;2;5;35;30;5;0;0;15;5;3;1;2;0;2;1;2;0;2;0;2;3;1;2;1;10;10;10;5;2;3;8;5;5;1;2;35;15;5;10;3;10;5;3;30;10;20;5;40;0;5;3;0;1;2;2;3;3;2;2;5;3;35;3;5;30;3;0;3;0;10;3;5;5;5;7;1;0;10;1;2;0;3;1;1;2;3;0;2;3;20;1;5;5;1;1;30;15;3;0;3;0;0;3;10;1;0;0;10;10;5;20;15;25;10;10;2;15;30;5;25;5;10;5;30;5;35;30;25;20;20;5;15;20;25;3;10;15;10;10;15;10;3;0;15;1;20;10;30;3;3;0;25;5;30;3;15;0;0;0;1;1;10;1;20;0;1;0;0;1;2;0;0;2;3;3;1;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;3;0;0;1;0;0
"Aufnahmefl. (m²x100)";5;10;10;5;5;10;5;10;20;5;10;10;5;10;10;10;5;5;10;5;5;5;10;5;10;10;10;5;10;5;5;5;5;5;10;5;5;5;5;20;10;10;20;10;10;10;10;10;10;10;20;10;5;10;10;20;20;10;2;2;10;10;10;5;5;10;5;10;5;10;5;10;10;10;5;10;10;10;10;10;5;5;10;10;10;5;10;10;10;10;10;10;10;5;10;10;5;10;5;5;10;10;5;10;10;10;20;10;90;10;10;5;5;5;9;2,2;5;5;5;5;5;10;10;10;10;20;10;20;20;20;10;10;2;10;10;10;10;10;10;5;10;5;10;5;3;10;10;10;5;5;5;10;10;10;10;20;10;5;5;10;5;5;5;5;10;5;5;10;5;5;10;5;5;5;5;10;5;5;10;10;10;3;5;10;10;5;5;5;5;5;5;5;5;10;5;5;5;5;5;5;5;5;3;5;10;1;10;10;10;10;5;5;20
"Höhe max BS in m";12;18;30;20;25;20;25;25;20;40;25;25;30;35;30;35;30;35;30;20;20;20;25;25;25;25;20;20;25;20;20;18;15;25;15;20;12;20;18;20;18;15;30;30;30;30;20;25;30;35;25;35;25;25;25;25;30;35;25;25;25;35;20;10;30;25;30;20;18;25;40;40;30;30;30;40;30;25;30;25;30;40;30;35;30;30;35;35;35;35;35;35;30;25;35;35;35;35;25;30;20;40;55;35;35;35;35;30;35;20;35;30;30;30;30;30;30;35;25;25;25;35;30;25;30;30;20;25;25;20;20;25;30;20;20;20;25;30;20;20;25;20;20;20;15;35;35;35;30;20;35;35;25;20;30;35;25;30;25;35;20;25;30;25;35;35;35;35;25;25;20;25;20;25;25;30;28;25;30;30;20;15;15;20;25;20;25;15;15;20;15;15;10;15;10;10;20;25;20;15;20;10;3;20;25;30;30;10;25;30;15;15;15
"Höhe max SS in m";4;5;4;4;3;4;0;3;5;1,5;0;1,5;0,7;0,5;1,5;1;4;3;10;15;10;3;4;3;7;5;6;10;5;10;10;3;3;6;7;3;6;5;7;6;5;1,5;7;3;6;6;8;3;2;3;9;5;4;5;7;3;0,5;3;2;3;3;3;0,3;10;3;1;2;3;;4;2;;0,5;4;6;3;3;3;2;1,5;3;1;4;2;3;3;5;4;4;7;5;3;2;3;4;5;4;2;0;0;3;2;5;3;5;3;2;3;0;5;10;3;2;2;1;1,3;3;1;5;2;1;0,6;2;5;1;10;1;8;8;2;6;4;7;7;5;10;5;10;5;1;10;5;0;15;10;7;4;2;0;10;6;7;5;7;10;15;5;6;5;6;4;10;4;10;3;5;5;5;10;3;10;7;15;7;7;8;8;6;10;7;2;7;4;6;15;8;15;3;4;3;5;10;3;10;3;3;10;3;7;5;7;4;1,5;10;7;8;5;10;8;7;3;3;6
"Höhe max KS in cm";100;50;50;50;50;50;30;55;50;50;20;50;30;30;30;20;50;50;60;100;70;30;70;100;70;70;50;70;80;70;40;50;70;100;30;100;70;50;60;100;12;50;50;100;30;60;50;60;50;60;80;60;60;20;60;40;30;30;60;50;50;60;50;100;30;60;60;60;50;100;60;60;30;100;80;60;60;80;80;30;30;50;20;80;30;60;120;70;60;80;70;60;100;100;60;30;100;40;30;20;60;50;100;100;60;40;40;60;60;50;100;50;50;50;30;40;50;30;100;20;30;30;50;50;60;60;30;30;20;30;30;50;80;60;100;60;60;50;30;60;80;60;60;10;100;80;80;60;80;80;70;100;100;100;60;70;60;70;120;80;120;80;10;150;100;100;80;100;70;100;100;50;150;80;100;100;120;60;100;70;60;100;200;150;70;80;150;100;80;80;80;100;100;100;150;150;150;80;150;120;50;150;80;150;200;150;200;80;150;100;100;150;150
"Deckung BS";10;70;70;20;40;40;90;70;3;60;70;70;80;90;10;80;50;90;50;70;70;60;80;20;80;95;40;95;80;40;70;40;40;80;100;95;10;70;90;100;70;90;90;95;40;80;95;95;90;95;95;60;100;100;100;100;100;100;90;100;70;90;80;1;80;80;90;100;40;80;80;95;80;70;80;75;95;45;80;80;95;95;70;85;95;90;30;90;50;40;50;70;70;70;70;90;60;95;95;100;100;100;50;40;60;80;90;60;30;90;60;70;80;80;80;60;90;90;80;70;80;85;90;95;60;100;85;100;100;80;95;95;60;100;90;80;95;100;100;80;70;100;100;40;30;90;90;95;100;20;60;40;100;70;80;70;80;80;70;80;80;80;95;80;90;90;100;60;80;100;50;60;10;70;80;10;70;90;70;70;80;70;20;70;80;80;30;70;80;90;90;10;10;50;60;30;50;100;70;70;100;5;5;30;100;80;70;50;50;80;20;90;70
"Deckung SS";40;20;5;10;1;2;0;10;20;1;0;5;1;1;60;5;25;30;15;20;15;10;30;5;20;20;20;40;25;70;85;78;40;30;30;30;100;60;40;20;20;10;10;5;10;15;7;1;10;15;10;2;10;5;10;10;3;5;5;5;15;5;1;20;20;1;10;5;;10;10;;1;60;20;5;10;25;5;5;5;5;70;15;40;20;40;15;20;70;20;70;10;15;5;5;15;5;0;0;1;1;70;70;30;5;15;10;1;15;30;10;10;40;2;2;20;5;40;10;1;1;5;3;5;10;3;2;2;3;20;10;50;20;5;10;10;10;10;3;30;30;1;20;80;10;10;5;1;100;10;40;40;30;40;20;5;50;15;5;20;20;10;20;10;10;15;15;40;7;10;30;70;40;30;50;20;20;10;20;70;30;20;70;20;30;40;15;20;10;30;100;20;40;15;20;50;10;70;15;30;20;5;30;30;20;70;40;50;20;5;30;20
