plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;soil;observer
sf01;99;70;30;70;70;0;23;18;5;0,7;0,2;16;16;S;25;0;0;3;2015-05-16;47.746020;12.895090;10;Tilenion platyphylli;;kollivialer Rieselhumus;am Weg unterhalb des Felsstufe;;;R. Kaiser
sf02;99;80;40;40;75;1;23;20;5;0,8;0,2;16;16;S;20;0;0;0;2015-05-16;47.746167;12.892803;10;Tilenion platyphylli;;kollivialer Rieselhumus;oberhalb des Weges;;;R. Kaiser
sf03;99;80;25;30;90;0;26;18;5,5;0,8;0,3;16;16;S;35;0;0;1;2015-05-16;47.746344;12.893142;10;Tilenion platyphylli;;kollivialer Rieselhumus;unterhalb Linde mit tischgroßem Sturzblock;;;R. Kaiser
sf04;99;75;60;55;85;2;25;21;6;0,9;0,3;16;16;S;25;2;0;0;2015-05-16;47.746095;12.892047;10;Tilenion platyphylli;;kollivialer Rieselhumus;oberhalb des weges;;;R. Kaiser
sf05;99;85;25;15;55;1;26;21;5;0,6;0,2;16;16;S;35;0;0;0;2015-05-16;47.746201;12.891840;10;Tilenion platyphylli;;kollivialer Rieselhumus;bei den Wegkehren unterhalb (westlich) der Felsumgehung;;;R. Kaiser
sf06;100;30;50;20;95;1;17;10;2,5;1;0,3;16;16;S;35;0;0;0;2015-05-16;47.746526;12.890280;10;Tilenion platyphylli;;verbraunte Renzina, Kalkbraunerde;an Wegkehren;;;R. Kaiser
sf07;75;50;25;2;30;0;19;14;2;0,6;0,3;16;16;S;30;0;0;70;2015-05-18;47.746357;12.884237;10;Tilenion platyphylli;;;;;;
sf08;85;45;35;15;80;1;18;10;5;0,9;0,3;16;16;S;30;0;0;20;2015-05-18;47.746310;12.884807;10;Tilenion platyphylli;;;;;;
sf09;95;45;70;3;65;7;19;13;3;0,8;0,2;16;16;S;35;1;0;35;2015-05-18;47.746510;12.885966;10;Tilenion platyphylli;;;;;;
sf10;95;40;35;10;85;3;10;7;1,5;0,6;0,25;16;16;SE;45;5;0;0;2015-05-18;47.746423;12.891911;10;Cephalanthero Fagenion;;;;;;
sf11;80;40;15;15;70;1;11;7;3,5;0,7;0,2;16;16;S;45;25;0;0;2015-05-18;47.746912;12.889201;10;Tilenion platyphylli;;;;;;
