plot,abbr,layer,cover,voucher,comment,history
sf01,acer plat,hl,+,,,
sf01,acer pseu,hl,2a,,,
sf01,arab sagi,hl,r,2015-0000,,
sf01,asar euro euro,hl,2a,intermediäre Formen,,
sf01,brac sylv,hl,+,,,
sf01,camp trac,hl,+,,,
sf01,card bulb,hl,+,,,
sf01,card enne,hl,1,,,
sf01,care alba,hl,+,,,
sf01,care digi,hl,+,,,
sf01,clem vita,hl,+,,,
sf01,conv maja maja,hl,+,,,
sf01,corn sang slat,hl,+,,,
sf01,cory avel,hl,1,,,
sf01,cycl purp,hl,1,,,
sf01,dryo cart,hl,+,auf Moderholz,,
sf01,euon euro,hl,+,,,
sf01,euon lati,hl,1,,,
sf01,euph amyg amyg,hl,+,,,
sf01,euph dulc,hl,+,,,
sf01,fagu sylv,hl,+,,,
sf01,frax exce,hl,+,,,
sf01,gale mont,hl,2a,,,
sf01,gale psis spec ies,hl,+,,,
sf01,gali sylv,hl,+,,,
sf01,gera robe,hl,+,,,
sf01,hede heli,hl,+,,,
sf01,hepa nobi,hl,2b,,,
sf01,lact mura,hl,r,,,
sf01,lase lati lati,hl,r,,,
sf01,list ovat,hl,+,,,
sf01,meli nuta,hl,+,,,
sf01,merc pere,hl,+,,,
sf01,moeh musc,hl,+,,,
sf01,pice abie,hl,r,,,
sf01,poly mult,hl,+,,,
sf01,poly odor,hl,r,,,
sf01,pren purp,hl,+,,,
sf01,pulm offi,hl,+,,,
sf01,quer petr,hl,r,cf.,,
sf01,rosa arve,hl,+,,,
sf01,rubu caes,hl,1,,,
sf01,salv glut,hl,2a,,,
sf01,soli virg virg,hl,+,,,
sf01,stap pinn,hl,2a,,,
sf01,tili plat,hl,1,,,
sf01,ulmu glab,hl,+,,,
sf01,vinc hiru,hl,+,,,
sf01,viol alba slat,hl,r,2015-0000,,
sf01,viol mira,hl,r,,,
sf01,acer plat,sl,1,,,
sf01,cory avel,sl,1,,,
sf01,euon lati,sl,1,,,
sf01,frax exce,sl,+,,,
sf01,hede heli,sl,+,,,
sf01,stap pinn,sl,2b,,,
sf01,tili plat,sl,1,,,
sf01,acer pseu,tl1,2a,,,
sf01,frax exce,tl1,3,,,
sf01,tili plat,tl1,2a,,,
sf01,acer plat,tl2,1,,,
sf01,acer pseu,tl2,2a,,,
sf01,cory avel,tl2,+,,,
sf01,fagu sylv,tl2,2b,,,
sf01,frax exce,tl2,2b,,,
sf01,hede heli,tl2,+,,,
sf01,tili plat,tl2,+,,,
sf02,acer plat,hl,1,,,
sf02,acer pseu,hl,1,,,
sf02,ajug rept,hl,+,,,
sf02,aqui atra,hl,+,,,
sf02,aspl viri,hl,r,,,
sf02,cala vari,hl,+,,,
sf02,camp trac,hl,+,,,
sf02,card enne,hl,1,,,
sf02,care alba,hl,2b,,,
sf02,care digi,hl,+,,,
sf02,ceph dama,hl,r,,,
sf02,clem vita,hl,+,,,
sf02,conv maja maja,hl,+,,,
sf02,cory avel,hl,1,,,
sf02,cycl purp,hl,+,,,
sf02,daph meze,hl,+,,,
sf02,euon euro,hl,r,,,
sf02,euon lati,hl,+,,,
sf02,euph dulc,hl,+,,,
sf02,fagu sylv,hl,+,,,
sf02,frag mosc,hl,r,cf.,,
sf02,fran alnu,hl,r,,,
sf02,frax exce,hl,+,,,
sf02,gale mont,hl,2b,,,
sf02,gali albu,hl,r,,,
sf02,gali sylv,hl,+,,,
sf02,gymn robe,hl,+,,,
sf02,hepa nobi,hl,2b,,,
sf02,loni xylo,hl,+,,,
sf02,meli nuta,hl,+,,,
sf02,merc pere,hl,1,,,
sf02,moeh musc,hl,+,,,
sf02,poly odor,hl,+,,,
sf02,pren purp,hl,+,,,
sf02,pulm offi,hl,+,,,
sf02,quer petr,hl,r,cf.,,
sf02,salv glut,hl,+,,,
sf02,soli virg virg,hl,+,,,
sf02,sorb aria,hl,+,,,
sf02,sorb aucu aucu,hl,r,,,
sf02,stap pinn,hl,1,,,
sf02,tili plat,hl,+,,,
sf02,ulmu glab,hl,+,,,
sf02,vale trip,hl,r,,,
sf02,vibu lant,hl,r,,,
sf02,vinc hiru,hl,+,,,
sf02,viol mira,hl,+,,,
sf02,acer plat,sl,1,,,
sf02,acer pseu,sl,2a,,,
sf02,clem vita,sl,+,,,
sf02,corn sang slat,sl,+,,,
sf02,cory avel,sl,2a,,,
sf02,euon lati,sl,+,,,
sf02,fagu sylv,sl,+,,,
sf02,frax exce,sl,+,,,
sf02,loni xylo,sl,+,,,
sf02,sorb aucu aucu,sl,r,,,
sf02,stap pinn,sl,1,,,
sf02,tili plat,sl,1,,,
sf02,ulmu glab,sl,+,,,
sf02,fagu sylv,tl1,2a,,,
sf02,frax exce,tl1,3,,,
sf02,tili plat,tl1,2b,,,
sf02,cory avel,tl2,1,,,
sf02,frax exce,tl2,2a,,,
sf02,tili plat,tl2,2b,,,
sf03,acer plat,hl,+,,,
sf03,acer pseu,hl,+,,,
sf03,brac sylv,hl,1,,,
sf03,buph sali,hl,r,,,
sf03,camp trac,hl,1,,,
sf03,card defl viri,hl,r,,,
sf03,card enne,hl,1,,,
sf03,care alba,hl,3,,,
sf03,care digi,hl,+,,,
sf03,ceph long,hl,r,,,
sf03,clem vita,hl,1,,,
sf03,conv maja maja,hl,+,,,
sf03,cory avel,hl,+,,,
sf03,eupa cann,hl,+,,,
sf03,euph amyg amyg,hl,r,,,
sf03,euph dulc,hl,+,,,
sf03,frax exce,hl,+,,,
sf03,gale mont,hl,2a,,,
sf03,gali sylv,hl,+,,,
sf03,hepa nobi,hl,1,,,
sf03,inul cony,hl,r,,,
sf03,lase lati lati,hl,r,,,
sf03,merc pere,hl,+,,,
sf03,moeh musc,hl,+,,,
sf03,neot nidu,hl,r,,,
sf03,pimp majo majo,hl,+,,,
sf03,poly odor,hl,+,,,
sf03,pren purp,hl,1,,,
sf03,rham cath,hl,+,,,
sf03,salv glut,hl,1,,,
sf03,soli virg virg,hl,+,,,
sf03,stap pinn,hl,1,,,
sf03,tili plat,hl,+,,,
sf03,ulmu glab,hl,+,,,
sf03,vinc hiru,hl,1,,,
sf03,viol mira,hl,r,,,
sf03,acer plat,sl,+,,,
sf03,clem vita,sl,+,,,
sf03,cory avel,sl,1,,,
sf03,frax exce,sl,+,,,
sf03,rham cath,sl,+,,,
sf03,stap pinn,sl,1,,,
sf03,tili plat,sl,+,,,
sf03,acer pseu,tl1,2b,,,
sf03,frax exce,tl1,2b,,,
sf03,tili plat,tl1,3,,,
sf03,visc albu,tl1,+,,,
sf03,frax exce,tl2,2b,,,
sf03,tili plat,tl2,2a,,,
sf04,acer plat,hl,1,,,
sf04,acer pseu,hl,1,,,
sf04,ajug rept,hl,+,,,
sf04,asar euro euro,hl,+,intermediäre Formen,,
sf04,aspl ruta,hl,r,,,
sf04,brac sylv,hl,+,,,
sf04,brom bene,hl,r,,,
sf04,camp rapu rapu,hl,1,,,
sf04,camp trac,hl,1,,,
sf04,card bulb,hl,+,,,
sf04,card enne,hl,+,,,
sf04,care alba,hl,3,,,
sf04,care digi,hl,+,,,
sf04,carp betu,hl,+,,,
sf04,ceph dama,hl,r,,,
sf04,ceph long,hl,r,,,
sf04,clem vita,hl,2a,,,
sf04,conv maja maja,hl,+,,,
sf04,cory avel,hl,+,,,
sf04,cyan mont,hl,r,,,
sf04,cycl purp,hl,+,,,
sf04,euon lati,hl,+,,,
sf04,euph dulc,hl,+,,,
sf04,fagu sylv,hl,+,,,
sf04,frax exce,hl,+,,,
sf04,gera robe,hl,+,,,
sf04,hede heli,hl,+,,,
sf04,hepa nobi,hl,1,,,
sf04,hier muro,hl,r,,,
sf04,meli nuta,hl,+,,,
sf04,merc pere,hl,1,,,
sf04,poly odor,hl,+,,,
sf04,pren purp,hl,+,,,
sf04,pulm offi,hl,+,,,
sf04,quer petr,hl,r,cf.,,
sf04,quer robu,hl,r,cf.,,
sf04,rosa arve,hl,+,,,
sf04,salv glut,hl,+,,,
sf04,soli virg virg,hl,+,,,
sf04,stap pinn,hl,1,,,
sf04,tili plat,hl,1,,,
sf04,vinc hiru,hl,+,,,
sf04,viol mira,hl,+,,,
sf04,acer plat,sl,1,,,
sf04,acer pseu,sl,1,,,
sf04,clem vita,sl,2a,,,
sf04,cory avel,sl,2a,,,
sf04,euon lati,sl,+,,,
sf04,fagu sylv,sl,+,,,
sf04,frax exce,sl,+,,,
sf04,stap pinn,sl,2a,,,
sf04,tili plat,sl,+,,,
sf04,frax exce,tl1,4,,,
sf04,tili plat,tl1,3,,,
sf04,acer plat,tl2,2a,,,
sf04,fagu sylv,tl2,2a,,,
sf04,frax exce,tl2,2b,,,
sf04,tili plat,tl2,1,,,
sf05,acer plat,hl,+,,,
sf05,acer pseu,hl,+,,,
sf05,ajug rept,hl,+,,,
sf05,aqui atra,hl,r,,,
sf05,berb vulg,hl,r,,,
sf05,brac sylv,hl,+,,,
sf05,cala vari,hl,+,,,
sf05,camp trac,hl,+,,,
sf05,card bulb,hl,+,,,
sf05,card defl viri,hl,r,,,
sf05,care alba,hl,3,,,
sf05,care digi,hl,+,,,
sf05,care humi,hl,+,,,
sf05,carp betu,hl,+,,,
sf05,ceph long,hl,+,,,
sf05,clem vita,hl,+,,,
sf05,conv maja maja,hl,+,,,
sf05,corn sang slat,hl,+,,,
sf05,cory avel,hl,+,,,
sf05,cycl purp,hl,+,,,
sf05,epip hell slat,hl,+,,,
sf05,euon lati,hl,+,,,
sf05,euph amyg amyg,hl,+,,,
sf05,euph dulc,hl,+,,,
sf05,frax exce,hl,+,,,
sf05,gale mont,hl,+,,,
sf05,gali sylv,hl,+,,,
sf05,hede heli,hl,+,,,
sf05,hepa nobi,hl,+,,,
sf05,hier bifi,hl,r,,,
sf05,ligu vulg,hl,r,,,
sf05,loni xylo,hl,+,,,
sf05,mela nemo,hl,r,cf.,,
sf05,mela sylv,hl,+,,,
sf05,merc pere,hl,1,,,
sf05,orig vulg,hl,r,,,
sf05,poly odor,hl,+,,,
sf05,pren purp,hl,1,,,
sf05,quer petr,hl,r,cf.,,
sf05,salv glut,hl,+,,,
sf05,soli virg virg,hl,1,,,
sf05,stap pinn,hl,+,,,
sf05,taxu bacc,hl,r,,,
sf05,tili plat,hl,+,,,
sf05,ulmu glab,hl,+,,,
sf05,vinc hiru,hl,+,,,
sf05,carp betu,sl,+,,,
sf05,cory avel,sl,1,,,
sf05,euon euro,sl,r,,,
sf05,euon lati,sl,+,,,
sf05,hede heli,sl,+,,,
sf05,jugl regi,sl,r,,,
sf05,stap pinn,sl,+,,,
sf05,tili plat,sl,+,,,
sf05,ulmu glab,sl,+,,,
sf05,acer plat,tl1,1,,,
sf05,fagu sylv,tl1,2a,,,
sf05,frax exce,tl1,2b,,,
sf05,tili plat,tl1,3,,,
sf05,acer pseu,tl2,1,,,
sf05,carp betu,tl2,1,,,
sf05,fagu sylv,tl2,1,,,
sf05,tili plat,tl2,2b,,,
sf05,ulmu glab,tl2,+,,,
sf06,acer pseu,hl,+,,,
sf06,ajug rept,hl,r,,,
sf06,amel oval,hl,r,,,
sf06,apos foet,hl,+,,,
sf06,asar euro euro,hl,+,intermediäre Formen, wintergün, sonst fast kahl
sf06,aspl ruta,hl,r,,,
sf06,brac sylv,hl,+,,,
sf06,buph sali,hl,+,,,
sf06,cala vari,hl,1,,,
sf06,camp trac,hl,+,,,
sf06,card defl viri,hl,1,,,
sf06,care alba,hl,1,,,
sf06,care digi,hl,+,,,
sf06,care flac,hl,2a,,,
sf06,care humi,hl,2b,,,
sf06,care mont,hl,+,,,
sf06,ceph long,hl,+,,,
sf06,clem vita,hl,+,,,
sf06,conv maja maja,hl,+,,,
sf06,corn sang slat,hl,+,,,
sf06,cory avel,hl,+,,,
sf06,crat mono,hl,+,,,
sf06,cyan mont,hl,r,,,
sf06,cycl purp,hl,+,,,
sf06,daph meze,hl,+,,,
sf06,epip atro,hl,+,,,
sf06,euon lati,hl,+,,,
sf06,euph amyg amyg,hl,+,,,
sf06,euph dulc,hl,+,,,
sf06,fagu sylv,hl,+,,,
sf06,frag vesc,hl,+,,,
sf06,fran alnu,hl,+,,,
sf06,frax exce,hl,2a,,,
sf06,gali moll,hl,r,cf.,,
sf06,gali sylv,hl,2a,,,
sf06,hede heli,hl,+,,,
sf06,hepa nobi,hl,+,,,
sf06,hier bifi,hl,+,,,
sf06,hier saba,hl,r,,,
sf06,hype mont,hl,r,,,
sf06,lase lati lati,hl,+,,,
sf06,ligu vulg,hl,+,,,
sf06,lili mart,hl,+,,,
sf06,loni xylo,hl,+,,,
sf06,mela sylv,hl,+,,,
sf06,meli nuta,hl,+,,,
sf06,moli caer aggr,hl,3,M. arundinaca,,
sf06,orig vulg,hl,2m,,,
sf06,pimp majo majo,hl,+,,,
sf06,poly odor,hl,+,,,
sf06,pren purp,hl,+,,,
sf06,pulm offi,hl,r,,,
sf06,quer petr,hl,+,,,
sf06,rham cath,hl,+,,,
sf06,rosa arve,hl,1,,,
sf06,rosa cani,hl,+,,,
sf06,rosa cani blon,hl,r,cf.,,
sf06,rubu sect rubu,hl,+,Serie Glandulosi,,
sf06,rubu spec ies,hl,r,vgl. 2015-0000,,
sf06,salv glut,hl,+,,,
sf06,soli virg virg,hl,+,,,
sf06,sorb aria,hl,+,,,
sf06,tili ✕vul,hl,+,,,
sf06,tili cord,hl,+,,,
sf06,vinc hiru,hl,1,,,
sf06,viol ×bav,hl,r,,,
sf06,viol coll,hl,r,,,
sf06,viol rivi,hl,+,,,
sf06,cten moll slat,ml,+,,,
sf06,tort tort,ml,+,,,
sf06,acer pseu,sl,+,,,
sf06,corn sang slat,sl,+,,,
sf06,cory avel,sl,1,,,
sf06,crat laev laev,sl,r,,,
sf06,crat mono,sl,+,,,
sf06,euon euro,sl,r,,,
sf06,fran alnu,sl,+,,,
sf06,frax exce,sl,+,,,
sf06,ligu vulg,sl,+,,,
sf06,loni xylo,sl,+,,,
sf06,rham cath,sl,+,,,
sf06,rosa arve,sl,+,,,
sf06,rosa cani,sl,+,,,
sf06,rosa micr,sl,r,bei T. cordata,,
sf06,sorb aria,sl,+,,,
sf06,tili ✕vul,sl,+,,,
sf06,frax exce,tl1,2a,,,
sf06,quer petr,tl1,2b,,,
sf06,acer pseu,tl2,2a,,,
sf06,fagu sylv,tl2,2a,,,
sf06,frax exce,tl2,+,,,
sf06,tili ✕vul,tl2,2a,,,
sf06,tili cord,tl2,2b,,,
sf07,acer pseu,hl,1,,,
sf07,arab aren,hl,+,,,
sf07,brac sylv,hl,+,,,
sf07,camp trac,hl,1,,,
