"plot";"cov";"tcov1";"tcov2";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"rock";"stones";"bare";"soil";"date";"altitude";"precision.vertical";"precision.horizontal";"longitude";"latitude";"comment";"location"
"tg01";96;0;0;0;92;5;0;0;0;0,15;0,05;4;4;"N";5;3;0;1;"Rendzina";"2011-09-13";2010;10;5;"13.839530E";"47.719910N";;"Totesgebirge, Rinnerkogl"
"tg02";;0;0;0;;;0;0;0;;;4;4;;;;;;"Pechrendzina";"2012-08-18";2027;8;7;"14.265364E";"47.661335N";"mit Deflationsanrissen";"Warscheneck, Speikwiese"
"tg03";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-18";2037;11;7;"14.265213E";"47.661111N";;"Warscheneck, Speikwiese"
"tg04";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-18";2041;9;5;"14.264965E";"47.661036N";;"Warscheneck, Speikwiese"
"tg05";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-18";2040;12;9;"14.264851E";"47.661136N";;"Warscheneck, Speikwiese"
"tg06";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-18";2039;14;11;"14.264728E";"47.660821N";;"Warscheneck, Speikwiese"
"tg07";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2023;19;12;"14.266587E";"47.661739N";;"Warscheneck, Speikwiese"
"tg08";;0;0;0;;;0;0;0;;;4;4;;;;;;"Pechrendzina";"2012-08-19";2009;21;14;"14.265644E";"47.661466N";"knapp oberhalb von Latschen";"Warscheneck, Speikwiese"
"tg09";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2011;19;12;"14.265871E";"47.661482N";;"Warscheneck, Speikwiese"
"tg10";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2025;18;12;"14.266251E";"47.661359N";;"Warscheneck, Speikwiese"
"tg11";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2029;8;6;"14.266533E";"47.661292N";;"Warscheneck, Speikwiese"
"tg12";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2089;11;8;"14.257477E";"47.658339N";"Streifen-Firmetum, Girlanden ca. 0,5m aufgewölbt";"Warscheneck, Toter Mann"
"tg13";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2116;9;3;"14.257637E";"47.657838N";;"Warscheneck, Toter Mann"
"tg14";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2273;9;7;"14.245914E";"47.657253N";;"Warscheneck, Gipfelaufbau"
"tg15";;0;0;0;;;0;0;0;;;4;4;;;;;;;"2012-08-19";2240;40;200;"14.243535E";"47.657793N";"Frostschutt-Firmetum";"Warscheneck, Gipfelaufbau"
