"plot";"abbr";"layer";"cov";"comment";"history"
"tg01";"tham verm";"ml";"+";;
"tg01";"agro rupe";"hl";"2b";;
"tg01";"avacc viti";"hl";"2a";;
"tg01";"vacc myrt";"hl";"2a";;
"tg01";"vacc gaul";"hl";1;;
"tg01";"hier alpi";"hl";1;"voucher";
"tg01";"scor helv";"hl";"2a";;
"tg01";"cetr niva";"ml";1;;
"tg01";"clad cucu";"ml";"2a";;
"tg01";"euph sali";"hl";"+";;
"tg01";"sile aau long";"hl";"2a";;
"tg01";"sela sela";"hl";"+";;
"tg01";"homo disc";"hl";1;;
"tg01";"anth alpi";"hl";1;;
"tg01";"hupe sela";"hl";"+";;
"tg01";"drya octo";"hl";"2a";;
"tg01";"pleu schr";"ml";"+";;
"tg01";"camp sche";"hl";"+";;
"tg01";"euph mini";"hl";"2m";"voucher";
"tg01";"sesl caer";"hl";1;;
"tg01";"care firm";"hl";1;;
"tg01";"fest pumi";"hl";"2a";;
"tg01";"pote cran";"hl";1;;
"tg01";"cham alpi";"hl";"+";;
"tg01";"pedi rost tata";"hl";"+";;
"tg01";"pote aure";"hl";"+";;
"tg01";"phyt orbi";"hl";"+";;
"tg01";"gent aspe";"hl";"2m";"voucher";
"tg01";"prim clus";"hl";"2a";;
"tg01";"clad rang";"ml";"+";;
"tg01";"luzu glab";"hl";"r";;
"tg01";"agro alpi";"hl";1;;
"tg01";"pach mute";"hl";"+";;
"tg01";"heli alpe";"hl";"+";;
"tg01";"clad unci";"ml";"2a";;
"tg01";"poly juni";"ml";"+";;
"tg01";"cetr isla";"ml";"+";;
"tg01";"homo alpi";"hl";"+";;
"tg01";"arct alpi";"hl";"2a";;
"tg01";"gali nori";"hl";"+";;
"tg01";"tort tort";"ml";1;;
"tg01";"bart alpi";"hl";"+";;
"tg01";"sile acau exca";"hl";"+";"voucher";
"tg01";"saus pygm";"hl";"+";;
"tg01";"phyt orbi";"hl";"+";;
"tg01";"ranu alpe";"hl";"+";;
"tg01";"cetr tile";"ml";"r";;
"tg01";"sali retu";"hl";"+";;
"tg01";"hedy hedy";"hl";"r";;
"tg01";"hylo sple";"ml";"+";;
"tg01";"care atra";"hl";"r";"cf. vegative material";
"tg01";"care semp";"hl";1;;
"tg01";"cetr eric";"ml";"+";;
"tg01";"rhyt triq";"ml";"+";;
"tg01";"poa alpi";"hl";"+";;
"tg01";"aven vers";"hl";"+";;
"tg01";"gent vern";"hl";"r";;
"tg01";"minu gera";"hl";"+";;
"tg01";"tofi pusi";"hl";"+";;
"tg01";"rhod hirs";"hl";"+";;
"tg01";"saxi caes";"hl";"r";;
"tg01";"pers vivi";"hl";"+";;
"tg01";"alch spec ies";"hl";"r";;
"tg01";"junc mona";"hl";"+";;
"tg01";"luzu alpi na";"hl";"r";"cf. vegative material";
