plot;date;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;location;comment;geomorphology;soil;alliance;alliance.author;suballiance;suballiance.author;association;rope;description;author
ts01;2011-09-10;75;0;15;30;70;5;0;10;4,5;1;0,3;16;16;W;50;0;1;30;47.865654N;13.816559E;10;Traunstein;;talus;Skeletthumusboden;Abieti-Piceion;;(Br.-Bl. 1939) Soó 1963 s.l.;Calamagrostio variae-Abietenion  ;(Horvat 1962) Exner & Willner 2007;Calamagrostio variae-Piceetum Schweingruber 1972;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts02;2011-09-10;97;20;0;50;90;5;10;0;5;1;0,3;16;16;W;50;0;1;2;47.865542N;13.816623E;10;Traunstein;;talus;Skeletthumusboden;Abieti-Piceion;;(Br.-Bl. 1939) Soó 1963 s.l.;Calamagrostio variae-Abietenion  ;(Horvat 1962) Exner & Willner 2007;Calamagrostio variae-Piceetum Schweingruber 1972;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts03;2011-09-10;70;40;0;40;55;1;10;0;4;1,1;0,3;16;16;W;55;0;1;45;47.865303N;13.816906E;10;Traunstein;;talus;Skeletthumusboden;Abieti-Piceion;;(Br.-Bl. 1939) Soó 1963 s.l.;Calamagrostio variae-Abietenion  ;(Horvat 1962) Exner & Willner 2007;Calamagrostio variae-Piceetum Schweingruber 1972;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts04;2011-09-10;90;25;0;10;90;2;12;0;4;1;0,5;16;16;W;50;0;0;10;47.865755N;13.817526E;10;Traunstein;;talus;Skeletthumusboden;Abieti-Piceion;;(Br.-Bl. 1939) Soó 1963 s.l.;Calamagrostio variae-Abietenion  ;(Horvat 1962) Exner & Willner 2007;Calamagrostio variae-Piceetum Schweingruber 1972;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts05;2011-09-10;98;0;0;0;98;3;0;0;0;1,2;0,35;4;4;W;30;1;1;0;47.865987N;13.817727E;10;Traunstein;;talus, near cliff;Felshumusboden;Seslerion coeruleae;Br.-Bl. in Br.-Bl. & Jenny 1926;;;Caricetum mucronatae (Br.-Bl. in B;;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts06;2011-09-11;0;55;25;6;80;15;15;10;0;0,5;0,3;16;16;W;60;20;0;0;47.819484N;13.801306E;10;Spitzlstein;;;Mull-Renzina;Tilio-Acerion;Klika 1955;Tilenion platyphylli;(Moor 1973) Müller 1992;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts07;2011-09-11;85;0;10;50;15;5;0;6;3;1;0,2;16;16;SW;80;85;1;0;47.819374N;13.801068E;10;Spitzlstein;;rockwall;Rendzina;Berberidion;Br.-Bl. ex Tx. 1952;;;Cotoneastro amelanchieretum Faber ex Müller 1966;;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts08;2011-09-11;95;0;35;80;45;10;0;10;4;1;0,25;16;4;W;35;3;1;0;47.819201N;13.800961E;10;Spitzlstein;;rockwall;Mull-Renzina;Tilio-Acerion;Klika 1955;Tilenion platyphylli;(Moor 1973) Müller 1992;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts09;2011-09-11;0;80;0;6;70;30;20;15;0;0,5;0,3;16;16;W;30;15;0;0;47.819198N;13.801379E;10;Spitzlstein;;;Mull-Renzina;Tilio-Acerion;Klika 1955;Tilenion platyphylli;(Moor 1973) Müller 1992;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;;;E. Stadler, R. Kaiser, U. Jaros & G. Pflugbeil 
ts10;2014-05-22;97;40;50;65;60;5;15;10;5;0,7;0,2;16;16;W;55;3;0;0;47.858571N;13.814897E;9;Schönberg;;;Mull-Renzina;Tilio-Acerion;Klika 1955;Tilenion platyphylli;(Moor 1973) Müller 1992;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;;;R. Kaiser & T. Eberl
