"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"history"
"tg10a";"achn cala";"hl";"1";;;;
"tg10a";"ajug rept";"hl";"1";;;;
"tg10a";"alnu inca";"sl";"1";;;;
"tg10a";"alnu inca";"tl";"2a";;;;
"tg10a";"amel oval";"hl";"+";;;;
"tg10a";"amel oval";"sl";"1";;;;
"tg10a";"berb vulg";"hl";"1";;;;
"tg10a";"berb vulg";"sl";"+";;;;
"tg10a";"betu pend";"hl";"+";;;;
"tg10a";"betu pend";"sl";"+";;;;
"tg10a";"buph sali";"hl";"1";;;;
"tg10a";"card defl viri";"hl";"1";;;;" | Changed card defl To card defl viri 2012-11-27 16:08:03"
"tg10a";"carl vulg vulg";"hl";"+";;;;" | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03"
"tg10a";"cich inty";"hl";"+";;;;
"tg10a";"cirs vulg";"hl";"+";;;;
"tg10a";"clem vita";"hl";"2a";;;;
"tg10a";"clem vita";"sl";"+";;;;
"tg10a";"corn sang slat";"hl";"1";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg10a";"corn sang slat";"sl";"1";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg10a";"dact glom glom";"hl";"+";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg10a";"dauc caro caro";"hl";"+";;;;" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"tg10a";"epip hell slat";"hl";"+";;;;" | Changed epip hell To epip hell slat 2012-11-27 16:08:03"
"tg10a";"eric carn";"hl";"1";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg10a";"erig acri acri";"hl";"+";;;;" | Changed erig acri ac To erig acri acri 2012-11-27 16:08:03"
"tg10a";"erig annu slat";"hl";"+";;;;" | Changed erig annu To erig annu slat 2012-11-27 16:08:03"
"tg10a";"fran alnu";"hl";"1";;;;
"tg10a";"fran alnu";"sl";"2a";;;;
"tg10a";"hier muro";"hl";"1";;;;" | Changed hier sylv To hier muro 2012-11-27 16:08:03"
"tg10a";"juni comm comm";"hl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg10a";"juni comm comm";"sl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg10a";"lari deci deci";"hl";"+";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg10a";"lari deci deci";"sl";"1";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg10a";"lari deci deci";"tl";"2a";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg10a";"leon inca";"hl";"+";;;;
"tg10a";"loni xylo";"hl";"+";;;;
"tg10a";"loni xylo";"sl";"+";;;;
"tg10a";"pinu sylv";"sl";"2a";;;;
"tg10a";"pinu sylv";"tl";"3";;;;
"tg10a";"popu trem";"hl";"+";;;;
"tg10a";"popu trem";"sl";"1";;;;
"tg10a";"popu trem";"tl";"1";;;;
"tg10a";"prun aviu slat";"hl";"+";;;;" | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03"
"tg10a";"prun aviu slat";"sl";"+";;;;" | Changed prun aviu To prun aviu slat 2012-11-27 16:08:03"
"tg10a";"rham cath";"hl";"+";;;;
"tg10a";"robi pseu";"hl";"+";;;;
"tg10a";"robi pseu";"sl";"1";;;;
"tg10a";"robi pseu";"tl";"2a";;;;
"tg10a";"sali capr";"hl";"+";;;;
"tg10a";"sali capr";"sl";"+";;;;
"tg10a";"sali purp";"sl";"2a";;;;
