plot,abbr,layer,cover,voucher,comment,history
ub01,abie alba,hl,+,,,
ub01,acer pseu,hl,+,,,
ub01,aden alpi,hl,+,,,
ub01,ajug rept,hl,r,,,
ub01,amel oval,hl,+,,,
ub01,apos foet,hl,1,,,
ub01,aspl ruta,hl,r,,,
ub01,bell mich,hl,+,,,
ub01,buph sali,hl,+,,,
ub01,cala vari,hl,3,,,
ub01,card defl viri,hl,+,,,
ub01,care alba,hl,3,,,
ub01,care digi,hl,r,,,
ub01,care flac,hl,+,,,
ub01,ceph long,hl,r,,,
ub01,ceph rubr,hl,r,,,
ub01,clem vita,hl,+,,,
ub01,conv maja maja,hl,r,,,
ub01,cycl purp,hl,+,,,
ub01,daph meze,hl,+,,,
ub01,eupa cann,hl,+,,,
ub01,euph amyg amyg,hl,+,,,
ub01,euph dulc,hl,+,,,
ub01,fagu sylv,hl,+,,,
ub01,frag vesc,hl,+,,,
ub01,fran alnu,hl,r,,,
ub01,frax exce,hl,+,,,
ub01,gali anis,hl,+,,,
ub01,gali moll,hl,+,cf.,,
ub01,gali sylv,hl,+,,,
ub01,hepa nobi,hl,+,,,
ub01,hier bifi,hl,+,,,
ub01,hier muro,hl,r,,,
ub01,knau maxi,hl,+,,,
ub01,ligu vulg,hl,r,,,
ub01,lili mart,hl,+,,,
ub01,loni alpi,hl,+,,,
ub01,loni xylo,hl,+,,,
ub01,maia bifo,hl,r,,,
ub01,mela sylv,hl,+,,,
ub01,meli nuta,hl,1,,,
ub01,merc pere,hl,+,,,
ub01,orig vulg,hl,2m,,,
ub01,pice abie,hl,+,,,
ub01,pimp majo majo,hl,+,,,
ub01,poly cham,hl,1,,,
ub01,poly vert,hl,r,,,
ub01,pote caul,hl,r,,,
ub01,pren purp,hl,+,,,
ub01,ranu nemo,hl,r,,,
ub01,rham saxa saxa,hl,r,,,
ub01,rosa pend,hl,r,,,
ub01,sene ovat ovat,hl,+,,,
ub01,sesl caer,hl,+,,,
ub01,soli virg virg,hl,+,,,
ub01,sorb aria,hl,+,,,
ub01,sorb aucu aucu,hl,+,,,
ub01,vacc myrt,hl,+,,,
ub01,vale trip,hl,+,,,
ub01,vinc hiru,hl,r,,,
ub01,viol coll,hl,+,2015-0000,,
ub01,viol reic,hl,+,,,
ub01,cten moll slat,ml,+,,,
ub01,tort tort,ml,2a,,,
ub01,abie alba,tl1,2a,,,
ub01,fagu sylv,tl1,3,,,
ub01,abie alba,tl2,2b,,,
ub01,acer plat,tl2,+,,,
ub01,fagu sylv,tl2,1,,,
ub01,pinu sylv,tl2,1,,,
