"plot";"variable";"value"
"wh01a";"cov";"100"
"wh01a";"t1cov";"87"
"wh01a";"t2cov";"0"
"wh01a";"scov";"0"
"wh01a";"hcov";"7"
"wh01a";"mcov";"98"
"wh01a";"htl1";"15"
"wh01a";"htl2";"0"
"wh01a";"hsl";"0"
"wh01a";"hhl1";"0,5"
"wh01a";"hhl2";"0,1"
"wh01a";"plsx";"15"
"wh01a";"plsy";"15"
"wh01a";"expo";"F"
"wh01a";"slope";"0"
"wh01a";"date";"12.09.2010"
"wh01a";"soil";
"wh01a";"comment";
"wh02a";"cov";"99"
"wh02a";"t1cov";"60"
"wh02a";"t2cov";"5"
"wh02a";"scov";"15"
"wh02a";"hcov";"70"
"wh02a";"mcov";"90"
"wh02a";"htl1";"25"
"wh02a";"htl2";"15"
"wh02a";"hsl";"4"
"wh02a";"hhl1";"0,7"
"wh02a";"hhl2";"0,1"
"wh02a";"plsx";"20"
"wh02a";"plsy";"20"
"wh02a";"expo";"F"
"wh02a";"slope";"0"
"wh02a";"date";"12.09.2010"
"wh02a";"soil";
"wh02a";"comment";
"wh02b";"cov";"99"
"wh02b";"t1cov";"85"
"wh02b";"t2cov";"0"
"wh02b";"scov";"35"
"wh02b";"hcov";"75"
"wh02b";"mcov";"95"
"wh02b";"htl1";"25"
"wh02b";"htl2";"0"
"wh02b";"hsl";"3"
"wh02b";"hhl1";"0,7"
"wh02b";"hhl2";"0,1"
"wh02b";"plsx";"20"
"wh02b";"plsy";"20"
"wh02b";"expo";"F"
"wh02b";"slope";"0"
"wh02b";"date";"12.09.2010"
"wh02b";"soil";
"wh02b";"comment";
"wh02c";"cov";"99"
"wh02c";"t1cov";"85"
"wh02c";"t2cov";"0"
"wh02c";"scov";"25"
"wh02c";"hcov";"75"
"wh02c";"mcov";"90"
"wh02c";"htl1";"25"
"wh02c";"htl2";"0"
"wh02c";"hsl";"2"
"wh02c";"hhl1";"0,7"
"wh02c";"hhl2";"0,1"
"wh02c";"plsx";"20"
"wh02c";"plsy";"20"
"wh02c";"expo";"F"
"wh02c";"slope";"0"
"wh02c";"date";"13.09.2010"
"wh02c";"soil";
"wh02c";"comment";
"wh02d";"cov";"99"
"wh02d";"t1cov";"90"
"wh02d";"t2cov";"0"
"wh02d";"scov";"7"
"wh02d";"hcov";"80"
"wh02d";"mcov";"95"
"wh02d";"htl1";"25"
"wh02d";"htl2";"0"
"wh02d";"hsl";"2"
"wh02d";"hhl1";"0,5"
"wh02d";"hhl2";"0,1"
"wh02d";"plsx";"20"
"wh02d";"plsy";"20"
"wh02d";"expo";"F"
"wh02d";"slope";"0"
"wh02d";"date";"13.09.2010"
"wh02d";"soil";
"wh02d";"comment";
"wh03a";"cov";"99"
"wh03a";"t1cov";"96"
"wh03a";"t2cov";"0"
"wh03a";"scov";"0"
"wh03a";"hcov";"1"
"wh03a";"mcov";"95"
"wh03a";"htl1";"18"
"wh03a";"htl2";"0"
"wh03a";"hsl";"0"
"wh03a";"hhl1";"0,25"
"wh03a";"hhl2";"0,1"
"wh03a";"plsx";"20"
"wh03a";"plsy";"20"
"wh03a";"expo";"F"
"wh03a";"slope";"0"
"wh03a";"date";"12.09.2010"
"wh03a";"soil";
"wh03a";"comment";
"wh04a";"cov";"100"
"wh04a";"t1cov";"98"
"wh04a";"t2cov";"0"
"wh04a";"scov";"0"
"wh04a";"hcov";"3"
"wh04a";"mcov";"98"
"wh04a";"htl1";"8"
"wh04a";"htl2";"0"
"wh04a";"hsl";"0"
"wh04a";"hhl1";"0,4"
"wh04a";"hhl2";"0,1"
"wh04a";"plsx";"15"
"wh04a";"plsy";"15"
"wh04a";"expo";"F"
"wh04a";"slope";"0"
"wh04a";"date";"12.09.2010"
"wh04a";"soil";
"wh04a";"comment";
"wh05a";"cov";"99"
"wh05a";"t1cov";"95"
"wh05a";"t2cov";"0"
"wh05a";"scov";"0"
"wh05a";"hcov";"5"
"wh05a";"mcov";"99"
"wh05a";"htl1";"20"
"wh05a";"htl2";"0"
"wh05a";"hsl";"0"
"wh05a";"hhl1";"0,4"
"wh05a";"hhl2";"0,1"
"wh05a";"plsx";"20"
"wh05a";"plsy";"20"
"wh05a";"expo";"F"
"wh05a";"slope";"0"
"wh05a";"date";"12.09.2010"
"wh05a";"soil";
"wh05a";"comment";
"wh06a";"cov";"100"
"wh06a";"t1cov";"93"
"wh06a";"t2cov";"0"
"wh06a";"scov";"7"
"wh06a";"hcov";"80"
"wh06a";"mcov";"95"
"wh06a";"htl1";"27"
"wh06a";"htl2";"0"
"wh06a";"hsl";"4"
"wh06a";"hhl1";"0,7"
"wh06a";"hhl2";"0,1"
"wh06a";"plsx";"20"
"wh06a";"plsy";"20"
"wh06a";"expo";"F"
"wh06a";"slope";"0"
"wh06a";"date";"12.09.2010"
"wh06a";"soil";
"wh06a";"comment";
"wh06b";"cov";"98"
"wh06b";"t1cov";"90"
"wh06b";"t2cov";"0"
"wh06b";"scov";"15"
"wh06b";"hcov";"75"
"wh06b";"mcov";"95"
"wh06b";"htl1";"25"
"wh06b";"htl2";"0"
"wh06b";"hsl";"2,5"
"wh06b";"hhl1";"0,8"
"wh06b";"hhl2";"0,1"
"wh06b";"plsx";"20"
"wh06b";"plsy";"20"
"wh06b";"expo";"F"
"wh06b";"slope";"0"
"wh06b";"date";"12.09.2010"
"wh06b";"soil";
"wh06b";"comment";
"wh07a";"cov";"98"
"wh07a";"t1cov";"80"
"wh07a";"t2cov";"15"
"wh07a";"scov";"0"
"wh07a";"hcov";"7"
"wh07a";"mcov";"95"
"wh07a";"htl1";"25"
"wh07a";"htl2";"12"
"wh07a";"hsl";"0"
"wh07a";"hhl1";"0,3"
"wh07a";"hhl2";"0,1"
"wh07a";"plsx";"20"
"wh07a";"plsy";"20"
"wh07a";"expo";"F"
"wh07a";"slope";"0"
"wh07a";"date";"12.09.2010"
"wh07a";"soil";
"wh07a";"comment";
"wh08a";"cov";"100"
"wh08a";"t1cov";"0"
"wh08a";"t2cov";"0"
"wh08a";"scov";"20"
