"plot";"abbr";"layer";"cov";"voucher";"determined"
"ww01";"care otru";"hl";"2b";;
"ww01";"ranu acri acri";"hl";"+";;
"ww01";"symp offi";"hl";"2a";;
"ww01";"fest rubr slat";"hl";1;;
"ww01";"pote anse anse";"hl";1;;
"ww01";"care hirt";"hl";3;;
"ww01";"trif prat prat";"hl";3;;
"ww01";"lych flos cucu";"hl";"2a";;
"ww01";"holc lana";"hl";"2b";;
"ww01";"junc infl";"hl";1;;
"ww01";"equi palu";"hl";"+";;
"ww01";"ranu repe";"hl";3;;
"ww01";"junc arti";"hl";"+";;
"ww01";"rume obtu slat";"hl";"r";;
"ww01";"cera holo";"hl";1;;
"ww01";"alop prat";"hl";"2m";;
"ww01";"plan lanc";"hl";"+";;
"ww01";"call cusp";"ml";3;;
"ww01";"fest prat prat";"hl";1;;
"ww01";"junc effu";"hl";"2a";;
"ww01";"dact glom glom";"hl";1;;
"ww01";"poa triv";"hl";"2a";;
"ww02";"ajug rept";"hl";1;;
"ww02";"care otru";"hl";3;;
"ww02";"ranu repe";"hl";"2b";;
"ww02";"symp offi";"hl";"2a";;
"ww02";"cera holo";"hl";1;;
"ww02";"alop prat";"hl";"2a";;
"ww02";"rume cris";"hl";"+";;
"ww02";"lych flos cucu";"hl";1;;
"ww02";"phal arun";"hl";"2b";;
"ww02";"call cusp";"ml";3;;
"ww02";"care hirt";"hl";"2b";;
"ww02";"junc infl";"hl";"2a";;
"ww02";"gali albu";"hl";"+";;
"ww02";"ranu acri acri";"hl";"+";;
"ww02";"glec hede";"hl";"+";;
"ww02";"vero serp serp";"hl";"+";;
"ww02";"anth odor";"hl";"+";;
"ww02";"vici sepi";"hl";"+";;
"ww02";"fest prat prat";"hl";"2a";;
"ww02";"poa triv";"hl";"2a";;
"ww02";"pote anse anse";"hl";1;;
"ww02";"trif prat prat";"hl";"2b";;
"ww02";"tara sect rude";"hl";"+";;
"ww02";"epil parv";"hl";"+";;"cf."
"ww03";"alop prat";"hl";"2b";;
"ww03";"care otru";"hl";4;;
"ww03";"lych flos cucu";"hl";1;;
"ww03";"ranu acri acri";"hl";"+";;
"ww03";"rume cris";"hl";"+";;
"ww03";"poa triv";"hl";"2a";;
"ww03";"fest prat prat";"hl";"2a";;
"ww03";"care hirt";"hl";"2b";;
"ww03";"pote anse anse";"hl";1;;
"ww03";"phal arun";"hl";"2a";;
"ww03";"symp offi";"hl";"+";;
"ww03";"junc infl";"hl";"2b";;
"ww03";"junc effu";"hl";"+";;
"ww03";"call cusp";"hl";3;;
"ww03";"arrh elat";"hl";"r";;
"ww03";"rume obtu slat";"hl";"+";;
