plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;date;soil;comment;altitude;longitude;latitude;location;syntaxon
wb01a;100;100;0;0;3;4;12;0;6;1;0,2;15;15;NE;15;2010-06-06;;;1032;12.781192E;47.495802N;Weißbach bei Lofer;unclassified
wb01b;100;70;30;20;10;30;25;11;3;1;0,1;15;15;NE;25;2010-06-06;;;978;12.781269E;47.496624N;Weißbach bei Lofer;unclassified
wb01c;98;80;20;2;5;10;25;11;3;1;0,1;15;15;E;15;2010-06-06;;;977;12.780019E;47.496828N;Weißbach bei Lofer;unclassified
wb01d;98;90;20;1;2;5;18;12;5;0,4;0,1;15;15;NE;7;2010-06-06;;;978;12.782358E;47.496751N;Weißbach bei Lofer;unclassified
wb02a;95;75;25;5;40;5;25;10;5;0,7;0,2;10;20;SE;20;2010-06-06;;;1025;12.782438E;47.495338N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 seslerietosum
wb03a;100;85;0;0;10;25;19;0;0;0,4;0,1;15;15;NE;20;2010-06-06;;;996;12.780725E;47.496562N;Weißbach bei Lofer;unclassified
wb03b;95;90;0;2;5;65;18;0;3;0,3;0,1;15;15;NE;20;2010-06-06;;;883;12.784392E;47.494060N;Weißbach bei Lofer;unclassified
wb04a;90;75;15;2;50;10;20;12;5;0,4;0,1;15;15;NE;60;2010-06-06;;;963;12.779943E;47.498037N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 seslerietosum
wb05a;95;60;15;5;85;5;18;12;5;0,6;0,1;20;10;E;50;2010-06-06;;;979;12.783277E;47.496529N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 seslerietosum
wb05b;98;55;10;3;80;25;21;14;4;0,6;0,3;15;15;ESE;50;2010-06-06;;;816;12.783788E;47.497317N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 seslerietosum
wb06a;98;95;5;1;5;15;25;9;3;0,6;0,1;15;15;ESE;5;2010-06-06;;;957;12.783506E;47.497113N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 typicum
wb07a;85;0;15;30;80;20;0;8;3;1,4;0,4;10;15;NE;25;2010-06-06;;;903;12.784766E;47.497961N;Weißbach bei Lofer;Cardamine trifoliae-Fagetum Oberd. & Müller 1984
wb08a;95;45;10;3;85;5;14;10;3;0,9;0,3;10;20;SE;35;2010-06-06;;;787;12.785750E;47.497457N;Weißbach bei Lofer;Erico-Pinetum sylvestris caricetosum humilis Eichberger, Heiselmayer & Grabherr 2004
wb08b;85;55;0;3;80;15;11;0;3;0,8;0,2;15;15;SE;70;2010-06-06;;;792;12.785802E;47.497387N;Weißbach bei Lofer;Erico-Pinetum sylvestris caricetosum humilis Eichberger, Heiselmayer & Grabherr 2004
wb08c;90;60;0;10;85;30;10;0;2,5;0,7;0,3;15;15;SE;70;2010-06-05;;;792;12.786121E;47.497718N;Weißbach bei Lofer;Erico-Pinetum sylvestris caricetosum humilis Eichberger, Heiselmayer & Grabherr 2004
wb08d;85;35;0;30;75;15;11;0;2;0,6;0,3;8;20;S;75;2010-06-06;;;0;12.782872E;47.494816N;Weißbach bei Lofer;Erico-Pinetum sylvestris caricetosum humilis Eichberger, Heiselmayer & Grabherr 2004
wb09a;92;70;0;10;80;5;25;0;5;0,7;0,1;15;15;N;15;2010-06-05;;;849;12.783630E;47.498390N;Weißbach bei Lofer;Cardamine trifoliae-Fagetum Oberd. & Müller 1984
wb09b;90;65;0;15;50;30;25;0;3;0,7;0,3;15;15;N;30;2010-06-05;;;895;12.781373E;47.497848N;Weißbach bei Lofer;Cardamine trifoliae-Fagetum Oberd. & Müller 1984
wb09c;97;93;10;1;35;10;23;15;5;0,7;0,3;20;20;NE;35;2010-06-09;;;896;12.782829E;47.498395N;Weißbach bei Lofer;Cardamine trifoliae-Fagetum Oberd. & Müller 1984
wb10a;30;0;0;0;25;10;0;0;0;0,7;0,2;3;3;S;80;2010-06-06;;;789;12.784975E;47.496871N;Weißbach bei Lofer;Hieracio humilis-Potentielletum caulescentis Br.-Bl. In Meier et Br.-Bl. 1934
wb11a;98;98;0;1;5;2;25;0;3;0,5;0,1;15;15;NE;30;2010-06-06;;;0;12.783183E;47.495266N;Weißbach bei Lofer;Helleboro nigri-Fagetum Zukrigl 1973
wb12a;95;90;5;1;25;40;24;10;2;0,3;0,1;15;15;E;30;2010-06-06;;;943;12.783559E;47.494404N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 typicum
wb13a;100;98;2;5;15;20;24;12;3;0,8;0,2;15;15;E;15;2010-06-06;;;933;12.784001E;47.493421N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 seslerietosum
wb13b;100;98;4;1;5;3;23;9;3;0,4;0,1;15;15;E;10;2010-06-06;;;945;12.786582E;47.493597N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 typicum
wb13c;100;95;5;3;3;5;24;12;3;0,5;0,1;15;15;E;10;2010-06-06;;;759;12.785653E;47.496917N;Weißbach bei Lofer;Adenostylo glabrae-Fagetum Moor 1970 typicum
wb14a;96;90;0;15;35;15;25;0;5;0,6;0,1;15;15;E;60;2010-06-06;;;0;12.785899E;47.499135N;Weißbach bei Lofer;Phyllitido-Aceretum Moor 1945
