"plot";"key";"form";"hyd";"ph";"wk";"syntaxon"
"wb03a";"a";"Fi-Forst";;;"SH (BH)";"keine Zuordnung sinnvoll"
"wb03b";"a";"Fi-Forst";;;"SH (BH)";"keine Zuordnung sinnvoll"
"wb01b";"a";"Fi-Forst";;;"SH";"keine Zuordnung sinnvoll"
"wb01a";"b";"Bu-Wald";;;"SH";
"wb01c";"b";"Fi-Ta-Bu-Wald";;;"SH";
"wb01d";"b";"Fi-Ta-Bu-Wald";;;"SH";
"wb14a";"c";"Bu-Ah-Es-Wald";"mesophil";;"BH";"Saxifrago rotundifoliae-Fagetum pp., Phyllitido-Aceretum pp."
"wb15a";"c";"Bu-Ah-Es-Wald";"mesophil";;"BH";"Phyllitido-Aceretum"
"wb15b";"c";"Bu-Ah-Es-Wald";"mesophil";;"BH";"Phyllitido-Aceretum"
"wb15c";"c";"Bu-Ah-Es-Wald";"mesophil";;"BH";"Phyllitido-Aceretum, Lonicero alpigenae-Fagetum p.p."
"wb08a";"d";"Fö-Wald";"Trockenhang";;"BH";"Erico-Pinetum sylvestris "
"wb08b";"d";"Fö-Wald";"Trockenhang";;"BH";"Erico-Pinetum sylvestris "
"wb08c";"d";"Fö-Wald";"Trockenhang";;"BH";"Erico-Pinetum sylvestris "
"wb08d";"d";"Fö-Wald";"Trockenhang";;"BH";"Erico-Pinetum sylvestris "
"wb11a";"e";"Bu-Wald";"mesophil";;"BH";"Caricetum brachystachyos"
"wb06a";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";
"wb09a";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";"Lonicero alpigenae-Fagetum, (Übergang zum Galio odorati-Fagetum)"
"wb09b";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";"Lonicero alpigenae-Fagetum, (Übergang zum Galio odorati-Fagetum)"
"wb09c";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";"Lonicero alpigenae-Fagetum, (Übergang zum Galio odorati-Fagetum)"
"wb12a";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";
"wb13a";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";"Lonicero alpigenae-Fagetum"
"wb13b";"e";"Fi-Ta-Bu-Wald";"mesophil";;"BH";"Lonicero alpigenae-Fagetum"
"wb13c";"e";"Fi-Ta-Bu-Wald";"mesophil/trocken";;"BH";"Lonicero alpigenae-Fagetum"
"wb04a";"f";"Fi-Ta-Bu-Wald";"Trockenhang";;"BH";"Adenostylo glabrae-Fagetum"
"wb05a";"f";"Fi-Ta-Bu-Wald";"Trockenhang";;"BH";"Adenostylo glabrae-Fagetum"
"wb05b";"f";"Fi-Ta-Bu-Wald";"Trockenhang";;"BH";"Adenostylo glabrae-Fagetum"
"wb02a";"g";"Fi-Ta-Bu-Wald";;"sauer";"BH";"Calamagrostio villosae-Fagetum, Galio odorati-Fagetum"
"wb20a";"h";"Fi-Fö-Lä-Wald";"Schatthang";;"BH";"Calamagrostio variae-Piceetum"
"wb18a";"i";"Latschen";;;;"Rhododendro hirsuti-Pinetum prostratae"
"wb18b";"i";"Latschen";;;;"Rhododendro hirsuti-Pinetum prostratae"
"wb16a";"j";"Lä-Wald";;;"BH";"Rhodothamno-Laricetum"
"wb17a";"k";"Lawinar";;;;"Caricetum ferrugineae, Caricetum firmae, Origano-Calamagrostietum variae"
"wb07a";"l";"Schlagflur";;;;
"wb19a";"m";"Felsrasen";;;;
"wb19b";"m";"Felsrasen";;;;
"wb10a";"n";"Felsspaltenvegetation";;;;"Hieracio humilis-Potentielletum caulescentis, Asplenietum rutae-murariae-trichomanis"
