"plot";"cov";"t1cov";"t2cov";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"date";"soil";"longitude";"latitude";"elevation"
"wk01a";98;95;0;3;95;10;7;0;4;1,5;0,5;15;15;"F";0;"11.06.10";;"14.115485E";"48.173083N";342,06875
"wk01b";98;95;0;5;95;15;10;0;5;1,5;0,5;15;15;"F";0;"11.06.10";;"14.115622E";"48.172817N";350,91522
"wk01c";97;95;0;8;90;10;9;0;4;1,5;0,5;20;10;"F";0;"11.06.10";;"14.116038E";"48.172503N";353,15222
"wk02a";100;85;0;1;80;15;15;0;5;1,3;0,7;15;15;"F";0;"11.06.10";;"14.115860E";"48.172983N";349,63167
"wk03a";90;40;0;75;65;2;20;0;7;1,5;0,5;30;6;"F";0;"11.06.10";;"14.116357E";"48.172454N";352,72259
"wk04a";98;20;0;80;95;3;10;0;6;0,9;0,3;10;10;"F";0;"11.06.10";;"14.116366E";"48.173161N";361,879
"wk04b";85;0;0;0;85;2;0;0;0;1,2;0,1;6;6;"F";0;"11.06.10";;"14.116793E";"48.173175N";341,625
"wk05a";100;50;0;75;90;5;22;0;6;1,3;0,4;15;15;"F";0;"11.06.10";;"14.116950E";"48.174027N";355,39962
"wk05b";100;90;0;10;95;20;23;0;3;0,9;0,3;15;15;"F";0;"11.06.10";;"14.117435E";"48.173524N";361,05077
"wk05c";98;90;0;40;80;5;25;0;5;0,7;0,02;15;15;"F";0;"11.06.10";;"14.116700E";"48.172925N";346,30804
"wk05d";97;35;0;25;95;3;15;0;5;1,2;0,3;20;20;"F";0;"11.06.10";;"14.117103E";"48.173867N";338,10739
