aven flex	aven flex flex
care semp	care semp semp
gent clus	gent clus clus
gent vern	gent vern vern
pedi roca	pedi rost tata
poly vivi	pers vivi
sesl albi	sesl caer
anth vuln alpe	anth vuln alpi
aste bell	bell mich
bisc laev	bisc laev slat
euph pict	euph offi pict
leon helv	scor helv
ligu muts	pach mute
luzu alpi	luzu alpi na
luzu alpi pilo	luzu alpi losa
agro rupe	agro rupe rupe
saxi oppo	saxi oppo oppo
crep aure	crep aure aure
leon hisp	leon hsip slat
alch spec	alch spec ies
tris spic	tris spic ovat
camp barb	camp barb barb
gnap spec	gnap spec ies
sedu atra	sedu atra atra
minu cher	minu cher quad
care orns	care orni
hutc alpi	horn alpi brev
ligu muta	mute adon
elyn myos	kobr myos
carl acau	carl acau acau
heli glab	heli numm glab
astr spec	astr spec ies
oxyt spec	ocyt spec ies
pseu albi	pseu albi slat
hedy hedy	hedy hedy hedy
sold pusi	sold pusi alpi
fest nigr	fest nigr cens

