plot;abbr;typical.sample;physiognomy;soil;soil.depth;soil.comment;snowmelt;moisture;comment;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;altitude;precision.vertical;precision.horizontal;latitude;longitude
lf01;cre fes com;;;;;;intermediate;;;97;0;0;0;96;10;0;0;0;0,5;0,05;4;4;S;15;1;0;2;2011-08-02;1694;12,2;4;47.212891N;13.494839E
lf02;car acu bro tha ver;;;;;;early;;;95;0;0;0;70;70;0;0;0;0,4;0,02;4;4;S;20;5;0;0;2011-08-02;1703;13,2;9,1;47.212967N;13.494008E
lf03;car acu bro tha ver;yes;;;;;early;;;97;0;0;0;90;35;0;0;0;0,45;0,1;4;4;S;20;2;0;1;2011-08-02;1700;11,4;7,9;47.213252N;13.493461E
lf04;ses car sem;;;;;;intermediate;;;94;0;0;0;85;15;0;0;0;0,6;0,15;4;4;S;35;5;0;1;2011-08-02;1721;11,7;7,6;47.213494N;13.492791E
lf05;ses car sem nar str;;;;;;intermediate;;;95;0;0;0;94;3;0;0;0;0,6;0,1;4;4;S;35;1;0;4;2011-08-02;1739;11,8;9,4;47.213906N;13.490738E
lf06;car pan;;;Quelltorf;;;late;;;93;0;0;0;90;20;0;0;0;0,6;0,1;4;4;S;30;2;0;5;2011-08-02;1764;11,8;7,5;47.213960N;13.489297E
lf07;cra fal;;;Quelltorf;;;early;;;98;0;0;0;50;85;0;0;0;0,2;0,1;0,5;20;S;40;2;0;0;2011-08-02;1766;10,2;8,1;47.213953N;13.489111E
lf08;ses car sem nar str;;;;;;late;;;90;0;0;0;88;5;0;0;0;0,4;0,05;4;4;S;25;10;0;2;2011-08-03;1723;13,5;6,1;47.213364N;13.489021E
lf09;rho lar;;;Braunerde;;;late;;;95;65;15;10;85;20;25;15;2,5;0,8;0,15;16;16;S;25;4;0;1;2011-08-03;1759;15;8,8;47.213454N;13.487361E
lf10;cre fes com;;;;;;intermediate;;;95;0;0;0;95;3;0;0;0;0,7;0,1;4;4;S;15;0;0;0;2011-08-03;1782;9,2;7,4;47.213786N;13.485795E
lf11;cra fal;;;Quelltorf;;;early;;;40;0;0;0;15;35;0;0;0;0,7;0,15;2;0,5;S;10;0;0;0;2011-08-03;1773;10,3;8,2;47.213811N;13.485568E
lf12;ses car sem hel par;;;;;;early;;;99;0;0;0;99;0;0;0;0;1;0,1;4;4;S;35;0;0;0;2011-08-03;1830;11,3;8,2;47.214565N;13.485841E
lf13;car dav;;;Quelltorf;;;late;;;97;0;0;0;90;30;0;0;0;0,7;0,2;4;4;S;15;0;0;0;2011-08-03;1797;13,7;7,4;47.213931N;13.484972E
lf14;rho hir pin pro;;;;;;late;;;97;10;3;80;60;55;22;10;3;0,9;0,3;8;8;S;40;3;0;0;2011-08-03;1836;9,6;7,5;47.214699N;13.483093E
lf15;ast bel kob sim;;;;;;early;;;85;0;0;0;70;20;0;0;0;0,2;0,05;4;4;SW;30;5;5;5;2011-08-03;1862;8;4,8;47.215872N;13.479886E
lf16;cra fal;;;Quelltorf;;;early;;;96;0;0;0;2;95;0;0;0;0,15;0,02;0,5;2;SW;10;3;2;0;2011-08-03;1860;14,7;8,9;47.215906N;13.479951E
lf17;sie nar str;;;;;;late;;;97;0;0;0;95;3;0;0;0;0,6;0,1;4;4;SW;35;1;0;2;2011-08-03;1857;16,9;6,7;47.215399N;13.480842E
lf18;rho fer pin pro;;;;;;late;;;100;0;4;0;90;60;0;10;3;0,8;0,3;8;8;SW;30;0;0;0;2011-08-03;1855;20;10;47.215491N;13.480626E
lf19;des ces poe alp;;;;;;late;;;96;0;0;0;96;2;0;0;0;0,6;0,1;4;4;SE;5;0;0;4;2011-08-03;1941;8,7;5,4;47.217675N;13.474925E
lf20;ast bel kob sim;;;;;;early;;;60;0;0;0;55;10;0;0;0;0,15;0,1;2;2;S;20;0;35;5;2011-08-11;1858;17,5;8,8;47.215735N;13.479002E
lf21;cre fes com;;;;;;missing;;;93;0;0;0;90;5;0;0;0;0,3;0,1;4;4;S;35;5;0;2;2011-08-11;1921;8,3;3,3;47.217410N;13.477706E
lf22;sie nar str;;;;;;missing;;;93;0;0;0;90;10;0;0;0;0,65;0,1;4;4;SW;25;5;0;2;2011-08-11;1917;7,4;3,6;47.217427N;13.477171E
lf23;ses car sem hel par;yes;;Syrosem;very shallow;;early;;;54;0;0;0;52;5;0;0;0;0,7;0,1;4;4;S;30;0;45;1;2011-08-11;1943;18,2;7,1;47.218036N;13.477786E
lf24;ses car sem;;;Braunerde;deep;;early;;;95;0;0;0;94;3;0;0;0;0,3;0,05;4;4;S;35;1;2;2;2011-08-11;1984;12,8;10,2;47.218589N;13.475009E
lf25;sie nar str;;;Braunerde;deep;;early;;;98;0;0;0;98;3;0;0;0;0,5;0,1;4;4;S;15;0;0;2;2011-08-11;2100;10;10;47.219169N;13.470749E
lf26;car fir;;;;;;intermediate;;;96;0;0;0;90;20;0;0;0;0,2;0,1;4;4;NE;20;0;0;4;2011-08-11;2100;10;20;47.220659N;13.470644E
lf27;pot dub hom dis;;;Braunerde;deep;;late;;cf. ses car sem fes pul;95;0;0;0;90;15;0;0;0;0,2;0,05;4;4;SE;30;1;0;4;2011-08-11;2088;11;7,4;47.221645N;13.470339E
lf28;cam pul ach atr;;;Pseudogley-Podsol;intermediate;;late;;;60;0;0;0;55;10;0;0;0;0,15;0,05;4;4;SW;30;0;8;32;2011-08-11;2091;15,9;12,7;47.222091N;13.471153E
lf29;phy con loi pro;;;Proto-Ranker;shallow;;early;;;75;0;0;0;65;15;0;0;0;0,15;0,04;4;4;SW;15;0;20;5;2011-08-11;2129;8,9;6,7;47.222077N;13.472755E
lf30;loi cet;;;Proto-Ranker;shallow;;early;;;94;0;0;0;75;70;0;0;0;0,3;0,02;4;4;SE;5;2;3;1;2011-08-11;2119;18,5;6,7;47.222530N;13.471707E
lf31;nar gna sup;;;Proto-Ranker;shallow;;intermediate;;;90;0;0;0;80;20;0;0;0;0,15;0,07;4;4;SSE;35;8;0;2;2011-09-17;2135;8,7;5;47.222528N;13.472393E
