Aufnahme-Nr.;413;438A;332;414;418
Seehöhe (m);2010;2560;2150;2430;2420
Exposition;E;-;W;SW;SW
Neigung (°);10;-;30;30;30
Flächengröße (m2);2;4;0,25;4;1
Aufnahmeiahr;2005;2006;2005;2005;2005
Gesamtdeckung (%);15;50;30;30;20
;;;;;
Carex atrofusca;2;2;3;2;2
;;;;;
Carex bicolor;;+;;+;
Kobresia simpliciuscula;+;+;;;
Tofieldia pusilla;+;;+;;
;;;;;
Saxifraga aizoides;1;3;1;2;+
Persicaria vivipara;;1;1;1;+
;;;;;
Carex firma;;;3;2;
Saxifraga oppositifolia;;;1;1;
Pedicularis rostrato-capitata;;;+;1;
Carex frigida;1;;;;1
Parnassia palustris;;;;+;+
Cratoneuron falcatum;;+;;;+
Aster bellidiastrum;;;;;+
Pinguicula aipina;;;;+;
Agrostis aipina;;;;2;
Salix serpyllifolia;;;;1;
Euphrasia salisburgensis;;;;+;
Sesleria albicans;;;+;;
Kobresia myosuroides;+;;;;
Linaria aipina;;;;+;
Festuca pumila;;;;+;
Salix retusa;;;;;+
Salix reticulata;;;3;;
Gentiana prostrata;;;;+;
Saxifraga caesia;;;;+;
Carex parviflora;;2;;;
Silene exscapa;;+;;;
Minuartia sedoides;;+;;;
Saxifraga oppositifolia;;+;;;
