plot;latitude;longitude;accurancy;date;elevation;expo;slope;pls;locality;;
952;47.002675;12.981192;1000;2007-01-01;2190;F;0;4;Spittal a. d. Dr., Alp. Schwemmland mit Mooranteilen im Talschluss der Kl. Zirknitz SE vom Kegelesee;30;2
446B;47.041440;12.719973;500;2006-01-01;2580;F;0;4;Kals am Großglockner, Alpines Schwemmland am Glatzberg;40;3
419;47.093150;12.958800;200;2005-01-01;2180;F;0;1;Rauris, Alluvionen des Ritterkares;20;2
415;47.071466;12.844120;2000;2005-01-01;2230;F;0;0,5;Heiligenblut, Alpines Schwemmland im Nordteil des Nassfeldes an der Großglockner Hochalpenstraße;20;2
179;47.017526;12.242371;500;2005-01-01;2060;F;0;1;Prägraten, Alpines Schwemmland im Umbaltal nordwestlich der Clarahütte;80;3
439;47.043560;12.730749;500;2005-01-01;2570;F;0;4;Heiligenblut, Schwemmland östlich der Salmhütte 2;30;2
437;47.038340;12.666715;300;2005-01-01;2190;F;0;1;Kals am Großglockner, Alpines Schwemmland im Teischnitzbachtal südsüdwestlich der Pifanghütte;70;3
146A;47.079475;12.349293;200;2005-01-01;2490;SW;3;1;Prägraten, Alpines Schwemmland am Zettalunitzbach 2,05 km Ostnordost der Johannishütte;40;2
148;47.057990;12.374847;300;2005-01-01;2550;F;0;4;Prägraten, Alpines Schwemmland im Talschluss des Timmeltales;50;3
158;47.057435;12.459684;300;2005-01-01;2100;F;0;1;Matrei in Osttirol, Alpines Schwemmland am Malfrosnitzbach 1,2 km südsüdwestlich der Dabernitzhöhe;40;2
173;47.002500;12.138592;200;2005-01-01;2255;S;3;0,5;St. Jakob in Defereggen, Alpines Schwemmland im Talschluss des Arventales;60;2
187;47.042405;12.566550;500;2005-01-01;1950;F;0;4;Matrei in Osttirol, Alpines Schwemmland am Steiner Bach;40;2
411;47.048765;12.670709;300;2005-01-01;2260;S;2;1;Kals am Großglockner, Alpines Schwemmland im Teischnitzbachtal 0,5 km nördlich der Pifanghütte;70;2
412;47.093267;12.729279;500;2005-01-01;2540;F;0;0,5;Heiligenblut, Alpines Schwemmland im Wasserfallwinkel oberhalb der Pasterze;60;3
417;47.088592;12.736066;750;2005-01-01;2370;W;30;0,25;Heiligenblut, Rieselflur oberhalb vom Gamsgrubenweg 3;30;2
